Specie,Wavelength
12CN ,3873.9939
12CN ,3874.6024
12CN ,3874.6059
12CN ,3875.759
12CN,3876.312
12CN,3579.963
12CN,3579.453
12CN ,9135.571
12CN ,9139.677
12CN ,9142.833
12CN ,9142.842
12CN ,9144.043
12CN ,9147.201
12CN ,9147.21
12CN ,9183.216
12CN ,9186.935
12CN ,9190.11
12CN ,9190.12
12CN ,7868.653
12CN ,7871.643
12CN ,7873.983
12CN ,7873.988
12CN ,7874.847
12CN ,7877.189
12CN ,7877.196
12CN ,7903.896
12CN,7906.602
12CN ,7908.952
12CN ,7908.959
12CN ,6922.578
12CN ,6924.846
12CN ,6926.651
12CN ,6927.304
12CN ,6929.061
12CN ,6949.774
12CN ,6951.826
12CN ,6953.654
13CN ,3874.19
13CN ,3874.783
