Filename                                                Object        Setting     Wave_min     Wave_max
HD109399/BLUE_346/HD109399_w346_n4_20160715_B.fits.gz   HD109399          346      3044.20      3916.66
HD109399/RED_564/HD109399_w564_n9_20160715_L.fits.gz    HD109399          564      4583.08      5644.26
HD109399/RED_564/HD109399_w564_n9_20160715_U.fits.gz    HD109399          564      5654.48      6686.50
HD111934/BLUE_346/HD111934_w346_n3_20170427_B.fits.gz   HD111934          346      3024.30      3884.30
HD111934/BLUE_346/HD111934_w346_n3_20170428_B.fits.gz   HD111934          346      3024.30      3884.32
HD111934/BLUE_437/HD111934_w437_n10_20170428_B.fits.gz  HD111934          437      3732.08      4999.74
HD112272/BLUE_346/HD112272_w346_n3_20170430_B.fits.gz   HD112272          346      3024.26      3884.30
HD112272/BLUE_346/HD112272_w346_n3_20170501_B.fits.gz   HD112272          346      3024.30      3884.30
HD112272/BLUE_437/HD112272_w437_n6_20170501_B.fits.gz   HD112272          437      3732.10      4999.72
HD112272/RED_564/HD112272_w564_n4_20170430_L.fits.gz    HD112272          564      4583.06      5644.24
HD112272/RED_564/HD112272_w564_n4_20170430_U.fits.gz    HD112272          564      5654.46      6686.48
HD112272/RED_564/HD112272_w564_n4_20170501_L.fits.gz    HD112272          564      4583.06      5644.24
HD112272/RED_564/HD112272_w564_n4_20170501_U.fits.gz    HD112272          564      5654.44      6686.42
HD112272/RED_860/HD112272_w860_n10_20170501_L.fits.gz   HD112272          860      6649.82      8544.24
HD112272/RED_860/HD112272_w860_n10_20170501_U.fits.gz   HD112272          860      8523.20     10426.12
HD113904/BLUE_346/HD113904_w346_n28_20141214_B.fits.gz  HD113904          346      3044.18      3916.72
HD113904/BLUE_346/HD113904_w346_n29_20150531_B.fits.gz  HD113904          346      3044.22      3916.72
HD113904/BLUE_437/HD113904_w437_n22_20141221_B.fits.gz  HD113904          437      3732.10      4999.76
HD113904/BLUE_437/HD113904_w437_n22_20150628_B.fits.gz  HD113904          437      3732.12      4999.76
HD113904/RED_564/HD113904_w564_n23_20150531_L.fits.gz   HD113904          564      4583.12      5644.30
HD113904/RED_564/HD113904_w564_n23_20150531_U.fits.gz   HD113904          564      5654.54      6686.56
HD113904/RED_564/HD113904_w564_n24_20141214_L.fits.gz   HD113904          564      4582.90      5644.28
HD113904/RED_564/HD113904_w564_n24_20141214_U.fits.gz   HD113904          564      5654.54      6686.72
HD113904/RED_860/HD113904_w860_n20_20141221_L.fits.gz   HD113904          860      6649.52      8544.28
HD113904/RED_860/HD113904_w860_n20_20141221_U.fits.gz   HD113904          860      8523.24     10426.44
HD113904/RED_860/HD113904_w860_n20_20150628_L.fits.gz   HD113904          860      6649.86      8544.28
HD113904/RED_860/HD113904_w860_n20_20150628_U.fits.gz   HD113904          860      8523.26     10426.16
HD114886/BLUE_346/HD114886_w346_n4_20170503_B.fits.gz   HD114886          346      3024.32      3884.32
HD114886/BLUE_437/HD114886_w437_n8_20170502_B.fits.gz   HD114886          437      3732.04      4999.74
HD114886/RED_564/HD114886_w564_n8_20170503_L.fits.gz    HD114886          564      4583.06      5644.22
HD114886/RED_564/HD114886_w564_n8_20170503_U.fits.gz    HD114886          564      5654.40      6686.52
HD114886/RED_860/HD114886_w860_n14_20170502_L.fits.gz   HD114886          860      6649.80      8546.98
HD114886/RED_860/HD114886_w860_n14_20170502_U.fits.gz   HD114886          860      8523.24     10440.04
HD116852/BLUE_346/HD116852_w346_n2_20160329_B.fits.gz   HD116852          346      3044.28      3916.68
HD116852/BLUE_346/HD116852_w346_n2_20170423_B.fits.gz   HD116852          346      3024.30      3884.28
HD116852/BLUE_346/HD116852_w346_n2_20170429_B.fits.gz   HD116852          346      3024.32      3884.30
HD116852/BLUE_437/HD116852_w437_n2_20170424_B.fits.gz   HD116852          437      3732.10      4999.72
HD116852/RED_564/HD116852_w564_n2_20160329_L.fits.gz    HD116852          564      4583.08      5644.24
HD116852/RED_564/HD116852_w564_n2_20160329_U.fits.gz    HD116852          564      5654.48      6686.50
HD116852/RED_564/HD116852_w564_n2_20170423_L.fits.gz    HD116852          564      4583.06      5644.22
HD116852/RED_564/HD116852_w564_n2_20170423_U.fits.gz    HD116852          564      5654.44      6686.46
HD116852/RED_564/HD116852_w564_n2_20170429_L.fits.gz    HD116852          564      4583.06      5644.22
HD116852/RED_564/HD116852_w564_n2_20170429_U.fits.gz    HD116852          564      5654.46      6686.46
HD116852/RED_860/HD116852_w860_n2_20170424_L.fits.gz    HD116852          860      6649.82      8544.24
HD116852/RED_860/HD116852_w860_n2_20170424_U.fits.gz    HD116852          860      8523.22     10425.82
HD122879/BLUE_346/HD122879_w346_n6_20160318_B.fits.gz   HD122879          346      3024.40      3884.30
HD122879/BLUE_437/HD122879_w437_n14_20160318_B.fits.gz  HD122879          437      3732.12      4999.72
HD122879/RED_564/HD122879_w564_n6_20160318_L.fits.gz    HD122879          564      4583.06      5644.22
HD122879/RED_564/HD122879_w564_n6_20160318_U.fits.gz    HD122879          564      5654.46      6686.46
HD122879/RED_860/HD122879_w860_n14_20160318_L.fits.gz   HD122879          860      6649.82      8544.26
HD122879/RED_860/HD122879_w860_n14_20160318_U.fits.gz   HD122879          860      8523.28     10426.16
HD124314/BLUE_346/HD124314_w346_n4_20170501_B.fits.gz   HD124314          346      3024.32      3884.30
HD124314/BLUE_437/HD124314_w437_n12_20170502_B.fits.gz  HD124314          437      3732.08      4999.74
HD124314/BLUE_437/HD124314_w437_n5_20170420_B.fits.gz   HD124314          437      3732.06      4999.72
HD124314/RED_564/HD124314_w564_n8_20170501_L.fits.gz    HD124314          564      4583.06      5644.22
HD124314/RED_564/HD124314_w564_n8_20170501_U.fits.gz    HD124314          564      5654.44      6686.42
HD124314/RED_860/HD124314_w860_n21_20170502_L.fits.gz   HD124314          860      6649.82      8545.32
HD124314/RED_860/HD124314_w860_n21_20170502_U.fits.gz   HD124314          860      8523.24     10438.92
HD124314/RED_860/HD124314_w860_n9_20170420_L.fits.gz    HD124314          860      6649.82      8544.28
HD124314/RED_860/HD124314_w860_n9_20170420_U.fits.gz    HD124314          860      8523.20     10426.30
HD133518/BLUE_346/HD133518_w346_n33_20150630_B.fits.gz  HD133518          346      3024.30      3884.34
HD133518/BLUE_437/HD133518_w437_n20_20150703_B.fits.gz  HD133518          437      3732.08      4999.78
HD133518/BLUE_437/HD133518_w437_n20_20150719_B.fits.gz  HD133518          437      3732.10      4999.78
HD133518/RED_564/HD133518_w564_n27_20150630_L.fits.gz   HD133518          564      4583.12      5644.30
HD133518/RED_564/HD133518_w564_n27_20150630_U.fits.gz   HD133518          564      5654.54      6686.50
HD133518/RED_860/HD133518_w860_n20_20150703_L.fits.gz   HD133518          860      6649.84      8544.28
HD133518/RED_860/HD133518_w860_n20_20150703_U.fits.gz   HD133518          860      8523.30     10426.88
HD133518/RED_860/HD133518_w860_n20_20150719_L.fits.gz   HD133518          860      6649.84      8544.26
HD133518/RED_860/HD133518_w860_n20_20150719_U.fits.gz   HD133518          860      8523.32     10426.10
HD135591/BLUE_346/HD135591_w346_n10_20160222_B.fits.gz  HD135591          346      3024.40      3884.30
HD135591/BLUE_346/HD135591_w346_n28_20150628_B.fits.gz  HD135591          346      3024.32      3884.34
HD135591/BLUE_437/HD135591_w437_n10_20160222_B.fits.gz  HD135591          437      3732.08      4999.70
HD135591/BLUE_437/HD135591_w437_n22_20150701_B.fits.gz  HD135591          437      3732.10      4999.78
HD135591/RED_564/HD135591_w564_n10_20160222_L.fits.gz   HD135591          564      4583.04      5644.22
HD135591/RED_564/HD135591_w564_n10_20160222_U.fits.gz   HD135591          564      5654.46      6686.50
HD135591/RED_564/HD135591_w564_n24_20150628_L.fits.gz   HD135591          564      4583.12      5644.28
HD135591/RED_564/HD135591_w564_n24_20150628_U.fits.gz   HD135591          564      5654.54      6686.54
HD135591/RED_860/HD135591_w860_n20_20150701_L.fits.gz   HD135591          860      6649.84      8544.28
HD135591/RED_860/HD135591_w860_n20_20150701_U.fits.gz   HD135591          860      8523.28     10426.18
HD135591/RED_860/HD135591_w860_n6_20160222_L.fits.gz    HD135591          860      6649.82      8544.26
HD135591/RED_860/HD135591_w860_n6_20160222_U.fits.gz    HD135591          860      8523.34     10426.14
HD143275/BLUE_346/HD143275_w346_n32_20150720_B.fits.gz  HD143275          346      3024.32      3884.36
HD143275/BLUE_437/HD143275_w437_n26_20150720_B.fits.gz  HD143275          437      3732.10      4999.78
HD143275/RED_564/HD143275_w564_n24_20150720_L.fits.gz   HD143275          564      4583.12      5644.30
HD143275/RED_564/HD143275_w564_n24_20150720_U.fits.gz   HD143275          564      5654.52      6686.52
HD143275/RED_860/HD143275_w860_n20_20150720_L.fits.gz   HD143275          860      6649.82      8544.28
HD143275/RED_860/HD143275_w860_n20_20150720_U.fits.gz   HD143275          860      8523.30     10426.30
HD144470/BLUE_346/HD144470_w346_n30_20150720_B.fits.gz  HD144470          346      3024.32      3884.34
HD144470/BLUE_437/HD144470_w437_n25_20150720_B.fits.gz  HD144470          437      3732.10      4999.78
HD144470/RED_564/HD144470_w564_n24_20150720_L.fits.gz   HD144470          564      4583.12      5644.30
HD144470/RED_564/HD144470_w564_n24_20150720_U.fits.gz   HD144470          564      5654.54      6686.56
HD144470/RED_860/HD144470_w860_n20_20150720_L.fits.gz   HD144470          860      6649.84      8544.26
HD144470/RED_860/HD144470_w860_n20_20150720_U.fits.gz   HD144470          860      8523.32     10426.16
HD145502/BLUE_346/HD145502_w346_n29_20140915_B.fits.gz  HD145502          346      3044.22      3916.70
HD145502/BLUE_346/HD145502_w346_n29_20140916_B.fits.gz  HD145502          346      3044.20      3916.70
HD145502/BLUE_437/HD145502_w437_n25_20140919_B.fits.gz  HD145502          437      3732.08      4999.78
HD145502/RED_564/HD145502_w564_n24_20140915_L.fits.gz   HD145502          564      4582.92      5644.30
HD145502/RED_564/HD145502_w564_n24_20140915_U.fits.gz   HD145502          564      5654.54      6686.70
HD145502/RED_564/HD145502_w564_n24_20140916_L.fits.gz   HD145502          564      4582.92      5644.30
HD145502/RED_564/HD145502_w564_n24_20140916_U.fits.gz   HD145502          564      5654.52      6686.68
HD145502/RED_860/HD145502_w860_n20_20140919_L.fits.gz   HD145502          860      6649.54      8544.28
HD145502/RED_860/HD145502_w860_n20_20140919_U.fits.gz   HD145502          860      8523.28     10426.78
HD147084/BLUE_346/HD147084_w346_n10_20160419_B.fits.gz  HD147084          346      3044.24      3916.68
HD147084/BLUE_437/HD147084_w437_n10_20160403_B.fits.gz  HD147084          437      3732.08      4999.70
HD147084/BLUE_437/HD147084_w437_n10_20160419_B.fits.gz  HD147084          437      3732.08      4999.74
HD147084/RED_564/HD147084_w564_n15_20160419_L.fits.gz   HD147084          564      4583.08      5644.26
HD147084/RED_564/HD147084_w564_n15_20160419_U.fits.gz   HD147084          564      5654.48      6686.48
HD147084/RED_860/HD147084_w860_n15_20160403_L.fits.gz   HD147084          860      6649.86      8544.28
HD147084/RED_860/HD147084_w860_n15_20160403_U.fits.gz   HD147084          860      8523.28     10426.26
HD147084/RED_860/HD147084_w860_n15_20160419_L.fits.gz   HD147084          860      6649.86      8544.28
HD147084/RED_860/HD147084_w860_n15_20160419_U.fits.gz   HD147084          860      8523.26     10426.16
HD147165/BLUE_346/HD147165_w346_n60_20150531_B.fits.gz  HD147165          346      3044.22      3916.72
HD147165/BLUE_437/HD147165_w437_n52_20150531_B.fits.gz  HD147165          437      3732.10      4999.78
HD147165/RED_564/HD147165_w564_n48_20150531_L.fits.gz   HD147165          564      4583.12      5644.30
HD147165/RED_564/HD147165_w564_n48_20150531_U.fits.gz   HD147165          564      5654.54      6686.54
HD147165/RED_860/HD147165_w860_n40_20150531_L.fits.gz   HD147165          860      6649.84      8544.28
HD147165/RED_860/HD147165_w860_n40_20150531_U.fits.gz   HD147165          860      8523.26     10426.20
HD147683/BLUE_346/HD147683_w346_n2_20160707_B.fits.gz   HD147683          346      3044.22      3916.68
HD147683/RED_564/HD147683_w564_n3_20160707_L.fits.gz    HD147683          564      4583.10      5644.24
HD147683/RED_564/HD147683_w564_n3_20160707_U.fits.gz    HD147683          564      5654.48      6686.48
HD147888/BLUE_346/HD147888_w346_n15_20140924_B.fits.gz  HD147888          346      3044.18      3916.72
HD147888/BLUE_346/HD147888_w346_n1_20140923_B.fits.gz   HD147888          346      3044.22      3916.72
HD147888/BLUE_346/HD147888_w346_n3_20160808_B.fits.gz   HD147888          346      3044.20      3916.68
HD147888/BLUE_437/HD147888_w437_n20_20140926_B.fits.gz  HD147888          437      3732.10      4999.78
HD147888/BLUE_437/HD147888_w437_n20_20140927_B.fits.gz  HD147888          437      3732.10      4999.78
HD147888/BLUE_437/HD147888_w437_n6_20170503_B.fits.gz   HD147888          437      3732.08      4999.74
HD147888/RED_564/HD147888_w564_n1_20140923_L.fits.gz    HD147888          564      4582.90      5644.30
HD147888/RED_564/HD147888_w564_n1_20140923_U.fits.gz    HD147888          564      5654.56      6686.66
HD147888/RED_564/HD147888_w564_n25_20140924_L.fits.gz   HD147888          564      4582.90      5644.30
HD147888/RED_564/HD147888_w564_n25_20140924_U.fits.gz   HD147888          564      5654.52      6686.72
HD147888/RED_564/HD147888_w564_n5_20160808_L.fits.gz    HD147888          564      4583.08      5644.26
HD147888/RED_564/HD147888_w564_n5_20160808_U.fits.gz    HD147888          564      5654.48      6686.50
HD147888/RED_860/HD147888_w860_n24_20140926_L.fits.gz   HD147888          860      6649.52      8544.26
HD147888/RED_860/HD147888_w860_n24_20140926_U.fits.gz   HD147888          860      8523.24     10426.46
HD147888/RED_860/HD147888_w860_n24_20140927_L.fits.gz   HD147888          860      6649.52      8544.24
HD147888/RED_860/HD147888_w860_n24_20140927_U.fits.gz   HD147888          860      8523.22     10426.44
HD147888/RED_860/HD147888_w860_n8_20170503_L.fits.gz    HD147888          860      6649.82      8544.24
HD147888/RED_860/HD147888_w860_n8_20170503_U.fits.gz    HD147888          860      8523.18     10426.10
HD147889/BLUE_346/HD147889_w346_n1_20140927_B.fits.gz   HD147889          346      3044.22      3916.72
HD147889/BLUE_346/HD147889_w346_n1_20140928_B.fits.gz   HD147889          346      3044.22      3916.70
HD147889/BLUE_346/HD147889_w346_n6_20150816_B.fits.gz   HD147889          346      3044.24      3916.72
HD147889/BLUE_437/HD147889_w437_n1_20160728_B.fits.gz   HD147889          437      3732.08      4999.72
HD147889/BLUE_437/HD147889_w437_n5_20160807_B.fits.gz   HD147889          437      3732.06      4999.72
HD147889/RED_564/HD147889_w564_n18_20150816_L.fits.gz   HD147889          564      4583.12      5644.30
HD147889/RED_564/HD147889_w564_n18_20150816_U.fits.gz   HD147889          564      5654.54      6686.56
HD147889/RED_564/HD147889_w564_n1_20140927_L.fits.gz    HD147889          564      4582.90      5644.28
HD147889/RED_564/HD147889_w564_n1_20140927_U.fits.gz    HD147889          564      5654.54      6686.70
HD147889/RED_564/HD147889_w564_n5_20140928_L.fits.gz    HD147889          564      4582.90      5644.28
HD147889/RED_564/HD147889_w564_n5_20140928_U.fits.gz    HD147889          564      5654.54      6686.72
HD147889/RED_860/HD147889_w860_n11_20160807_L.fits.gz   HD147889          860      6649.84      8544.28
HD147889/RED_860/HD147889_w860_n11_20160807_U.fits.gz   HD147889          860      8523.24     10426.12
HD147889/RED_860/HD147889_w860_n2_20160728_L.fits.gz    HD147889          860      6649.86      8544.28
HD147889/RED_860/HD147889_w860_n2_20160728_U.fits.gz    HD147889          860      8523.24     10426.34
HD147933/BLUE_346/HD147933_w346_n12_20170615_B.fits.gz  HD147933          346      3024.24      3884.28
HD147933/BLUE_346/HD147933_w346_n8_20170508_B.fits.gz   HD147933          346      3024.26      3884.28
HD147933/BLUE_437/HD147933_w437_n12_20170616_B.fits.gz  HD147933          437      3732.06      4999.74
HD147933/RED_564/HD147933_w564_n11_20170615_L.fits.gz   HD147933          564      4583.06      5644.24
HD147933/RED_564/HD147933_w564_n11_20170615_U.fits.gz   HD147933          564      5654.46      6686.48
HD147933/RED_564/HD147933_w564_n8_20170508_L.fits.gz    HD147933          564      4583.08      5644.24
HD147933/RED_564/HD147933_w564_n8_20170508_U.fits.gz    HD147933          564      5654.46      6686.50
HD147933/RED_860/HD147933_w860_n13_20170616_L.fits.gz   HD147933          860      6649.82      8544.26
HD147933/RED_860/HD147933_w860_n13_20170616_U.fits.gz   HD147933          860      8523.24     10426.54
HD148605/BLUE_346/HD148605_w346_n29_20140914_B.fits.gz  HD148605          346      3044.24      3916.70
HD148605/BLUE_346/HD148605_w346_n29_20140915_B.fits.gz  HD148605          346      3044.22      3916.70
HD148605/BLUE_346/HD148605_w346_n29_20140916_B.fits.gz  HD148605          346      3044.20      3916.70
HD148605/BLUE_437/HD148605_w437_n25_20140919_B.fits.gz  HD148605          437      3732.08      4999.78
HD148605/RED_564/HD148605_w564_n24_20140914_L.fits.gz   HD148605          564      4582.92      5644.30
HD148605/RED_564/HD148605_w564_n24_20140914_U.fits.gz   HD148605          564      5654.52      6686.68
HD148605/RED_564/HD148605_w564_n24_20140915_L.fits.gz   HD148605          564      4582.92      5644.30
HD148605/RED_564/HD148605_w564_n24_20140915_U.fits.gz   HD148605          564      5654.54      6686.70
HD148605/RED_564/HD148605_w564_n24_20140916_L.fits.gz   HD148605          564      4582.92      5644.30
HD148605/RED_564/HD148605_w564_n24_20140916_U.fits.gz   HD148605          564      5654.52      6686.74
HD148605/RED_860/HD148605_w860_n21_20140919_L.fits.gz   HD148605          860      6649.54      8544.28
HD148605/RED_860/HD148605_w860_n21_20140919_U.fits.gz   HD148605          860      8523.26     10426.56
HD148937/BLUE_346/HD148937_w346_n1_20170424_B.fits.gz   HD148937          346      3024.32      3884.30
HD148937/BLUE_346/HD148937_w346_n20_20150817_B.fits.gz  HD148937          346      3044.24      3916.72
HD148937/BLUE_437/HD148937_w437_n10_20160913_B.fits.gz  HD148937          437      3732.10      4999.74
HD148937/BLUE_437/HD148937_w437_n1_20170517_B.fits.gz   HD148937          437      3732.08      4999.72
HD148937/BLUE_437/HD148937_w437_n1_20170620_B.fits.gz   HD148937          437      3732.08      4999.74
HD148937/RED_564/HD148937_w564_n1_20170424_L.fits.gz    HD148937          564      4583.06      5644.22
HD148937/RED_564/HD148937_w564_n1_20170424_U.fits.gz    HD148937          564      5654.46      6686.46
HD148937/RED_564/HD148937_w564_n24_20150817_L.fits.gz   HD148937          564      4583.14      5644.30
HD148937/RED_564/HD148937_w564_n24_20150817_U.fits.gz   HD148937          564      5654.54      6686.58
HD148937/RED_860/HD148937_w860_n16_20160913_L.fits.gz   HD148937          860      6649.84      8544.28
HD148937/RED_860/HD148937_w860_n16_20160913_U.fits.gz   HD148937          860      8523.26     10426.16
