Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3236.0,3286.8,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O10.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3105.6,3154.5,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O4.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3532.6,3587.8,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O22.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3559.8,3615.4,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O23.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3044.2,3092.3,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O1.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3615.5,3671.9,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O25.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3377.8,3430.7,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O16.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3258.8,3309.9,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O11.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3793.4,3852.4,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O31.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3402.7,3455.9,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O17.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3064.4,3112.7,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O2.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3377.8,3430.7,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O16.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3587.4,3643.4,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O24.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3305.4,3357.2,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O13.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3169.4,3219.3,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O7.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3672.9,3730.2,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O27.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3793.4,3852.4,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O31.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3353.3,3405.8,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O15.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3702.3,3760.0,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O28.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3824.7,3884.3,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O32.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3672.9,3730.1,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O27.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3532.6,3587.8,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O22.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3453.5,3507.5,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O19.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3281.9,3333.4,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O12.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3126.6,3175.8,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O5.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3762.5,3821.1,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O30.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3126.6,3175.8,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O5.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3702.3,3760.0,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O28.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3479.5,3533.8,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O20.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3615.5,3671.9,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O25.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3064.4,3112.7,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O2.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3169.4,3219.3,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O7.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3147.9,3197.4,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O6.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3644.0,3700.8,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O26.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3213.5,3264.0,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O9.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3329.2,3381.3,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O14.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3762.5,3821.1,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O30.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3427.9,3481.5,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O18.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3258.8,3309.9,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O11.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3559.8,3615.4,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O23.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3329.2,3381.3,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O14.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3281.9,3333.4,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O12.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3732.2,3790.3,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O29.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3479.5,3533.9,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O20.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3505.9,3560.6,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O21.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3105.6,3154.5,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O4.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3353.3,3405.8,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O15.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3505.8,3560.6,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O21.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3044.2,3092.2,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O1.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3644.0,3700.8,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O26.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3732.2,3790.3,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O29.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3587.4,3643.4,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O24.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3402.7,3455.9,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O17.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3453.5,3507.5,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O19.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3084.8,3133.5,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O3.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3824.8,3884.3,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O32.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3213.5,3264.0,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O9.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3084.8,3133.5,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O3.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3856.7,3916.6,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O33.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3236.0,3286.8,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O10.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3147.8,3197.4,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O6.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3191.3,3241.5,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O8.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3427.9,3481.5,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O18.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:55.732,346,3305.4,3357.2,/HD169454/BLUE_346/HD169454_w346_blue_20160724_O13.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3856.6,3916.6,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O33.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:36.578,346,3191.3,3241.5,/HD169454/BLUE_346/HD169454_w346_blue_20160714_O8.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6576.7,6686.4,/HD169454/RED_564/HD169454_w564_redu_20160724_O16.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6506.0,6614.6,/HD169454/RED_564/HD169454_w564_redu_20160724_O15.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4959.0,5043.0,/HD169454/RED_564/HD169454_w564_redl_20160714_O11.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5654.5,5749.6,/HD169454/RED_564/HD169454_w564_redu_20160724_O1.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5707.8,5803.9,/HD169454/RED_564/HD169454_w564_redu_20160724_O2.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5762.2,5859.1,/HD169454/RED_564/HD169454_w564_redu_20160724_O3.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6050.4,6151.9,/HD169454/RED_564/HD169454_w564_redu_20160714_O8.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5931.7,6031.3,/HD169454/RED_564/HD169454_w564_redu_20160714_O6.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5354.1,5444.5,/HD169454/RED_564/HD169454_w564_redl_20160714_O20.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5500.2,5592.9,/HD169454/RED_564/HD169454_w564_redl_20160724_O23.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5401.9,5493.1,/HD169454/RED_564/HD169454_w564_redl_20160724_O21.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4878.9,4961.7,/HD169454/RED_564/HD169454_w564_redl_20160724_O9.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4618.1,4696.7,/HD169454/RED_564/HD169454_w564_redl_20160724_O2.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5817.6,5915.4,/HD169454/RED_564/HD169454_w564_redu_20160714_O4.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6111.5,6214.0,/HD169454/RED_564/HD169454_w564_redu_20160714_O9.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5990.5,6091.0,/HD169454/RED_564/HD169454_w564_redu_20160714_O7.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6436.7,6544.3,/HD169454/RED_564/HD169454_w564_redu_20160714_O14.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5931.7,6031.3,/HD169454/RED_564/HD169454_w564_redu_20160724_O6.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5550.7,5644.2,/HD169454/RED_564/HD169454_w564_redl_20160714_O24.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4801.5,4883.0,/HD169454/RED_564/HD169454_w564_redl_20160714_O7.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5000.0,5084.7,/HD169454/RED_564/HD169454_w564_redl_20160724_O12.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5990.5,6091.0,/HD169454/RED_564/HD169454_w564_redu_20160724_O7.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6506.0,6614.6,/HD169454/RED_564/HD169454_w564_redu_20160714_O15.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5127.2,5213.9,/HD169454/RED_564/HD169454_w564_redl_20160714_O15.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4763.6,4844.6,/HD169454/RED_564/HD169454_w564_redl_20160724_O6.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5402.0,5493.1,/HD169454/RED_564/HD169454_w564_redl_20160714_O21.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4959.0,5043.0,/HD169454/RED_564/HD169454_w564_redl_20160724_O11.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4801.4,4883.0,/HD169454/RED_564/HD169454_w564_redl_20160724_O7.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5215.6,5303.8,/HD169454/RED_564/HD169454_w564_redl_20160724_O17.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5450.6,5542.6,/HD169454/RED_564/HD169454_w564_redl_20160714_O22.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5450.6,5542.6,/HD169454/RED_564/HD169454_w564_redl_20160724_O22.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5084.0,5170.1,/HD169454/RED_564/HD169454_w564_redl_20160724_O14.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4839.9,4922.0,/HD169454/RED_564/HD169454_w564_redl_20160724_O8.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5127.1,5213.9,/HD169454/RED_564/HD169454_w564_redl_20160724_O15.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4726.4,4806.7,/HD169454/RED_564/HD169454_w564_redl_20160714_O5.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4583.1,4661.1,/HD169454/RED_564/HD169454_w564_redl_20160724_O1.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5354.1,5444.5,/HD169454/RED_564/HD169454_w564_redl_20160724_O20.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5171.0,5258.5,/HD169454/RED_564/HD169454_w564_redl_20160714_O16.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5171.0,5258.4,/HD169454/RED_564/HD169454_w564_redl_20160724_O16.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5817.6,5915.4,/HD169454/RED_564/HD169454_w564_redu_20160724_O4.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6302.6,6408.1,/HD169454/RED_564/HD169454_w564_redu_20160714_O12.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4618.1,4696.7,/HD169454/RED_564/HD169454_w564_redl_20160714_O2.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4653.6,4732.8,/HD169454/RED_564/HD169454_w564_redl_20160724_O3.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5707.8,5803.9,/HD169454/RED_564/HD169454_w564_redu_20160714_O2.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6111.5,6214.0,/HD169454/RED_564/HD169454_w564_redu_20160724_O9.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4689.7,4769.5,/HD169454/RED_564/HD169454_w564_redl_20160714_O4.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5261.0,5349.9,/HD169454/RED_564/HD169454_w564_redl_20160714_O18.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4918.6,5002.0,/HD169454/RED_564/HD169454_w564_redl_20160714_O10.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6237.6,6342.0,/HD169454/RED_564/HD169454_w564_redu_20160714_O11.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5261.0,5349.9,/HD169454/RED_564/HD169454_w564_redl_20160724_O18.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6436.7,6544.3,/HD169454/RED_564/HD169454_w564_redu_20160724_O14.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5762.2,5859.1,/HD169454/RED_564/HD169454_w564_redu_20160714_O3.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5654.5,5749.7,/HD169454/RED_564/HD169454_w564_redu_20160714_O1.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6173.9,6277.4,/HD169454/RED_564/HD169454_w564_redu_20160714_O10.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4583.1,4661.1,/HD169454/RED_564/HD169454_w564_redl_20160714_O1.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4689.7,4769.5,/HD169454/RED_564/HD169454_w564_redl_20160724_O4.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5874.1,5972.8,/HD169454/RED_564/HD169454_w564_redu_20160714_O5.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4653.6,4732.8,/HD169454/RED_564/HD169454_w564_redl_20160714_O3.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5307.1,5396.8,/HD169454/RED_564/HD169454_w564_redl_20160714_O19.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6173.9,6277.3,/HD169454/RED_564/HD169454_w564_redu_20160724_O10.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4763.6,4844.6,/HD169454/RED_564/HD169454_w564_redl_20160714_O6.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5084.0,5170.1,/HD169454/RED_564/HD169454_w564_redl_20160714_O14.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6302.6,6408.0,/HD169454/RED_564/HD169454_w564_redu_20160724_O12.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4839.9,4922.0,/HD169454/RED_564/HD169454_w564_redl_20160714_O8.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5215.6,5303.8,/HD169454/RED_564/HD169454_w564_redl_20160714_O17.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5041.7,5127.0,/HD169454/RED_564/HD169454_w564_redl_20160724_O13.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4918.6,5002.0,/HD169454/RED_564/HD169454_w564_redl_20160724_O10.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5550.7,5644.2,/HD169454/RED_564/HD169454_w564_redl_20160724_O24.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6368.9,6475.5,/HD169454/RED_564/HD169454_w564_redu_20160714_O13.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6368.9,6475.4,/HD169454/RED_564/HD169454_w564_redu_20160724_O13.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,4878.9,4961.7,/HD169454/RED_564/HD169454_w564_redl_20160714_O9.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5000.0,5084.7,/HD169454/RED_564/HD169454_w564_redl_20160714_O12.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5500.2,5593.0,/HD169454/RED_564/HD169454_w564_redl_20160714_O23.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6237.6,6342.0,/HD169454/RED_564/HD169454_w564_redu_20160724_O11.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,6050.4,6151.9,/HD169454/RED_564/HD169454_w564_redu_20160724_O8.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5307.1,5396.8,/HD169454/RED_564/HD169454_w564_redl_20160724_O19.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,5041.7,5127.0,/HD169454/RED_564/HD169454_w564_redl_20160714_O13.fits
HD169454,276.313909,-13.97875,2016-07-14T01:41:32.599,564,6576.8,6686.5,/HD169454/RED_564/HD169454_w564_redu_20160714_O16.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,5874.1,5972.8,/HD169454/RED_564/HD169454_w564_redu_20160724_O5.fits
HD169454,276.313407,-13.9786,2016-07-24T06:24:38.679,564,4726.4,4806.7,/HD169454/RED_564/HD169454_w564_redl_20160724_O5.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4821.1,4895.6,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O29.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4207.3,4272.5,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O15.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4450.1,4519.0,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O21.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4024.3,4086.8,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O10.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4821.1,4895.5,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O29.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,3989.6,4051.6,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O9.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4059.6,4122.6,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O11.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4095.6,4159.1,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O12.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,3955.5,4017.0,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O8.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,3889.0,3949.5,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O6.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,3856.6,3916.5,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O5.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4366.1,4433.7,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O19.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,3793.3,3852.4,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O3.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,3793.3,3852.4,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O3.fits
HD169454,276.313251,-13.97855,2016-08-08T03:47:30.126,437,4923.7,4999.7,/HD169454/BLUE_437/HD169454_w437_blue_20160808_O31.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4407.8,4476.0,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O20.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,3732.1,3790.2,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O1.fits
HD169454,276.313492,-13.97882,2016-07-28T04:57:43.890,437,4169.4,4234.0,/HD169454/BLUE_437/HD169454_w437_blue_20160728_O14.fits
