Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 101065,174.403661,-46.70966,2017-04-24T04:19:40.323,346,1,3041.3125,3062.021240234375,orders/HD101065_2017-04-24T04_18_05_346nm_blue_O1.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,8,4858.90234375,4918.02685546875,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O8.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,7,4820.46435546875,4878.97802734375,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O7.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,6,4782.63134765625,4840.54443359375,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O6.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,5,4745.412109375,4802.71142578125,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O5.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,4,4708.74755859375,4765.46533203125,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O4.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,3,4672.64697265625,4728.7919921875,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O3.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,24,5569.72021484375,5617.3876953125,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O24.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,23,5519.22900390625,5588.9287109375,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O23.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,22,5469.6474609375,5538.560546875,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O22.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,21,5420.97705078125,5489.091796875,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O21.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,20,5373.14306640625,5440.498046875,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O20.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,2,4637.09716796875,4692.67919921875,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O2.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,19,5326.1484375,5392.7568359375,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O19.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,18,5279.97119140625,5345.845703125,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O18.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,17,5234.61474609375,5299.7431640625,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O17.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,16,5190.00927734375,5254.4287109375,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O16.fits
HD 101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,15,5146.15966796875,5209.8818359375,orders/HD101065_2017-04-20T05_21_31_564nm_redl_O15.fits
