Object,RA,DEC,DateObs,Setting,Order,WaveMin,WaveMax,Filename
HD 155806,258.82957,-33.54886,2015-07-03T01:53:45.405,564,9,6111.63671875,6214.03173828125,orders/HD155806_2015-07-03T01:52:20_564nm_redu_O9.fits
HD 147889,246.350909,-24.46519,2016-07-28T03:04:39.058,437,13,4132.17578125,4196.2392578125,orders/HD147889_2016-07-28T03:03:59_437nm_blue_O13.fits
HD 170740,277.857078,-10.79601,2016-05-05T04:57:38.046,346,24,3587.466796875,3643.400146484375,orders/HD170740_2016-05-05T04:51:20_346nm_blue_O24.fits
HD 147889,246.351279,-24.46584,2015-08-16T01:37:16.742,564,8,6050.49267578125,6151.927734375,orders/HD147889_2015-08-16T01:31:02_564nm_redu_O8.fits
HD 37128,84.053268,-1.20192,2017-08-09T09:48:53.966,564,9,6111.5166015625,6213.9521484375,orders/HD37128_2017-08-09T09:39:37_564nm_redu_O9.fits
HD 75860,132.721879,-43.75137,2017-04-30T00:34:09.239,564,5,4726.380859375,4806.69775390625,orders/HD75860_2017-04-30T00:12:09_564nm_redl_O5.fits
HD 151804,252.889719,-41.23018,2015-07-20T03:54:17.024,860,19,8289.7216796875,8427.2021484375,orders/HD151804_2015-07-20T03:48:55_860nm_redl_O19.fits
HD 36822,83.705039,9.48951,2014-09-26T08:04:29.576,346,27,3672.9365234375,3730.177734375,orders/HD36822_2014-09-26T08:00:13_346nm_blue_O27.fits
HD 135591,229.705393,-60.49642,2016-02-22T05:32:31.670,346,20,3453.515869140625,3507.4658203125,orders/HD135591_2016-02-22T05:31:02_346nm_blue_O20.fits
HD 151804,252.890445,-41.23085,2016-07-02T01:12:28.307,564,16,6576.74658203125,6667.7412109375,orders/HD151804_2016-07-02T00:52:32_564nm_redu_O16.fits
HD 91824,158.694546,-58.15625,2015-02-19T04:54:54.584,564,16,6577.0908203125,6663.4189453125,orders/HD91824_2015-02-19T04:53:29_564nm_redu_O16.fits
HD 57061,109.677182,-24.95436,2014-10-10T09:10:06.277,437,31,4923.73779296875,4999.7275390625,orders/HD57061_2014-10-10T08:49:45_437nm_blue_O31.fits
HD 185859,295.117658,20.47661,2016-08-13T02:22:37.480,346,31,3793.411865234375,3852.441162109375,orders/HD185859_2016-08-13T02:21:57_346nm_blue_O31.fits
HD 167838,274.407355,-15.4313,2016-08-25T03:24:45.415,860,19,8289.7578125,8427.20703125,orders/HD167838_2016-08-25T03:24:12_860nm_redl_O19.fits
HD 149404,249.094718,-42.85846,2017-04-17T08:19:29.987,564,9,4878.93115234375,4961.68359375,orders/HD149404_2017-04-17T08:06:37_564nm_redl_O9.fits
HD 166937,273.44054,-21.0595,2017-05-21T09:20:06.923,437,5,3856.552490234375,3916.56689453125,orders/HD166937_2017-05-21T09:15:30_437nm_blue_O5.fits
HD 94910,164.048507,-60.45379,2019-03-25T04:15:31.957,437,31,4923.80859375,4996.61962890625,orders/HD94910_2019-03-25T04:15:07_437nm_blue_O31.fits
HD 148605,247.552133,-25.11556,2014-09-15T01:12:55.369,346,1,3044.247314453125,3092.2734375,orders/HD148605_2014-09-15T01:07:04_346nm_blue_O1.fits
HD 75860,132.721879,-43.75137,2017-04-30T00:12:41.299,346,25,3587.480712890625,3643.40576171875,orders/HD75860_2017-04-30T00:12:09_346nm_blue_O25.fits
HD 68273,122.383442,-47.33651,2018-09-30T09:12:19.404,860,14,7758.2861328125,7887.0634765625,orders/HD68273_2018-09-30T09:08:40_860nm_redl_O14.fits
