nm	int
309.17501	-175.34567
309.1765	-114.03089
309.178	-101.50752
309.17949	-108.4911
309.18099	-33.06419
309.18251	-29.70588
309.18401	-15.90329
309.1855	19.54868
309.187	26.43369
309.18849	69.08433
309.18999	137.56934
309.19149	119.5733
309.19301	112.73526
309.19451	182.81754
309.196	194.48308
309.1975	201.36692
309.19899	182.60864
309.20049	186.52832
309.20201	128.31926
309.20351	86.39479
309.205	52.51857
309.2065	93.15036
309.208	55.96751
309.20949	37.52957
309.21099	-0.23894
309.21251	4.29526
309.21401	-5.54629
309.2155	67.58771
309.217	130.67653
309.21849	181.03534
309.21999	221.67933
309.22151	226.10467
309.22301	204.53324
309.22451	156.00223
309.226	156.29272
309.2275	114.37675
309.22899	120.59982
309.23049	79.86364
309.23201	53.24539
309.23351	-7.23434
309.235	-71.07886
309.2365	-134.88212
309.23799	-198.79282
309.23949	-203.9958
309.24102	-143.01391
309.24251	-144.80429
309.24401	-127.22338
309.2455	-106.19768
309.247	-47.72614
309.24849	-108.90347
309.24999	-91.58067
309.25151	-60.94715
309.25301	12.69079
309.2545	18.12391
309.256	60.17924
309.25749	142.24648
309.25899	157.10747
309.26049	118.56152
309.26201	130.09731
309.26351	173.03662
309.265	159.49044
309.2665	163.87663
309.26799	180.09422
309.26949	163.41312
309.27101	102.10757
309.27251	44.94014
309.274	21.46529
309.2755	128.37777
309.277	182.12595
309.27999	234.34897
309.28151	235.05946
309.28301	230.52688
309.2845	163.41206
309.286	154.13545
309.28749	128.8967
309.28899	133.61892
309.29051	155.34758
309.29201	143.71931
309.29351	76.49201
309.295	0.2491
309.2965	-13.92448
309.29799	0.6727
309.29949	-91.03272
309.30101	-93.18485
309.30251	-109.24642
309.304	-135.71007
309.3055	-152.62213
309.30699	-102.7805
309.30849	-126.17547
309.30998	-37.16009
309.31151	-36.6453
309.31301	-82.26488
309.3145	-108.73895
309.316	-70.41722
309.31749	-101.96154
309.31899	-85.58239
309.32051	-84.44184
309.32201	-83.21396
309.3235	-39.63894
309.325	-37.2133
309.32649	19.23753
309.32799	61.84109
309.32949	115.78079
309.33101	71.91229
309.33251	69.94896
309.334	50.37769
309.3355	17.28272
309.33699	-61.71707
309.33849	-102.53255
309.34001	-100.1171
309.34151	-128.38814
309.343	-69.24415
309.3445	7.00835
309.346	44.79492
309.34749	69.55552
309.34899	93.27695
309.35051	71.53976
309.35201	56.52038
309.3535	51.34657
309.355	32.63344
309.35649	24.7023
309.35799	-43.70654
309.35951	-76.11205
309.36101	-129.00654
309.36251	-86.77866
309.364	-83.32773
309.3655	-9.59417
309.36699	31.91805
309.36849	116.73509
309.37001	83.79468
309.37151	81.95342
309.373	67.78342
309.3745	73.83806
309.37599	41.71487
309.37749	-0.96145
309.37899	6.6095
309.38051	-16.97688
309.38201	0.91712
309.3835	5.87231
309.385	3.32471
309.38649	5.97746
309.38799	29.99772
309.38951	20.02508
309.39101	29.60336
309.3925	60.81239
309.394	-16.45416
309.3955	-108.9669
309.39699	-135.33433
309.39849	-159.06944
309.40001	-187.68426
309.40151	-158.52396
309.403	-75.98146
309.4045	-116.9444
309.40599	-51.04116
309.40749	-40.60126
309.40901	20.3649
309.41051	9.53165
309.41201	39.70025
309.4135	-18.86444
309.415	6.49469
309.41649	-5.91642
309.41799	-59.69704
309.41951	-88.6479
309.42101	-135.03359
309.4225	-121.79666
309.424	-148.87727
309.42549	-90.10681
309.42699	-58.16526
309.42852	-1.10691
309.43001	-29.12395
309.43151	1.13333
309.433	8.76381
309.4345	6.72324
309.43599	0.43722
309.43749	24.55573
309.43901	-6.32658
309.44051	-30.54899
309.442	12.49576
309.4435	8.22608
309.44499	-22.06595
309.44649	28.434
309.44799	22.31784
309.44951	-24.61737
309.45101	-60.61293
309.4525	-42.1172
309.454	-111.21832
309.45549	-114.14125
309.45699	-106.78447
309.45851	-53.2905
309.46001	-65.52268
309.4615	-22.9238
309.463	-18.18508
309.4645	8.66458
309.46599	-9.51418
309.46749	43.44329
309.46901	45.09448
309.47051	98.49512
309.472	85.32619
309.4735	117.01706
309.47499	35.58036
309.47649	30.19047
309.47801	-21.86075
309.47951	-37.33287
309.48101	-25.10665
309.4825	22.67036
309.484	24.30283
309.48549	64.82668
309.48699	76.18854
309.48851	93.68339
309.49001	98.40765
309.4915	109.69712
309.493	69.31065
309.49449	80.50159
309.49599	1.34676
309.49748	15.37816
309.49901	-0.94767
309.50051	28.05628
309.502	34.54637
309.5035	49.90199
309.50499	40.72314
309.50649	52.2452
309.50801	45.34409
309.50951	44.90141
309.511	43.93858
309.5125	19.61823
309.51399	11.70784
309.51549	17.74301
309.51699	-21.18803
309.51851	-2.61634
309.52001	0.2154
309.5215	15.62162
309.523	-21.5167
309.52449	6.14537
309.52599	29.30534
309.52751	24.29036
309.52901	35.34281
309.5305	86.43247
309.532	100.90871
309.5335	30.30018
309.53499	52.66587
309.53649	9.3397
309.53801	-29.92876
309.53951	-73.64626
309.541	-45.02042
309.5425	-61.32478
309.54399	-45.99372
309.54549	-26.32532
309.54701	35.88048
309.54851	46.07447
309.55001	78.59092
309.5515	90.06351
309.553	86.39157
309.55449	43.48816
309.55599	42.20344
309.55751	3.6803
309.55901	-4.84554
309.5605	19.66883
309.562	48.95363
309.56349	61.82143
309.56499	79.46874
309.56649	96.4972
309.56801	53.4281
309.56951	70.72082
309.571	51.3303
309.5725	39.1066
309.57399	37.62331
309.57549	54.03458
309.57701	28.20646
309.57851	52.93463
309.58	25.38975
309.5815	-13.94313
309.583	14.51765
309.58449	18.61515
309.58599	22.54947
309.58751	52.02634
309.58901	117.17989
309.5905	117.99816
309.592	104.56743
309.59349	89.52545
309.59499	128.0708
309.59651	105.7019
309.59801	80.17518
309.59951	93.12249
309.601	83.03307
309.6025	51.73935
309.60399	17.80567
309.60549	48.45512
309.60701	20.00249
309.60851	26.69306
309.61	2.28868
309.6115	8.18568
309.61299	10.90682
309.61449	5.69475
309.61602	2.99343
309.61751	37.61017
309.61901	89.07935
309.6205	69.41744
309.622	39.2746
309.62349	30.80127
309.62499	29.89652
309.62651	-17.19117
309.62801	-26.27071
309.6295	88.89541
309.631	110.03177
309.63249	90.29518
309.63399	109.41788
309.63549	127.42417
309.63701	64.8123
309.63851	42.43002
309.64	40.75043
309.6415	30.26219
309.64299	-6.52062
309.64449	-6.9156
309.64601	30.57269
309.64751	32.26082
309.649	47.4928
309.6505	50.16265
309.652	65.22558
309.65349	65.07581
309.65499	70.38093
309.65651	79.03905
309.65801	116.75696
309.6595	62.95452
309.661	7.1235
309.66249	-11.45989
309.66399	-41.22664
309.66551	-72.41908
309.66701	-39.03652
309.66851	6.29536
309.67	11.11668
309.6715	20.79006
309.67299	57.88313
309.67449	49.72966
309.67601	3.35046
309.67751	-14.92274
309.679	-48.35027
309.6805	-104.38725
309.68199	-92.95151
309.68349	-57.21367
309.68498	-44.79029
309.68651	-35.33165
309.68801	8.67581
309.6895	22.17097
309.691	8.60928
309.69249	19.14796
309.69399	12.3813
309.69551	-64.41151
309.69701	-107.51723
309.6985	-100.81888
309.7	-121.59209
309.70149	-110.03923
309.70299	-58.07312
309.70449	-33.73421
309.70601	-26.87274
309.70751	25.68677
309.709	36.87789
309.7105	56.125
309.71199	45.8375
309.71349	23.38901
309.71501	-22.33462
309.71651	-63.57608
309.718	-119.21491
309.7195	-150.87298
309.721	-105.46923
309.72249	-66.34175
309.72399	-38.08487
309.72551	-50.76172
309.72701	-0.66129
309.7285	-12.73706
309.73	-28.76964
309.73149	-7.41485
309.73299	44.06117
309.73451	10.27849
309.73601	-16.80867
309.73751	-47.80062
309.739	-59.60342
309.7405	-64.00758
309.74199	-29.26617
309.74349	-69.38307
309.74501	-69.6732
309.74651	-42.58742
309.748	-39.41925
309.7495	-8.29822
309.75099	54.27784
309.75249	89.92105
309.75399	31.46494
309.75551	-30.39229
309.75701	-86.07965
309.7585	-105.30553
309.76	-102.46907
309.76149	-116.81013
309.76299	-112.10076
309.76451	-71.69092
309.76601	-104.68428
309.769	-106.1223
309.7705	-57.30516
309.77199	2.62693
309.77349	-24.25984
309.77501	6.48939
309.77651	-5.79465
309.778	-5.8007
309.7795	-70.26468
309.78099	-102.3052
309.78249	-112.21385
309.78401	-133.61742
309.78551	-159.06436
309.78701	-96.31925
309.7885	-67.59382
309.79	-35.29428
309.79149	0.60436
309.79299	33.96583
309.79451	39.49533
309.79601	60.36461
309.7975	22.18962
309.799	26.86397
309.80049	30.20004
309.80199	50.6827
309.80352	8.09827
309.80501	48.70808
309.80651	27.09621
