wno	int
31695.72108	1091.9718
31695.4207	1393.41736
31695.11731	1353.38318
31694.81695	1411.55115
31694.51659	1360.56921
31694.21322	1405.46497
31693.91186	1379.50598
31693.61152	1395.23022
31693.31118	1395.90564
31693.00783	1377.57483
31692.70751	1382.63611
31692.40719	1367.80225
31692.10386	1395.04419
31691.80355	1386.34241
31691.50324	1384.66931
31691.19993	1388.70422
31690.89964	1423.56897
31690.59935	1445.31189
31690.29807	1510.70813
31689.99478	1488.75671
31689.69451	1461.30713
31689.39425	1468.66309
31689.09098	1477.04468
31688.79072	1488.17102
31688.49048	1532.53662
31688.18722	1516.35278
31687.88699	1490.40283
31687.58676	1476.63953
31687.28352	1534.79089
31686.9823	1532.67676
31686.68209	1502.34546
31686.38188	1499.88269
31686.07867	1512.39868
31685.77847	1495.82471
31685.47828	1524.07666
31685.17509	1481.43298
31684.87491	1490.69385
31684.57474	1481.50867
31684.27156	1501.8551
31683.9714	1490.40747
31683.67024	1526.93445
31683.37009	1523.83936
31683.06693	1532.8075
31682.76679	1527.26709
31682.46666	1504.97473
31682.16352	1579.18018
31681.8634	1553.20947
31681.56328	1543.2854
31681.26016	1563.43933
31680.96006	1510.81372
31680.65996	1550.5542
31680.35585	1512.7926
31680.05577	1456.18262
31679.75569	1481.20825
31679.45561	1538.96362
31679.15253	1538.46838
31678.85247	1525.76563
31678.55241	1496.70227
31678.24934	1516.19055
31677.9493	1544.76831
31677.64925	1503.24121
31677.34621	1530.0769
31677.04618	1543.37036
31676.74515	1495.01782
31676.44513	1504.2251
31676.14211	1504.27783
31675.8421	1512.51709
31675.5421	1492.68152
31675.23909	1511.28711
31674.9391	1499.94165
31674.63912	1530.9425
31674.33613	1504.89722
31674.03616	1533.35205
31673.73619	1524.72791
31673.43623	1498.58008
31673.13226	1481.9342
31672.83231	1546.17236
31672.53237	1525.2428
31672.22942	1514.1156
31671.92949	1514.89648
31671.62956	1470.68408
31671.32663	1575.97754
31671.02671	1523.948
31670.7268	1523.95764
31670.42389	1505.83569
31670.12399	1545.07263
31669.82309	1488.48547
31669.5232	1504.05701
31669.22031	1545.46924
31668.92044	1521.59424
31668.62057	1497.87024
31668.31769	1495.31433
31668.01784	1538.18762
31667.71798	1543.25549
31667.41513	1538.32678
31667.11528	1555.54578
31666.81545	1511.77844
31666.51461	1513.15247
31666.21178	1526.05127
31665.91196	1486.01379
31665.61215	1523.81128
31665.30933	1525.06763
31665.00953	1496.35217
31664.70973	1501.27686
31664.40694	1529.8634
31664.10715	1502.49512
31663.80737	1504.32666
31663.50459	1525.63013
31663.20382	1557.41394
31662.90406	1604.10706
31662.6043	1527.02991
31662.30154	1572.3811
31662.0018	1569.12756
31661.70206	1582.47778
31661.39932	1566.8446
31661.09959	1525.61194
31660.79987	1551.34888
31660.49714	1517.02258
31660.19743	1469.56628
31659.89773	1511.65698
31659.59703	1501.24121
31659.29433	1541.32886
31658.99464	1514.15479
31658.69495	1566.39038
31658.39227	1534.40881
31658.0926	1524.84961
31657.79293	1545.24988
31657.49027	1532.57336
31657.19061	1492.95117
31656.89097	1525.93518
31656.58832	1472.52917
31656.28768	1534.84424
31655.98805	1533.01343
31655.68842	1555.95557
31655.3858	1553.09985
31655.08618	1537.69666
31654.78657	1533.58569
31654.48396	1551.48694
31654.18437	1583.42834
31653.88478	1604.48767
31653.58218	1581.14148
31653.2826	1617.89038
31652.98303	1586.15649
31652.68246	1618.20728
31652.37989	1604.47314
31652.08033	1593.28589
31651.78078	1617.47412
31651.47823	1535.67578
31651.17869	1548.06519
31650.87916	1541.40442
31650.57662	1530.90027
31650.2771	1553.52417
31649.97758	1578.3252
31649.67506	1581.67126
31649.37456	1556.74768
31649.07506	1610.7074
31648.77556	1644.35254
31648.47307	1674.46826
31648.17358	1681.40356
31647.87411	1655.32813
31647.57163	1691.52942
31647.27216	1687.37439
31646.9727	1664.31921
31646.67024	1724.3479
31646.37079	1763.21289
31646.07035	1781.97205
31645.77091	1762.79224
31645.46847	1741.8219
31645.16905	1740.35254
31644.86963	1735.38867
31644.56721	1773.68933
31644.2678	1803.15186
31643.9684	1786.23572
31643.66599	1775.63159
