nm	int
312.588	-14.00111
312.59099	-15.31539
312.59401	-14.22989
312.597	-12.72825
312.59999	-11.22553
312.60301	-8.94465
312.60601	-4.53905
312.609	-4.18783
312.61199	-4.6471
312.61501	-4.84996
312.618	-5.28568
312.62099	-6.48874
312.62401	-5.23452
312.627	-7.43275
312.62999	-10.4557
312.63301	-11.23958
312.636	-14.14735
312.63899	-14.78236
312.64199	-14.24777
312.64501	-15.18777
312.648	-13.16259
312.65099	-10.53509
312.65401	-10.98309
312.657	-11.02691
312.65999	-7.42073
312.66301	-5.22729
312.666	-4.88925
312.66899	-4.50261
312.67201	-4.21321
312.67501	-5.45387
312.678	-3.33052
312.68099	-3.63466
312.68401	-3.20112
312.687	-1.78777
312.68999	-2.08207
312.69301	-3.24806
312.696	-1.46694
312.69899	-0.44857
312.70201	1.65717
312.705	1.62081
312.708	3.1184
312.71099	3.32847
312.71401	3.65827
312.717	2.58707
312.71999	3.19873
312.72301	4.61297
312.726	4.31391
312.72899	3.48399
312.73201	2.84113
312.735	1.10706
312.73799	2.10603
312.74102	3.51668
312.74401	3.9287
312.747	4.80765
312.74999	5.45765
312.75301	5.35267
312.756	4.61344
312.75899	5.8305
312.76201	6.47744
312.765	6.03707
312.76799	4.93206
312.77101	1.19636
312.774	-0.93995
312.777	-2.26751
312.77999	-4.17213
312.78301	-6.5461
312.786	-6.86161
312.78899	-6.36112
312.79201	-8.08242
312.795	-9.87139
312.79799	-11.23359
312.80101	-8.53206
312.804	-7.67834
312.80699	-8.55693
312.80998	-9.39181
312.81301	-6.68268
312.816	-5.7401
312.81899	-7.53077
312.82201	-7.79141
312.825	-6.24024
312.82799	-6.16855
312.83101	-3.72538
312.834	-4.53494
312.83699	-2.16285
312.84001	-0.57374
312.843	0.26252
312.846	-0.60969
312.84899	-0.02716
312.85201	-0.21606
312.855	2.2717
312.85799	2.15814
312.86101	2.47147
312.864	1.23832
312.86699	0.27462
312.87001	-0.43952
312.873	-0.82
312.87599	-2.74901
312.87899	-5.05297
312.88201	-6.21519
312.885	-5.47062
