wno	int
18576.24227	52.10476
18576.32512	52.37991
18576.40796	53.21289
18576.4908	53.31936
18576.57365	51.60071
18576.65649	51.21319
18576.73933	51.532
18576.82218	56.72879
18576.90502	59.69792
18576.98786	56.02119
18577.07071	54.76779
18577.15355	54.54019
18577.23639	55.56618
18577.31924	58.33086
18577.40208	59.81422
18577.48492	58.79433
18577.56777	57.7614
18577.65061	57.73162
18577.73345	59.68901
18577.8163	60.69864
18577.89914	61.58839
18577.98198	59.30916
18578.06482	56.69804
18578.14767	54.80266
18578.23051	55.00731
18578.31335	57.57444
18578.3962	56.83258
18578.47904	55.52499
18578.56188	50.64035
18578.64473	49.54161
18578.72757	53.77374
18578.81041	55.14318
18578.89326	57.55616
18578.9761	57.82987
18579.05894	55.71179
18579.14179	55.14491
18579.22463	55.65438
18579.30747	55.66332
18579.39032	56.07579
18579.47316	55.84667
18579.556	52.14395
18579.63885	51.77721
18579.72169	53.0404
18579.80453	53.25997
18579.88738	52.59063
18579.97022	49.78963
18580.05306	49.40351
18580.13591	50.24398
18580.21875	51.51007
18580.30159	52.50038
18580.38443	52.70225
18580.46728	51.03307
18580.55012	50.5833
18580.63296	55.04793
18580.71581	61.40813
18580.79865	60.92346
18580.88149	60.27124
18580.96434	59.72214
18581.04718	59.5568
18581.13002	57.4215
18581.21287	56.13088
18581.29571	55.74421
18581.37855	58.00121
18581.4614	60.43181
18581.54424	60.54156
18581.62708	57.7016
18581.70993	53.54943
18581.79277	52.53114
18581.87561	52.39046
18581.95846	52.36072
18582.0413	51.95456
18582.12414	50.63595
18582.20699	50.16118
18582.28983	52.76887
18582.37267	53.1445
18582.45552	52.08029
18582.53836	53.74588
18582.6212	53.7774
18582.70404	53.70286
18582.78689	53.64641
18582.86973	52.40267
18582.95257	51.53486
18583.03542	55.91219
18583.11826	56.85131
18583.2011	56.88462
18583.28395	56.13849
18583.36679	51.97671
18583.44963	52.00422
18583.53248	52.36208
18583.61532	54.50374
18583.69816	59.69315
18583.78101	59.50256
18583.86385	56.43003
18583.94669	56.37396
18584.02954	58.29216
18584.11238	58.53125
18584.19522	54.21325
18584.27807	53.88652
18584.36091	51.12937
18584.44375	52.24988
18584.5266	56.58767
18584.60944	59.80503
18584.69228	62.08994
18584.77513	62.63924
18584.85797	61.23202
18584.94081	57.74208
18585.02365	55.29069
18585.1065	52.60535
18585.18934	54.59562
18585.27218	55.0562
18585.35503	54.18393
18585.43787	53.64675
18585.52071	52.64704
18585.60356	51.73247
18585.6864	49.61859
18585.76924	49.18231
18585.85209	50.98131
18585.93493	51.42936
18586.01777	49.08434
18586.10062	49.06559
18586.18346	50.88863
18586.2663	53.77696
18586.34915	53.77504
18586.43199	52.78444
18586.51483	52.10193
18586.59768	52.33745
18586.68052	53.03822
18586.76336	53.33761
18586.84621	54.00934
18586.92905	54.63737
18587.01189	53.94365
18587.09474	51.0026
18587.17758	50.65726
18587.26042	51.47512
18587.34327	52.45006
18587.42611	54.4606
18587.50895	52.77919
18587.59179	53.26331
18587.67464	54.75843
18587.75748	55.66766
18587.84032	56.76207
18587.92317	57.1587
18588.00601	57.05544
18588.08885	57.26214
18588.1717	56.84663
18588.25454	56.56532
18588.33738	55.64652
18588.42023	51.37285
