Species,WavelengthAir,OscillatorStrength,Gamma
CH ,3137.576,0,
CH ,3143.183,0,
CH ,3145.996,0,
CH ,3627.403,0.00035,
CH ,3633.289,0.00104,
CH ,3636.222,0.00069,
CH ,3878.774,0.00105,
CH ,3886.409,0.0032,
CH ,3886.4132,0.00107,
CH ,3886.4069,0.00213,
CH ,3890.217,0.0021,
CH ,4300.303,0.00506,
CH ,4300.3235,0.00506,
CH ,4300.3132,0.005069,
CH+,3447.077,0.0004,
CH+,3579.024,0.00075,
CH+,3745.308,0.00172,
CH+,3957.689,0.00342,1.00E+08
CH+,4232.548,0.00545,1.00E+08
CH+,4229.347,0.002725,1.00E+08
CH+,4237.56,0.002725,
CH+,3957.692,0.00331,1.00E+08
CH+,3955.486,0.001655,
CH+,3962.071,0.001655,
NH ,3353.9235,0.00249,
NH ,3358.0525,0.0041,
OH ,3072.01,0,
OH ,3072.064,0,
OH ,3078.443,0.00105,
OH ,3081.6645,0.000648,
OH+,3583.757,0.00102,
OH+,3572.649,0.000603,
OH+,3566.445,0.000229,
OH+,3565.341,0.000246,
OH+,3559.807,0.000167,
OH+,3553.329,0.000009,
OH+,3346.961,0.000711,
OH+,3337.358,0.000416,
OH+,3332.177,0.000166,
OH+,3330.409,0.000172,
OH+,3326.368,0.000129,
OH+,3319.971,0.000006,
SH ,3242.38,0.00054,
SH ,3240.67,0.00049,
SH ,3240.62,0.00045,
SH ,3237.21,0.00037,
SH ,3237.12,0.00012,
SH,3232.03,0.00009,
