object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 23180,0.93,0.16,0.16,3,1
HD 27778,0.91,0.14,0.14,3,1
HD 36982,1.74,0.34,0.34,3,1
HD 37020,1.77,0.3,0.3,3,1
HD 37022,1.78,0.36,0.36,3,1
HD 37023,1.74,0.24,0.24,3,1
HD 37041,1.13,0.38,0.38,3,1
HD 37061,2.4,0.21,0.21,3,1
HD 37367,1.49,0.24,0.24,3,1
HD 37903,1.31,0.18,0.18,3,1
HD 41117,1.25,0.16,0.16,3,1
HD 45314,1.9,0.22,0.22,3,1
HD 54439,0.79,0.15,0.15,3,1
HD 73882,2.46,0.17,0.17,3,1
HD 75309,1.02,0.18,0.18,3,1
HD 79186,1.28,0.26,0.26,3,1
HD 91824,0.8,0.28,0.28,3,1
HD 93205,1.23,0.16,0.16,3,1
HD 93222,1.71,0.33,0.33,3,1
HD 93843,1.05,0.2,0.2,3,1
HD 94493,0.82,0.18,0.18,3,1
HD 99953,1.77,0.27,0.27,3,1
HD 103779,0.69,0.15,0.15,3,1
HD 104705,0.65,0.24,0.24,3,1
HD 111934,1.25,0.18,0.18,3,1
HD 112272,3.09,0.15,0.15,3,1
HD 116852,0.51,0.12,0.12,3,1
HD 122879,1.13,0.2,0.2,3,1
HD 144470,0.74,0.09,0.09,3,1
HD 147165,1.47,0.23,0.23,3,1
HD 147888,1.99,0.18,0.18,3,1
HD 147889,4.35,0.21,0.21,3,1
HD 147933,2.58,0.34,0.34,3,1
HD 149038,1.08,0.32,0.32,3,1
HD 149404,2.19,0.31,0.31,3,1
HD 151804,1.3,0.16,0.16,3,1
HD 152248,1.51,0.18,0.18,3,1
HD 152408,1.75,0.25,0.25,3,1
HD 152424,2.23,0.17,0.17,3,1
HD 153919,1.97,0.19,0.19,3,1
HD 154368,2.53,0.2,0.2,3,1
HD 164073,0.62,0.15,0.15,3,1
HD 164740,4.48,0.18,0.18,3,1
HD 164906,2.06,0.22,0.22,3,1
HD 167264,0.98,0.15,0.15,3,1
HD 167838,2.13,0.17,0.17,3,1
HD 167971,3.54,0.17,0.17,3,1
HD 168076,2.64,0.17,0.17,3,1
HD 169454,3.64,0.17,0.17,3,1
HD 170740,1.51,0.46,0.46,3,1
HD 179406,0.96,0.14,0.14,3,1
HD 185418,1.27,0.14,0.14,3,1
HD 185859,1.65,0.14,0.14,3,1
HD 203532,0.94,0.11,0.11,3,1
HD 210121,0.75,0.15,0.15,3,1
HD 303308,1.36,0.17,0.17,3,1
