object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 23180,0.3,0.04,0.04,1,0
HD 27778,0.35,0.04,0.04,1,0
HD 36982,0.36,0.06,0.06,1,0
HD 37020,0.28,0.04,0.04,1,0
HD 37022,0.31,0.05,0.05,1,0
HD 37023,0.36,0.04,0.04,1,0
HD 37041,0.2,0.06,0.06,1,0
HD 37061,0.56,0.04,0.04,1,0
HD 37367,0.42,0.04,0.04,1,0
HD 37903,0.35,0.04,0.04,1,0
HD 41117,0.4,0.03,0.03,1,0
HD 45314,0.43,0.04,0.04,1,0
HD 54439,0.29,0.04,0.04,1,0
HD 73882,0.69,0.04,0.04,1,0
HD 75309,0.29,0.04,0.04,1,0
HD 79186,0.4,0.04,0.04,1,0
HD 91824,0.24,0.07,0.07,1,0
HD 93205,0.38,0.04,0.04,1,0
HD 93222,0.36,0.06,0.06,1,0
HD 93843,0.27,0.05,0.05,1,0
HD 94493,0.23,0.04,0.04,1,0
HD 99953,0.48,0.06,0.06,1,0
HD 103779,0.21,0.04,0.04,1,0
HD 104705,0.23,0.07,0.07,1,0
HD 111934,0.51,0.06,0.06,1,0
HD 112272,1.0,0.04,0.04,1,0
HD 116852,0.21,0.04,0.04,1,0
HD 122879,0.36,0.05,0.05,1,0
HD 144470,0.22,0.02,0.02,1,0
HD 147165,0.38,0.03,0.03,1,0
HD 147888,0.51,0.04,0.04,1,0
HD 147889,1.1,0.04,0.04,1,0
HD 147933,0.45,0.05,0.05,1,0
HD 149038,0.22,0.05,0.05,1,0
HD 149404,0.62,0.06,0.06,1,0
HD 151804,0.3,0.03,0.03,1,0
HD 152248,0.41,0.04,0.04,1,0
HD 152408,0.42,0.05,0.05,1,0
HD 152424,0.68,0.04,0.04,1,0
HD 153919,0.51,0.04,0.04,1,0
HD 154368,0.76,0.05,0.05,1,0
HD 164073,0.21,0.04,0.04,1,0
HD 164740,0.89,0.03,0.03,1,0
HD 164906,0.45,0.04,0.04,1,0
HD 167264,0.3,0.04,0.04,1,0
HD 167838,0.63,0.04,0.04,1,0
HD 167971,1.03,0.04,0.04,1,0
HD 168076,0.76,0.04,0.04,1,0
HD 169454,1.08,0.04,0.04,1,0
HD 170740,0.5,0.13,0.13,1,0
HD 179406,0.35,0.04,0.04,1,0
HD 185418,0.5,0.04,0.04,1,0
HD 185859,0.6,0.04,0.04,1,0
HD 203532,0.28,0.03,0.03,1,0
HD 210121,0.31,0.05,0.05,1,0
HD 303308,0.45,0.05,0.05,1,0
