object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 37367,20.53,0.09,0.09,7,1
HD 37903,20.85,0.07,0.07,7,1
HD 53975,19.18,0.04,0.04,7,1
HD 54662,20.0,0.18,0.18,7,1
HD 73882,21.08,0.1,0.1,7,1
HD 75309,20.2,0.12,0.12,7,1
HD 91824,19.85,0.07,0.07,7,1
HD 93222,19.78,0.08,0.07,7,1
HD 93843,19.61,0.03,0.03,7,1
HD 94493,20.15,0.07,0.05,7,1
HD 103779,19.82,0.05,-0.95,7,1
HD 109399,20.04,0.2,0.2,7,1
HD 114886,20.23,0.08,0.07,7,1
HD 116852,19.79,0.11,0.11,7,1
HD 122879,20.24,0.09,0.09,7,1
HD 124314,20.52,0.06,0.05,7,1
HD 135591,19.77,0.11,0.11,7,1
HD 168076,20.68,0.08,0.08,7,1
HD 170740,20.86,0.08,0.08,7,1
HD 185418,20.71,0.12,0.12,7,1
HD 203532,20.64,0.08,0.08,7,1
