object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 37367,21.17,0.15,0.12,7,1
HD 37903,21.12,0.1,0.1,7,1
HD 53975,21.13,0.06,0.06,7,1
HD 54662,21.38,0.15,0.11,7,1
HD 55879,20.9,0.15,0.12,7,1
HD 73882,21.11,0.07,0.11,7,1
HD 75309,21.07,0.09,0.1,7,1
HD 91824,21.12,0.06,0.06,7,1
HD 93222,21.4,0.07,0.06,7,1
HD 93843,21.33,0.08,0.08,7,1
HD 94493,21.08,0.05,0.04,7,1
HD 103779,21.16,0.1,0.1,7,1
HD 109399,21.11,0.06,0.06,7,1
HD 114886,21.34,0.06,0.06,7,1
HD 116852,20.96,0.09,0.09,7,1
HD 122879,21.26,0.12,0.12,7,1
HD 124314,21.41,0.1,0.08,7,1
HD 135591,21.08,0.16,0.11,7,1
HD 168076,21.65,0.23,0.23,7,1
HD 170740,21.03,0.25,0.19,7,1
HD 185418,21.19,0.09,0.09,7,1
HD 203532,20.22,NaN,0.75,7,1
