object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 23016,2.3,NaN,NaN,5,0
HD 23180,3.11,0.39,0.39,3,1
HD 23180,3.14,NaN,NaN,6,0
HD 23180,2.75,NaN,NaN,5,0
HD 24398,2.63,NaN,NaN,5,0
HD 27778,2.59,0.24,0.24,3,1
HD 27778,2.68,NaN,NaN,6,0
HD 34748,2.61,NaN,NaN,5,0
HD 36695,2.45,NaN,NaN,5,0
HD 36822,2.64,NaN,NaN,5,0
HD 36861,2.46,NaN,NaN,5,0
HD 36982,4.84,0.52,0.52,3,1
HD 36982,5.6,NaN,NaN,6,0
HD 37020,6.33,0.6,0.6,3,1
HD 37020,5.77,NaN,NaN,6,0
HD 37022,5.73,0.69,0.69,3,1
HD 37022,6.42,NaN,NaN,6,0
HD 37023,4.82,0.39,0.39,3,1
HD 37041,5.67,1.03,1.03,3,1
HD 37041,4.73,NaN,NaN,5,0
HD 37061,4.29,0.21,0.21,3,1
HD 37061,4.55,NaN,NaN,6,0
HD 37367,3.55,0.44,0.44,3,1
HD 37367,3.34,NaN,NaN,6,0
HD 37903,3.95,NaN,NaN,6,0
HD 37903,3.74,NaN,NaN,5,0
HD 37903,3.74,0.31,0.31,3,1
HD 39680,4.73,NaN,NaN,5,0
HD 40111,3.05,NaN,NaN,5,0
HD 41117,3.12,0.29,0.29,3,1
HD 41117,3.28,NaN,NaN,5,0
HD 43384,3.29,NaN,NaN,5,0
HD 45314,3.21,NaN,NaN,5,0
HD 45314,4.42,0.3,0.3,3,1
HD 49787,2.39,NaN,NaN,5,0
HD 50820,4.39,NaN,NaN,5,0
HD 53975,3.25,NaN,NaN,5,0
HD 54439,2.73,0.33,0.33,3,1
HD 54439,2.57,NaN,NaN,6,0
HD 54439,2.88,NaN,NaN,5,0
HD 54662,3.12,NaN,NaN,5,0
HD 55879,2.47,NaN,NaN,5,0
HD 57061,3.57,NaN,NaN,5,0
HD 61827,3.22,NaN,NaN,5,0
HD 66194,2.25,NaN,NaN,5,0
HD 66811,5.01,NaN,NaN,5,0
HD 73882,3.56,0.13,0.13,3,1
HD 73882,3.45,NaN,NaN,6,0
HD 73882,3.4,NaN,NaN,5,0
HD 75309,3.53,0.4,0.4,3,1
HD 75309,3.39,NaN,NaN,6,0
HD 75860,3.44,NaN,NaN,5,0
HD 79186,3.21,0.56,0.56,3,1
HD 80558,3.35,NaN,NaN,5,0
HD 91824,3.35,0.62,0.62,3,1
HD 91824,3.08,NaN,NaN,6,0
HD 93030,2.43,NaN,NaN,5,0
HD 93205,3.25,0.24,0.24,3,1
HD 93205,3.82,NaN,NaN,5,0
HD 93222,4.76,0.48,0.48,3,1
HD 93222,5.05,NaN,NaN,6,0
HD 93222,4.0,NaN,NaN,5,0
HD 93843,3.26,NaN,NaN,5,0
HD 93843,3.89,0.41,0.41,3,1
HD 94493,3.57,0.45,0.45,3,1
HD 99953,3.69,0.3,0.3,3,1
HD 99953,3.55,NaN,NaN,5,0
