object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 101065,B5,NaN,NaN,12,1
HD 101065,roAp(F3Ho),NaN,NaN,13,1
HD 103779,B0.5 III,NaN,NaN,12,1
HD 103779,B0.5 Iab,NaN,NaN,13,1
HD 104705,B0.5 III,NaN,NaN,12,1
HD 104705,B0.5 III,NaN,NaN,13,1
HD 109399,B0.5 III,NaN,NaN,12,1
HD 109399,B0.5 Ib:,NaN,NaN,13,1
HD 111934,B2 Ib,NaN,NaN,12,1
HD 111934,B1.5 Ib,NaN,NaN,13,1
HD 112272,B1 Ia,NaN,NaN,12,1
HD 112272,B0.5 Ia,NaN,NaN,13,1
HD 113904,B0 I ae,NaN,NaN,12,1
HD 113904,O9 III,NaN,NaN,13,1
HD 114886,B1/B2 Ib/II,NaN,NaN,12,1
HD 114886,O9 III+O9.5 III,NaN,NaN,13,1
HD 116852,O9 III,NaN,NaN,12,1
HD 116852,O8.5 II-III(f),NaN,NaN,13,1
HD 122879,B0 Iae,NaN,NaN,12,1
HD 122879,B0 Ia,NaN,NaN,13,1
HD 124314,O6 V,NaN,NaN,12,1
HD 124314,O6 IV(n)((f)),NaN,NaN,13,1
HD 133518,B2 IV,NaN,NaN,12,1
HD 133518,B2 Vp,NaN,NaN,13,1
HD 135591,O8 IV,NaN,NaN,12,1
HD 135591,O8 IV((f)),NaN,NaN,13,1
HD 143275,B0.2 IVe,NaN,NaN,12,1
HD 143275,B0.3 IV,NaN,NaN,13,1
HD 144470,B1 V,NaN,NaN,12,1
HD 144470,B1 V,NaN,NaN,13,1
HD 145502,B2 V,NaN,NaN,12,1
HD 145502,B2 V(SB2),NaN,NaN,13,1
HD 147084,A4 II,NaN,NaN,12,1
HD 147084,A5 II,NaN,NaN,13,1
HD 147165,B1 III,NaN,NaN,12,1
HD 147165,B1 III,NaN,NaN,13,1
HD 147683,B4 V,NaN,NaN,12,1
HD 147683,B3: Vn(SB2),NaN,NaN,13,1
HD 147888,B3/B4 V,NaN,NaN,12,1
HD 147888,B3 V:SB,NaN,NaN,13,1
HD 147889,B2 III/IV (pms),NaN,NaN,12,1
HD 147889,B2 V,NaN,NaN,13,1
HD 147933,B2 V,NaN,NaN,12,1
HD 147933,B2 IV,NaN,NaN,13,1
HD 147934,B2 V,NaN,NaN,12,1
HD 147934,B2 V,NaN,NaN,13,1
HD 148605,B3 V,NaN,NaN,12,1
HD 148605,B2 V,NaN,NaN,13,1
HD 148937,O5.5-6f,NaN,NaN,12,1
HD 148937,O6f?p,NaN,NaN,13,1
HD 149038,O9.7 Iab,NaN,NaN,12,1
HD 149038,O9.7Iab,NaN,NaN,13,1
HD 149404,O8.5 Iab(f)p,NaN,NaN,12,1
HD 149404,---,NaN,NaN,13,1
HD 149757,O9.2 IV,NaN,NaN,12,1
HD 149757,O9.2 IVnn,NaN,NaN,13,1
HD 150136,O3.5 If+O6 V,NaN,NaN,12,1
HD 150136,O3.5-4 III(f*)+O6 IV,NaN,NaN,13,1
HD 151804,O8 Ia,NaN,NaN,12,1
HD 151804,O8 Iaf(SB2),NaN,NaN,13,1
HD 152408,WN9,NaN,NaN,12,1
HD 152408,O8: Iafpe,NaN,NaN,13,1
HD 152424,OC9.2 Ia,NaN,NaN,12,1
HD 152424,OC9.2 Ia(SB1),NaN,NaN,13,1
HD 153919,O6 Iafcp,NaN,NaN,12,1
HD 153919,O6 Iafcp(SB1E),NaN,NaN,13,1
HD 154043,B2 Iab,NaN,NaN,12,1
HD 154043,B2 Iab,NaN,NaN,13,1
HD 155806,O7.5 V (Be),NaN,NaN,12,1
HD 155806,O7.5 V((f))z(e),NaN,NaN,13,1
HD 156201,B0.5 Ia,NaN,NaN,12,1
HD 156201,B0.5 Ia,NaN,NaN,13,1
HD 157246,B1 Ib,NaN,NaN,12,1
HD 157246,B1 Ib,NaN,NaN,13,1
HD 157978,B9.5 V+,NaN,NaN,12,1
HD 157978,G0/K0 II:+A1,NaN,NaN,13,1
HD 158926,B2 IV + DA7.9,NaN,NaN,12,1
HD 158926,B2 IV + DA.79,NaN,NaN,13,1
HD 164073,B3 III/IV,NaN,NaN,12,1
HD 164073,B3 III/IV,NaN,NaN,13,1
HD 164353,B5 I,NaN,NaN,12,1
HD 164353,---,NaN,NaN,13,1
HD 164740,O7,NaN,NaN,12,1
HD 164740,O7: V+sec.,NaN,NaN,13,1
HD 164906,B1 V,NaN,NaN,12,1
HD 164906,B0 Ve,NaN,NaN,13,1
HD 165319,B0 Ia,NaN,NaN,12,1
HD 165319,O9.7 Ib,NaN,NaN,13,1
HD 166937,B8 Iab(e),NaN,NaN,12,1
HD 166937,---,NaN,NaN,13,1
HD 167264,B0.5 Iab,NaN,NaN,12,1
HD 167264,O9.7 Iab,NaN,NaN,13,1
HD 167838,B3 Iab,NaN,NaN,12,1
HD 167838,B5 Ia,NaN,NaN,13,1
HD 167971,O8/O9f,NaN,NaN,12,1
HD 167971,O8 Iaf(n)+O4/5,NaN,NaN,13,1
HD 168076,O5,NaN,NaN,12,1
HD 168076,O4 III(f),NaN,NaN,13,1
HD 169454,B1 Ia,NaN,NaN,12,1
HD 169454,B1 Ia,NaN,NaN,13,1
HD 170740,B2 V,NaN,NaN,12,1
HD 170740,B2 V,NaN,NaN,13,1
HD 170938,B1 Ia,NaN,NaN,12,1
HD 170938,B1 Ia,NaN,NaN,13,1
HD 171957,B8 II/III,NaN,NaN,12,1
HD 171957,B9 IV,NaN,NaN,13,1
HD 172694,B2 Ib,NaN,NaN,12,1
HD 172694,B1: Vne,NaN,NaN,13,1
HD 180554,B4 IV,NaN,NaN,12,1
HD 180554,---,NaN,NaN,13,1
HD 183143,B6 Ia,NaN,NaN,12,1
