object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 37367,0.31,0.13,0.12,7,1
HD 37903,0.52,0.2,0.2,7,1
HD 53975,0.02,0.0,0.0,7,1
HD 54662,0.08,0.04,0.04,7,1
HD 73882,0.65,0.42,0.44,7,1
HD 75309,0.21,0.08,0.08,7,1
HD 91824,0.1,0.02,0.02,7,1
HD 93222,0.05,0.01,0.01,7,1
HD 93843,0.04,0.01,0.01,7,1
HD 94493,0.19,0.04,0.03,7,1
HD 103779,0.08,0.02,0.17,7,1
HD 109399,0.15,0.07,0.07,7,1
HD 114886,0.13,0.03,0.03,7,1
HD 116852,0.12,0.04,0.04,7,1
HD 122879,0.16,0.05,0.05,7,1
HD 124314,0.2,0.05,0.04,7,1
HD 135591,0.09,0.04,0.03,7,1
HD 168076,0.18,0.09,0.09,7,1
HD 170740,0.57,0.38,0.33,7,1
HD 185418,0.4,0.18,0.18,7,1
HD 203532,0.84,NaN,1.58,7,1
