Object,E(B-V)_Tycho,E(B-V)-Simbad
HD 101065,0.91,0.91
HD 103779,0.24,0.25
HD 104705,0.23,0.23
HD 109399,0.24,0.28
HD 111934,0.31,0.36
HD 112272,0.87,0.83
HD 113904,0.19,0.21
HD 114886,0.26,0.29
HD 116852,0.18,0.22
HD 122879,0.30,0.38
HD 124314,0.45,0.53
HD 133518,0.12,0.14
HD 135591,0.20,0.21
HD 143275,0.21,0.17
HD 144470,0.20,0.21
HD 145502,0.25,0.29
HD 147084,0.73,0.83
HD 147165,0.36,0.39
HD 147683,0.30,0.29
HD 147888,0.44,0.43
HD 147889,0.99,1.07
HD 147933,0.41,0.46
HD 147934,NaN,NaN
HD 148605,0.07,0.08
HD 148937,0.57,0.73
HD 149038,0.30,0.32
HD 149404,0.64,0.71
HD 149757,0.32,0.32
HD 150136,0.42,0.45
HD 151804,0.32,0.36
HD 152408,0.42,0.45
HD 152424,0.62,0.70
HD 153919,0.51,0.59
HD 154043,0.68,0.80
HD 155806,0.25,0.30
HD 156201,0.81,0.91
HD 157246,0.05,0.06
HD 157978,0.60,0.64
HD 158926,0.09,0.10
HD 164073,0.23,0.22
HD 164353,0.08,0.12
HD 164740,NaN,0.90
HD 164906,0.38,0.49
HD 165319,0.73,0.83
HD 166937,0.20,0.24
HD 167264,0.22,0.27
HD 167838,0.51,0.59
HD 167971,0.95,1.07
HD 168076,0.73,0.79
HD 169454,0.97,1.09
HD 170740,0.43,0.48
HD 170938,0.89,1.04
HD 171957,0.23,0.31
HD 172694,0.33,0.36
HD 180554,0.10,0.13
HD 183143,1.09,1.29
HD 184915,0.23,0.25
HD 185418,0.43,0.42
HD 185859,0.53,0.59
HD 186745,0.81,0.94
HD 186841,0.86,1.04
HD 203532,0.28,0.33
HD 22951,0.22,0.23
HD 23016,0.05,0.06
HD 23180,0.26,0.31
HD 24398,0.27,0.31
HD 27778,0.36,0.36
HD 303308,0.40,0.45
HD 34748,0.13,0.14
HD 36486,0.16,NaN
HD 36695,0.08,0.08
HD 36822,0.13,0.15
HD 36861,0.13,NaN
HD 36982,0.28,0.37
HD 37020,0.26,0.30
HD 37021,0.15,0.44
HD 37022,0.27,0.34
HD 37023,0.37,0.37
HD 37041,0.20,0.22
HD 37061,0.49,0.54
HD 37128,0.11,0.06
HD 37367,0.37,0.37
HD 37903,0.32,0.36
HD 38087,0.29,0.27
HD 38771,0.10,0.04
HD 39680,0.32,0.34
HD 40111,0.09,0.13
HD 41117,0.38,0.45
HD 43384,0.51,0.57
HD 45314,0.40,0.46
HD 49787,0.18,0.21
HD 50820,0.68,0.76
HD 53975,0.18,0.21
HD 54439,0.25,0.29
HD 54662,0.30,0.35
HD 55879,0.13,0.12
HD 57061,0.11,0.13
HD 61827,0.78,NaN
HD 66194,0.15,0.15
HD 66811,0.11,0.05
HD 73882,0.65,0.71
HD 75309,0.16,0.16
HD 75860,0.83,0.90
HD 79186,0.25,0.31
HD 80558,0.52,0.61
HD 81188,0.09,0.11
HD 91824,0.24,0.26
HD 93030,0.09,0.06
HD 93205,0.32,0.37
HD 93222,0.32,0.36
HD 93843,0.25,0.28
HD 94493,0.18,0.22
HD 99953,0.41,0.48
