Object;Rv_Nickprefval;Rv_V04;Rv_FP;Rv_W03
HD 101065;2.3;;;2.3
HD 103779;3.29;3.29;;
HD 104705;2.81;2.81;4.34;
HD 109399;3.26;;;3.26
HD 111934;2.45;;;
HD 112272;3.09;3.09;;
HD 113904;3.63;;;3.63
HD 114886;2.9;;;2.9
HD 116852;2.42;2.42;;
HD 122879;3.15;3.15;;3.29
HD 124314;2.97;;;2.97
HD 133518;1.79;;;1.79
HD 135591;3.57;;;3.57
HD 143275;3.09;;;3.09
HD 144470;3.37;3.37;3.71;3.35
HD 145502;;;;
HD 147084;;;;
HD 147165;3.86;3.86;3.6;3.22
HD 147683;;;;
HD 147888;3.89;3.89;4.08;3.77
HD 147889;3.95;3.95;4.19;3.68
HD 147933;5.74;5.74;;
HD 147934;;;;
HD 148605;3.18;;;3.18
HD 148937;3.28;;;3.28
HD 149038;4.92;4.92;;3.12
HD 149404;3.53;3.53;;
HD 149757;2.55;2.55;3.08;2.92
HD 150136;3.27;;;3.27
HD 151804;4.33;4.33;;3.77
HD 152408;4.17;4.17;;3.81
HD 152424;3.23;;;
HD 153919;3.58;3.58;;
HD 154043;3.3;;;3.3
HD 155806;2.48;;;
HD 156201;3.23;;;
HD 157246;2.82;;;2.82
HD 157978;3.72;;;
HD 158926;;;;
HD 164073;2.96;2.96;5.18;
HD 164353;;;;
HD 164740;5.03;5.03;5.21;
HD 164906;4.57;4.57;;
HD 165319;3.25;;;3.25
HD 166937;;;;
HD 167264;3.26;3.26;;3.22
HD 167838;3.39;3.39;;
HD 167971;3.44;3.44;;3.24
HD 168076;3.47;3.47;;3.46
HD 169454;3.37;3.37;;
HD 170740;3.01;3.01;2.91;3.01
HD 170938;3.34;;;3.34
HD 171957;;;;
HD 172694;5.04;;;5.04
HD 180554;;;;
HD 183143;;;;
HD 184915;3.07;;;3.07
HD 185418;2.54;2.54;2.48;
HD 185859;2.74;2.74;;2.84
HD 186745;3.1;;;3.1
HD 186841;2.89;;;2.89
HD 203532;3.37;3.37;2.96;3.1
HD 22951;;;;
HD 23016;2.3;;;2.3
HD 23180;3.11;3.11;3.14;2.75
HD 24398;;;;2.63
HD 27778;2.59;2.59;2.68;
HD 303308;3.02;3.02;3.7;
HD 34748;2.61;;;2.61
HD 36486;;;;
HD 36695;2.45;;;2.45
HD 36822;2.64;;;2.64
HD 36861;2.46;;;2.46
HD 36982;4.84;4.84;5.6;
HD 37020;6.33;6.33;5.77;
HD 37021;5.84;5.84;;
HD 37022;5.73;5.73;6.42;
HD 37023;4.82;4.82;;
HD 37041;5.67;5.67;;4.73
HD 37061;4.29;4.29;4.55;
HD 37128;;;;
HD 37367;3.55;3.55;3.34;
HD 37903;3.74;3.74;3.95;3.74
HD 38087;4.93;4.93;5.8;5.21
HD 38771;;;;
HD 39680;4.73;;;4.73
HD 40111;3.05;;;3.05
HD 41117;3.12;3.12;;3.28
HD 43384;3.29;;;3.29
HD 45314;4.42;4.42;;3.21
HD 49787;2.39;;;2.39
HD 50820;4.39;;;4.39
HD 53975;3.03;;;3.25
HD 54439;2.73;2.73;2.57;2.88
HD 54662;3.0;;;3.12
HD 55879;2.47;;;2.47
HD 57061;3.57;;;3.57
HD 61827;2.98;;;3.22
HD 66194;2.25;;;2.25
HD 66811;5.01;;;5.01
HD 73882;3.56;3.56;3.45;3.4
HD 75309;3.53;3.53;3.39;
HD 75860;3.44;;;3.44
HD 79186;3.21;3.21;;
HD 80558;3.35;;;3.35
HD 81188;;;;
HD 91824;3.35;3.35;3.08;
HD 93030;2.43;;;2.43
HD 93205;3.25;3.25;;3.82
HD 93222;4.76;4.76;5.05;4.0
HD 93843;3.89;3.89;;3.26
HD 94493;3.57;3.57;;
HD 99953;3.69;3.69;;3.55
