object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 101065,b'---',NaN,NaN,4,1
HD 103779,---,NaN,NaN,4,1
HD 104705,b'21.16',NaN,NaN,4,1
HD 109399,21.16,NaN,NaN,4,1
HD 111934,b'21.1',NaN,NaN,4,1
HD 112272,21.1,NaN,NaN,4,1
HD 113904,b'21.11',NaN,NaN,4,1
HD 114886,21.11,NaN,NaN,4,1
HD 116852,b'---',NaN,NaN,4,1
HD 122879,---,NaN,NaN,4,1
HD 124314,b'---',NaN,NaN,4,1
HD 133518,---,NaN,NaN,4,1
HD 135591,b'21.08',NaN,NaN,4,1
HD 143275,21.08,NaN,NaN,4,1
HD 144470,b'21.34',NaN,NaN,4,1
HD 145502,21.34,NaN,NaN,4,1
HD 147084,b'20.96',NaN,NaN,4,1
HD 147165,20.96,NaN,NaN,4,1
HD 147683,b'21.26',NaN,NaN,4,1
HD 147888,21.26,NaN,NaN,4,1
HD 147889,b'21.41',NaN,NaN,4,1
HD 147933,21.41,NaN,NaN,4,1
HD 147934,b'---',NaN,NaN,4,1
HD 148605,---,NaN,NaN,4,1
HD 148937,b'21.08',NaN,NaN,4,1
HD 149038,21.08,NaN,NaN,4,1
HD 149404,b'21.15',NaN,NaN,4,1
HD 149757,21.15,NaN,NaN,4,1
HD 150136,b'21.17',NaN,NaN,4,1
HD 151804,21.17,NaN,NaN,4,1
HD 152408,b'21.07',NaN,NaN,4,1
HD 152424,21.07,NaN,NaN,4,1
HD 153919,b'---',NaN,NaN,4,1
HD 154043,---,NaN,NaN,4,1
HD 155806,b'21.34',NaN,NaN,4,1
HD 156201,21.34,NaN,NaN,4,1
HD 157246,b'21.2',NaN,NaN,4,1
HD 157978,21.2,NaN,NaN,4,1
HD 158926,b'21.69',NaN,NaN,4,1
HD 164073,21.69,NaN,NaN,4,1
HD 164353,b'21.46',NaN,NaN,4,1
HD 164740,21.46,NaN,NaN,4,1
HD 164906,b'21.64',NaN,NaN,4,1
HD 165319,21.64,NaN,NaN,4,1
HD 166937,b'---',NaN,NaN,4,1
HD 167264,---,NaN,NaN,4,1
HD 167838,b'20.68',NaN,NaN,4,1
HD 167971,20.68,NaN,NaN,4,1
HD 168076,b'21.6',NaN,NaN,4,1
HD 169454,21.6,NaN,NaN,4,1
HD 170740,b'21',NaN,NaN,4,1
HD 170938,21,NaN,NaN,4,1
HD 171957,b'---',NaN,NaN,4,1
HD 172694,---,NaN,NaN,4,1
HD 180554,b'20.72',NaN,NaN,4,1
HD 183143,20.72,NaN,NaN,4,1
HD 184915,b'---',NaN,NaN,4,1
HD 185418,---,NaN,NaN,4,1
HD 185859,b'21.08',NaN,NaN,4,1
HD 186745,21.08,NaN,NaN,4,1
HD 186841,b'21.27',NaN,NaN,4,1
HD 203532,21.27,NaN,NaN,4,1
HD 22951,b'---',NaN,NaN,4,1
HD 23016,---,NaN,NaN,4,1
HD 23180,b'---',NaN,NaN,4,1
HD 24398,---,NaN,NaN,4,1
HD 27778,b'---',NaN,NaN,4,1
HD 303308,---,NaN,NaN,4,1
HD 34748,b'21.08',NaN,NaN,4,1
HD 36486,21.08,NaN,NaN,4,1
HD 36695,b'---',NaN,NaN,4,1
HD 36822,---,NaN,NaN,4,1
HD 36861,b'20.68',NaN,NaN,4,1
HD 36982,20.68,NaN,NaN,4,1
HD 37020,b'---',NaN,NaN,4,1
HD 37021,---,NaN,NaN,4,1
HD 37022,b'19.23',NaN,NaN,4,1
HD 37023,19.23,NaN,NaN,4,1
HD 37041,b'---',NaN,NaN,4,1
HD 37061,---,NaN,NaN,4,1
HD 37128,b'21',NaN,NaN,4,1
HD 37367,21,NaN,NaN,4,1
HD 37903,b'21.95',NaN,NaN,4,1
HD 38087,21.95,NaN,NaN,4,1
HD 38771,b'---',NaN,NaN,4,1
HD 39680,---,NaN,NaN,4,1
HD 40111,b'---',NaN,NaN,4,1
HD 41117,---,NaN,NaN,4,1
HD 43384,b'---',NaN,NaN,4,1
HD 45314,---,NaN,NaN,4,1
HD 49787,b'21.15',NaN,NaN,4,1
HD 50820,21.15,NaN,NaN,4,1
HD 53975,b'---',NaN,NaN,4,1
HD 54439,---,NaN,NaN,4,1
HD 54662,b'21.6',NaN,NaN,4,1
HD 55879,21.6,NaN,NaN,4,1
HD 57061,b'21.65',NaN,NaN,4,1
HD 61827,21.65,NaN,NaN,4,1
HD 66194,b'---',NaN,NaN,4,1
HD 66811,---,NaN,NaN,4,1
HD 73882,b'21.03',NaN,NaN,4,1
HD 75309,21.03,NaN,NaN,4,1
HD 75860,b'---',NaN,NaN,4,1
HD 79186,---,NaN,NaN,4,1
HD 80558,b'---',NaN,NaN,4,1
HD 81188,---,NaN,NaN,4,1
HD 91824,b'---',NaN,NaN,4,1
HD 93030,---,NaN,NaN,4,1
HD 93205,b'---',NaN,NaN,4,1
HD 93222,---,NaN,NaN,4,1
HD 93843,b'---',NaN,NaN,4,1
HD 94493,---,NaN,NaN,4,1
HD 99953,b'20.85',NaN,NaN,4,1
,20.85,NaN,NaN,4,1
