object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 101065,b'B5',NaN,NaN,3,0
HD 101065,b'roAp(F3Ho)',NaN,NaN,4,0
HD 103779,b'B0.5 III',NaN,NaN,3,0
HD 103779,b'B0.5 Iab',NaN,NaN,4,0
HD 104705,b'B0.5 III',NaN,NaN,3,0
HD 104705,b'B0.5 III',NaN,NaN,4,0
HD 109399,b'B0.5 III',NaN,NaN,3,0
HD 109399,b'B0.5 Ib:',NaN,NaN,4,0
HD 111934,b'B2 Ib',NaN,NaN,3,0
HD 111934,b'B1.5 Ib',NaN,NaN,4,0
HD 112272,b'B1 Ia',NaN,NaN,3,0
HD 112272,b'B0.5 Ia',NaN,NaN,4,0
HD 113904,b'B0 I ae',NaN,NaN,3,0
HD 113904,b'O9 III',NaN,NaN,4,0
HD 114886,b'B1/B2 Ib/II',NaN,NaN,3,0
HD 114886,b'O9 III+O9.5 III',NaN,NaN,4,0
HD 116852,b'O9 III',NaN,NaN,3,0
HD 116852,b'O8.5 II-III(f)',NaN,NaN,4,0
HD 122879,b'B0 Iae',NaN,NaN,3,0
HD 122879,b'B0 Ia',NaN,NaN,4,0
HD 124314,b'O6 V',NaN,NaN,3,0
HD 124314,b'O6 IV(n)((f))',NaN,NaN,4,0
HD 133518,b'B2 IV',NaN,NaN,3,0
HD 133518,b'B2 Vp',NaN,NaN,4,0
HD 135591,b'O8 IV',NaN,NaN,3,0
HD 135591,b'O8 IV((f))',NaN,NaN,4,0
HD 143275,b'B0.2 IVe',NaN,NaN,3,0
HD 143275,b'B0.3 IV',NaN,NaN,4,0
HD 144470,b'B1 V',NaN,NaN,3,0
HD 144470,b'B1 V',NaN,NaN,4,0
HD 145502,b'B2 V',NaN,NaN,3,0
HD 145502,b'B2 V(SB2)',NaN,NaN,4,0
HD 147084,b'A4 II',NaN,NaN,3,0
HD 147084,b'A5 II',NaN,NaN,4,0
HD 147165,b'B1 III',NaN,NaN,3,0
HD 147165,b'B1 III',NaN,NaN,4,0
HD 147683,b'B4 V',NaN,NaN,3,0
HD 147683,b'B3: Vn(SB2)',NaN,NaN,4,0
HD 147888,b'B3/B4 V',NaN,NaN,3,0
HD 147888,b'B3 V:SB',NaN,NaN,4,0
HD 147889,b'B2 III/IV (pms)',NaN,NaN,3,0
HD 147889,b'B2 V',NaN,NaN,4,0
HD 147933,b'B2 V',NaN,NaN,3,0
HD 147933,b'B2 IV',NaN,NaN,4,0
HD 147934,b'B2 V',NaN,NaN,3,0
HD 147934,b'B2 V',NaN,NaN,4,0
HD 148605,b'B3 V',NaN,NaN,3,0
HD 148605,b'B2 V',NaN,NaN,4,0
HD 148937,b'O5.5-6f',NaN,NaN,3,0
HD 148937,b'O6f?p',NaN,NaN,4,0
HD 149038,b'O9.7 Iab',NaN,NaN,3,0
HD 149038,b'O9.7Iab',NaN,NaN,4,0
HD 149404,b'O8.5 Iab(f)p',NaN,NaN,3,0
HD 149404,b'---',NaN,NaN,4,0
HD 149757,b'O9.2 IV',NaN,NaN,3,0
HD 149757,b'O9.2 IVnn',NaN,NaN,4,0
HD 150136,b'O3.5 If+O6 V',NaN,NaN,3,0
HD 150136,b'O3.5-4 III(f*)+O6 IV',NaN,NaN,4,0
HD 151804,b'O8 Ia',NaN,NaN,3,0
HD 151804,b'O8 Iaf(SB2)',NaN,NaN,4,0
HD 152408,b'WN9',NaN,NaN,3,0
HD 152408,b'O8: Iafpe',NaN,NaN,4,0
HD 152424,b'OC9.2 Ia',NaN,NaN,3,0
HD 152424,b'OC9.2 Ia(SB1)',NaN,NaN,4,0
HD 153919,b'O6 Iafcp',NaN,NaN,3,0
HD 153919,b'O6 Iafcp(SB1E)',NaN,NaN,4,0
HD 154043,b'B2 Iab',NaN,NaN,3,0
HD 154043,b'B2 Iab',NaN,NaN,4,0
HD 155806,b'O7.5 V (Be)',NaN,NaN,3,0
HD 155806,b'O7.5 V((f))z(e)',NaN,NaN,4,0
HD 156201,b'B0.5 Ia',NaN,NaN,3,0
HD 156201,b'B0.5 Ia',NaN,NaN,4,0
HD 157246,b'B1 Ib',NaN,NaN,3,0
HD 157246,b'B1 Ib',NaN,NaN,4,0
HD 157978,b'B9.5 V+',NaN,NaN,3,0
HD 157978,b'G0/K0 II:+A1',NaN,NaN,4,0
HD 158926,b'B2 IV + DA7.9',NaN,NaN,3,0
HD 158926,b'B2 IV + DA.79',NaN,NaN,4,0
HD 164073,b'B3 III/IV',NaN,NaN,3,0
HD 164073,b'B3 III/IV',NaN,NaN,4,0
HD 164353,b'B5 I',NaN,NaN,3,0
HD 164353,b'---',NaN,NaN,4,0
HD 164740,b'O7',NaN,NaN,3,0
HD 164740,b'O7: V+sec.',NaN,NaN,4,0
HD 164906,b'B1 V',NaN,NaN,3,0
HD 164906,b'B0 Ve',NaN,NaN,4,0
HD 165319,b'B0 Ia',NaN,NaN,3,0
HD 165319,b'O9.7 Ib',NaN,NaN,4,0
HD 166937,b'B8 Iab(e)',NaN,NaN,3,0
HD 166937,b'---',NaN,NaN,4,0
HD 167264,b'B0.5 Iab',NaN,NaN,3,0
HD 167264,b'O9.7 Iab',NaN,NaN,4,0
HD 167838,b'B3 Iab',NaN,NaN,3,0
HD 167838,b'B5 Ia',NaN,NaN,4,0
HD 167971,b'O8/O9f',NaN,NaN,3,0
HD 167971,b'O8 Iaf(n)+O4/5',NaN,NaN,4,0
HD 168076,b'O5',NaN,NaN,3,0
HD 168076,b'O4 III(f)',NaN,NaN,4,0
HD 169454,b'B1 Ia',NaN,NaN,3,0
HD 169454,b'B1 Ia',NaN,NaN,4,0
HD 170740,b'B2 V',NaN,NaN,3,0
HD 170740,b'B2 V',NaN,NaN,4,0
HD 170938,b'B1 Ia',NaN,NaN,3,0
HD 170938,b'B1 Ia',NaN,NaN,4,0
HD 171957,b'B8 II/III',NaN,NaN,3,0
HD 171957,b'B9 IV',NaN,NaN,4,0
HD 172694,b'B2 Ib',NaN,NaN,3,0
HD 172694,b'B1: Vne',NaN,NaN,4,0
HD 180554,b'B4 IV',NaN,NaN,3,0
HD 180554,b'---',NaN,NaN,4,0
HD 183143,b'B6 Ia',NaN,NaN,3,0
HD 183143,b'B7 Ia',NaN,NaN,4,0
HD 184915,b'B0.5 III',NaN,NaN,3,0
HD 184915,b'B0.5 IIIn',NaN,NaN,4,0
HD 185418,b'B0.5 V',NaN,NaN,3,0
HD 185418,b'B0.5 V',NaN,NaN,4,0
HD 185859,b'B0.5 Iae',NaN,NaN,3,0
HD 185859,b'B0.5 Ia',NaN,NaN,4,0
HD 186745,b'B8 Ia',NaN,NaN,3,0
HD 186745,b'B8 Ia',NaN,NaN,4,0
HD 186841,b'B1 Ia',NaN,NaN,3,0
HD 186841,b'B0.5 I',NaN,NaN,4,0
HD 203532,b'B3 IV',NaN,NaN,3,0
HD 203532,b'B3 IV',NaN,NaN,4,0
HD 22951,b'B0.5 V',NaN,NaN,3,0
HD 22951,b'B0.5 V',NaN,NaN,4,0
HD 23016,b'B9 Vne',NaN,NaN,3,0
HD 23016,b'B8 Ve',NaN,NaN,4,0
HD 23180,b'B1 III',NaN,NaN,3,0
HD 23180,b'B1 III',NaN,NaN,4,0
HD 24398,b'B1 Ib',NaN,NaN,3,0
HD 24398,b'B1 Ib',NaN,NaN,4,0
HD 27778,b'B3 V',NaN,NaN,3,0
HD 27778,b'B3 V',NaN,NaN,4,0
HD 303308,b'O3 V',NaN,NaN,3,0
HD 303308,b'O4.5 V((fc))',NaN,NaN,4,0
HD 34748,b'B1.5 Vn',NaN,NaN,3,0
HD 34748,b'B1.5 Vn',NaN,NaN,4,0
HD 36486,b'O9.5 II',NaN,NaN,3,0
HD 36486,b'O9.5 II Nwk',NaN,NaN,4,0
HD 36695,b'B1 V',NaN,NaN,3,0
HD 36695,b'B1 V',NaN,NaN,4,0
HD 36822,b'B0 III',NaN,NaN,3,0
HD 36822,b'B0 III',NaN,NaN,4,0
HD 36861,b'O8 III',NaN,NaN,3,0
HD 36861,b'O8 III(f)',NaN,NaN,4,0
HD 36982,b'B1.5 Vpvar',NaN,NaN,3,0
HD 36982,b'---',NaN,NaN,4,0
HD 37020,b'B0.5 V',NaN,NaN,3,0
HD 37020,b'B0.5 V',NaN,NaN,4,0
HD 37021,b'B3 V',NaN,NaN,3,0
HD 37021,b'B0 V',NaN,NaN,4,0
HD 37022,b'04-6p var',NaN,NaN,3,0
HD 37022,b'O7 Vp',NaN,NaN,4,0
HD 37023,b'B0.5 V',NaN,NaN,3,0
HD 37023,b'B1.5 Vp',NaN,NaN,4,0
HD 37041,b'O9 V',NaN,NaN,3,0
HD 37041,b'O9.5I Vp',NaN,NaN,4,0
HD 37061,b'B0.5 V',NaN,NaN,3,0
HD 37061,b'B0.5 V',NaN,NaN,4,0
HD 37128,b'B0 Iae',NaN,NaN,3,0
HD 37128,b'B0 Ia',NaN,NaN,4,0
HD 37367,b'B2 V SB',NaN,NaN,3,0
HD 37367,b'B2 IV/V',NaN,NaN,4,0
HD 37903,b'B1.5 V',NaN,NaN,3,0
HD 37903,b'B1.5 V',NaN,NaN,4,0
HD 38087,b'B5 V',NaN,NaN,3,0
HD 38087,b'B5 V',NaN,NaN,4,0
HD 38771,b'B0.5 Ia',NaN,NaN,3,0
HD 38771,b'B0.5 Ia',NaN,NaN,4,0
HD 39680,b'O6 V',NaN,NaN,3,0
HD 39680,b'O6 V:[n]pe-var',NaN,NaN,4,0
HD 40111,b'B1 Ib',NaN,NaN,3,0
HD 40111,b'B1 Ib',NaN,NaN,4,0
HD 41117,b'B2 Iaev',NaN,NaN,3,0
HD 41117,b'B2 Ia',NaN,NaN,4,0
HD 43384,b'B3 Iab',NaN,NaN,3,0
HD 43384,b'B3 Iab',NaN,NaN,4,0
HD 45314,b'O9',NaN,NaN,3,0
HD 45314,b'O9:npe',NaN,NaN,4,0
HD 49787,b'B1 V',NaN,NaN,3,0
HD 49787,b'B1 V:pe',NaN,NaN,4,0
HD 50820,b'B3 IVe',NaN,NaN,3,0
HD 50820,b'B3 IVe',NaN,NaN,4,0
HD 53975,b'O7.5 V',NaN,NaN,3,0
HD 53975,b'O7.5 Vz',NaN,NaN,4,0
