object,value,unc_lower,unc_upper,reference_id,preferred_flag
HD 101065,---,NaN,NaN,5,1
HD 103779,0.084,NaN,NaN,5,1
HD 104705,0.16,NaN,NaN,5,1
HD 109399,0.145,NaN,NaN,5,1
HD 111934,---,NaN,NaN,5,1
HD 112272,---,NaN,NaN,5,1
HD 113904,0.101,NaN,NaN,5,1
HD 114886,0.134,NaN,NaN,5,1
HD 116852,0.119,NaN,NaN,5,1
HD 122879,0.16,NaN,NaN,5,1
HD 124314,0.205,NaN,NaN,5,1
HD 133518,---,NaN,NaN,5,1
HD 135591,0.089,NaN,NaN,5,1
HD 143275,0.035,NaN,NaN,5,1
HD 144470,0.132,NaN,NaN,5,1
HD 145502,0.117,NaN,NaN,5,1
HD 147084,---,NaN,NaN,5,1
HD 147165,0.053,NaN,NaN,5,1
HD 147683,0.377,NaN,NaN,5,1
HD 147888,0.11,NaN,NaN,5,1
HD 147889,0.619,NaN,NaN,5,1
HD 147933,0.145,NaN,NaN,5,1
HD 147934,---,NaN,NaN,5,1
HD 148605,0.022,NaN,NaN,5,1
HD 148937,0.205,NaN,NaN,5,1
HD 149038,0.36,NaN,NaN,5,1
HD 149404,---,NaN,NaN,5,1
HD 149757,0.63,NaN,NaN,5,1
HD 150136,---,NaN,NaN,5,1
HD 151804,0.232,NaN,NaN,5,1
HD 152408,0.205,NaN,NaN,5,1
HD 152424,---,NaN,NaN,5,1
HD 153919,---,NaN,NaN,5,1
HD 154043,---,NaN,NaN,5,1
HD 155806,0.122,NaN,NaN,5,1
HD 156201,---,NaN,NaN,5,1
HD 157246,0.066,NaN,NaN,5,1
HD 157978,---,NaN,NaN,5,1
HD 158926,0,NaN,NaN,5,1
HD 164073,---,NaN,NaN,5,1
HD 164353,0.265,NaN,NaN,5,1
HD 164740,0.034,NaN,NaN,5,1
HD 164906,---,NaN,NaN,5,1
HD 165319,---,NaN,NaN,5,1
HD 166937,---,NaN,NaN,5,1
HD 167264,0.212,NaN,NaN,5,1
HD 167838,---,NaN,NaN,5,1
HD 167971,0.262,NaN,NaN,5,1
HD 168076,0.176,NaN,NaN,5,1
HD 169454,---,NaN,NaN,5,1
HD 170740,0.575,NaN,NaN,5,1
HD 170938,---,NaN,NaN,5,1
HD 171957,---,NaN,NaN,5,1
HD 172694,---,NaN,NaN,5,1
HD 180554,---,NaN,NaN,5,1
HD 183143,---,NaN,NaN,5,1
HD 184915,0.366,NaN,NaN,5,1
HD 185418,0.398,NaN,NaN,5,1
HD 185859,---,NaN,NaN,5,1
HD 186745,---,NaN,NaN,5,1
HD 186841,---,NaN,NaN,5,1
HD 203532,0.84,NaN,NaN,5,1
HD 22951,0.345,NaN,NaN,5,1
HD 23016,---,NaN,NaN,5,1
HD 23180,0.512,NaN,NaN,5,1
HD 24398,0.597,NaN,NaN,5,1
HD 27778,0.824,NaN,NaN,5,1
HD 303308,0.145,NaN,NaN,5,1
HD 34748,---,NaN,NaN,5,1
HD 36486,0,NaN,NaN,5,1
HD 36695,---,NaN,NaN,5,1
HD 36822,0.061,NaN,NaN,5,1
HD 36861,0.042,NaN,NaN,5,1
HD 36982,---,NaN,NaN,5,1
HD 37020,---,NaN,NaN,5,1
HD 37021,---,NaN,NaN,5,1
HD 37022,0,NaN,NaN,5,1
HD 37023,---,NaN,NaN,5,1
HD 37041,---,NaN,NaN,5,1
HD 37061,---,NaN,NaN,5,1
HD 37128,0,NaN,NaN,5,1
HD 37367,0.314,NaN,NaN,5,1
HD 37903,0.518,NaN,NaN,5,1
HD 38087,0.518,NaN,NaN,5,1
HD 38771,0,NaN,NaN,5,1
HD 39680,0.033,NaN,NaN,5,1
HD 40111,0.119,NaN,NaN,5,1
HD 41117,0.28,NaN,NaN,5,1
HD 43384,0,NaN,NaN,5,1
HD 45314,0.421,NaN,NaN,5,1
HD 49787,---,NaN,NaN,5,1
HD 50820,---,NaN,NaN,5,1
HD 53975,0.022,NaN,NaN,5,1
HD 54439,---,NaN,NaN,5,1
HD 54662,0.077,NaN,NaN,5,1
HD 55879,---,NaN,NaN,5,1
HD 57061,0,NaN,NaN,5,1
HD 61827,---,NaN,NaN,5,1
HD 66194,---,NaN,NaN,5,1
HD 66811,0,NaN,NaN,5,1
HD 73882,0.651,NaN,NaN,5,1
HD 75309,0.212,NaN,NaN,5,1
HD 75860,---,NaN,NaN,5,1
HD 79186,0.409,NaN,NaN,5,1
HD 80558,---,NaN,NaN,5,1
HD 81188,0.011,NaN,NaN,5,1
HD 91824,0.097,NaN,NaN,5,1
HD 93030,0,NaN,NaN,5,1
HD 93205,0.048,NaN,NaN,5,1
HD 93222,0.046,NaN,NaN,5,1
HD 93843,0.037,NaN,NaN,5,1
HD 94493,0.19,NaN,NaN,5,1
HD 99953,---,NaN,NaN,5,1
