Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
CaII,3933.661,0.6269,146000000.0,8.0,0,-12.593081698367614,-17.593081698367612,-7.593081698367614,0,0,5.0,0.1,6,1500000000000.0,3933.0533073452434,3934.139910922243,1.0,-12.401795273772226,4.638082128124406,1423571439193.623,0.025017280808848942,0.04748805852388837,11351686733.759577
CaII,3968.467,0.3114,141000000.0,8.0,0,-12.593081698367614,-17.593081698367612,-7.593081698367614,0,0,5.0,0.1,6,1500000000000.0,3967.7992336237235,3969.117845978529,1.0,-12.401795273772226,4.638082128124406,1423571439193.623,0.025017280808848942,0.04748805852388837,11351686733.759577
CaII,3933.661,0.6269,146000000.0,8.0,1,9.324867164602622,4.324867164602622,14.324867164602622,1,1,5.0,0.1,6,1000000000000.0,3933.0533073452434,3934.139910922243,1.0,9.762743041921503,4.347742563068121,875693553969.9338,0.09444424090592975,0.07978351270651132,31660375911.818016
CaII,3968.467,0.3114,141000000.0,8.0,1,9.324867164602622,4.324867164602622,14.324867164602622,1,1,5.0,0.1,6,1000000000000.0,3967.7992336237235,3969.117845978529,1.0,9.762743041921503,4.347742563068121,875693553969.9338,0.09444424090592975,0.07978351270651132,31660375911.818016
CaII,3933.661,0.6269,146000000.0,8.0,2,1.418968647380896,-3.581031352619104,6.418968647380896,2,2,4.0,0.1,6,300000000000.0,3933.0533073452434,3934.139910922243,1.0,0.8709503124746094,5.999999992259553,383183749804.1772,0.35443348080649706,0.27461999380870006,37902741399.15528
CaII,3968.467,0.3114,141000000.0,8.0,2,1.418968647380896,-3.581031352619104,6.418968647380896,2,2,4.0,0.1,6,300000000000.0,3967.7992336237235,3969.117845978529,1.0,0.8709503124746094,5.999999992259553,383183749804.1772,0.35443348080649706,0.27461999380870006,37902741399.15528
CaII,3933.661,0.6269,146000000.0,8.0,3,-22.1232654180358,-27.1232654180358,-17.1232654180358,3,3,1.0,0.1,6,40000000000.0,3933.0533073452434,3934.139910922243,1.0,-21.41560348653131,1.045966652265575,46535394794.25454,0.1968829467619528,0.8957978661499872,14971009004.058657
CaII,3968.467,0.3114,141000000.0,8.0,3,-22.1232654180358,-27.1232654180358,-17.1232654180358,3,3,1.0,0.1,6,40000000000.0,3967.7992336237235,3969.117845978529,1.0,-21.41560348653131,1.045966652265575,46535394794.25454,0.1968829467619528,0.8957978661499872,14971009004.058657
CaII,3933.661,0.6269,146000000.0,8.0,4,-27.27312911984245,-32.27312911984245,-22.27312911984245,4,4,3.0,0.1,6,40000000000.0,3933.0533073452434,3934.139910922243,1.0,-26.686599485260565,5.0541510076418446,62651526168.31404,1.3353749771272279,1.449016422157487,18414891678.45284
CaII,3968.467,0.3114,141000000.0,8.0,4,-27.27312911984245,-32.27312911984245,-22.27312911984245,4,4,3.0,0.1,6,40000000000.0,3967.7992336237235,3969.117845978529,1.0,-26.686599485260565,5.0541510076418446,62651526168.31404,1.3353749771272279,1.449016422157487,18414891678.45284
