Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
HD 144470,3,2.9921388256292665,0.0295456104700096,0.9874411647259036,371296921339.68353,1867243339.573688,0.5028976089638587,-8.98125315253408,0.0155648105565533,0.1733033274110713,"(3.0, 400000000000.0, -8.967017421722474)",366.87920049164467,1.623359294210817,
,,0.3599268488899158,0.0318210916950341,8.840988604539096,31294171099.305847,2354329858.1875787,7.523221659128083,-16.019162815914676,0.0723204198953512,0.4514619192427616,"(3.0, 50000000000.0, -16.37430688301992)",,,
,,5.999999999997503,0.0122170680227521,0.2036178003792864,104621902592.41422,2394768598.929889,2.288974430391907,-26.384928040304963,0.1163900585387406,0.4411232744730098,"(5.0, 70000000000.0, -26.97593935019341)",,,
HD 147165,3,0.6838362696139809,0.080966140069015,11.839989141658078,311783138802.23114,21862991588.19316,7.012243084146124,-4.9009321008476565,0.0716205094502056,1.4613650623280057,"(1.0, 550000000000.0, -5.211507301141066)",234.07053586249762,1.6483840553697016,
,,2.858698237205442,0.4442033472284446,15.538658171303924,295056725319.1473,74253812497.79405,25.165944757733495,-6.350004724210528,0.2978853658429284,4.69110463346881,"(3.0, 200000000000.0, -8.681287742831525)",,,
,,4.9274939066705645,1.406657776796875,28.54712361780135,136674018216.15717,89672842228.54034,65.61074547959657,-10.92412589104694,2.4455212833365416,22.386425309697426,"(1.0, 10000000000.0, -15.45696430029462)",,,
HD 147683,5,3.146170563849903,0.1280820894594893,4.071047225829928,930121567186.5996,62202678393.03548,6.687585858393118,-0.7940725231454522,0.0561184489472678,7.067169220888461,"(2.0, 800000000000.0, -1.109274647093375)",265.48625105301124,1.1958840137523028,
,,1.965737268131298,0.1638867555006632,8.337164796008572,196745322149.87985,8737322579.45677,4.440930276756827,6.067617742052989,0.0996572980417096,1.6424452277376058,"(3.0, 300000000000.0, 4.979716084381573)",,,
,,5.999999965590718,1.3450120341034582,22.416867363615687,167494716894.67395,65745991710.91536,39.252576397534106,-7.871124792390004,1.651051903291788,20.976060561103864,"(3.0, 90000000000.0, -8.601141864557448)",,,
,,1.3165912015145054,0.2574692507079059,19.55574747968337,209554963600.803,21622967175.31144,10.31851825590858,-17.882266166533384,0.0842921371877031,0.4713727913605023,"(1.0, 200000000000.0, -18.15804190271499)",,,
