Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit
NaI,3302.368,0.009,9640000.0,8.0,0,-6.320351753739349,-7.320351753739349,-5.320351753739349,0,0,1,0.0,6,100000000000000.0,3301.98667019394,3303.1954414680326,12.0,-5.887010415629706,2.004378069300835,5746483648202.115
NaI,3302.978,0.00446,9640000.0,8.0,0,-6.320351753739349,-7.320351753739349,-5.320351753739349,0,0,1,0.0,6,100000000000000.0,3301.98667019394,3303.1954414680326,12.0,-5.887010415629706,2.004378069300835,5746483648202.115
NaI,5889.951,0.641,61600000.0,10.0,0,-6.320351753739349,-7.320351753739349,-5.320351753739349,0,0,1,0.0,6,100000000000000.0,5889.044198771803,5890.550917771812,1.0,-5.887010415629706,2.004378069300835,5746483648202.115
NaI,5895.924,0.32,61400000.0,10.0,0,-6.320351753739349,-7.320351753739349,-5.320351753739349,0,0,1,0.0,6,100000000000000.0,5895.104499568241,5896.425498628016,1.0,-5.887010415629706,2.004378069300835,5746483648202.115
NaI,3302.368,0.009,9640000.0,8.0,1,-14.548768957364917,-15.548768957364917,-13.548768957364917,1,1,1,0.0,6,300000000000.0,3301.98667019394,3303.1954414680326,12.0,-13.548768971364469,3.9654284028036906,514638370430.2477
NaI,3302.978,0.00446,9640000.0,8.0,1,-14.548768957364917,-15.548768957364917,-13.548768957364917,1,1,1,0.0,6,300000000000.0,3301.98667019394,3303.1954414680326,12.0,-13.548768971364469,3.9654284028036906,514638370430.2477
NaI,5889.951,0.641,61600000.0,10.0,1,-14.548768957364917,-15.548768957364917,-13.548768957364917,1,1,1,0.0,6,300000000000.0,5889.044198771803,5890.550917771812,1.0,-13.548768971364469,3.9654284028036906,514638370430.2477
NaI,5895.924,0.32,61400000.0,10.0,1,-14.548768957364917,-15.548768957364917,-13.548768957364917,1,1,1,0.0,6,300000000000.0,5895.104499568241,5896.425498628016,1.0,-13.548768971364469,3.9654284028036906,514638370430.2477
NaI,3302.368,0.009,9640000.0,8.0,2,-20.857222146849764,-21.857222146849764,-19.857222146849764,2,2,3,0.0,6,50000000000.0,3301.98667019394,3303.1954414680326,12.0,-21.85699358747637,0.22577767309168428,7173802056.6093645
NaI,3302.978,0.00446,9640000.0,8.0,2,-20.857222146849764,-21.857222146849764,-19.857222146849764,2,2,3,0.0,6,50000000000.0,3301.98667019394,3303.1954414680326,12.0,-21.85699358747637,0.22577767309168428,7173802056.6093645
NaI,5889.951,0.641,61600000.0,10.0,2,-20.857222146849764,-21.857222146849764,-19.857222146849764,2,2,3,0.0,6,50000000000.0,5889.044198771803,5890.550917771812,1.0,-21.85699358747637,0.22577767309168428,7173802056.6093645
NaI,5895.924,0.32,61400000.0,10.0,2,-20.857222146849764,-21.857222146849764,-19.857222146849764,2,2,3,0.0,6,50000000000.0,5895.104499568241,5896.425498628016,1.0,-21.85699358747637,0.22577767309168428,7173802056.6093645
