Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,b_init,b_min,b_max,w_min,w_max,cont,slope,v_rad_fit,b_fit,n_fit
TiII,3066.347,0.0489,250000000.0,10.0,0,-22.51367393638364,-100.0,100.0,0,0.001,0.0,20,3064.812765106072,3067.881234893928,-30191.5187939669,10.486775031317057,-21.2166776040426,5.465525096771295,169337728017.56714
TiII,3072.97,0.121,256000000.0,10.0,0,-22.51367393638364,-100.0,100.0,0,0.001,0.0,20,3072.137229976192,3073.5152346848827,-120221.22781422072,39.836394464291345,-21.2166776040426,5.465525096771295,169337728017.56714
TiII,3229.199,0.0687,244000000.0,10.0,0,-22.51367393638364,-100.0,100.0,0,0.001,0.0,20,3228.4949710746905,3229.6248341474,-96147.18777114995,30.966742788579083,-21.2166776040426,5.465525096771295,169337728017.56714
TiII,3241.983,0.232,244000000.0,10.0,0,-22.51367393638364,-100.0,100.0,0,0.001,0.0,20,3241.5348173284915,3242.1498994089493,-503081.82904735627,156.48052300089577,-21.2166776040426,5.465525096771295,169337728017.56714
TiII,3383.7588,0.3586,175000000.0,10.0,0,-22.51367393638364,-100.0,100.0,0,0.001,0.0,20,3382.780045010265,3384.2927697746127,112347.72919606285,-32.21714265353559,-21.2166776040426,5.465525096771295,169337728017.56714
TiII,3066.347,0.0489,250000000.0,10.0,1,-13.32616358815568,-100.0,100.0,1,0.001,0.0,20,3064.812765106072,3067.881234893928,-30191.5187939669,10.486775031317057,-12.854734325534647,2.946278888657785,235718389036.9085
TiII,3072.97,0.121,256000000.0,10.0,1,-13.32616358815568,-100.0,100.0,1,0.001,0.0,20,3072.137229976192,3073.5152346848827,-120221.22781422072,39.836394464291345,-12.854734325534647,2.946278888657785,235718389036.9085
TiII,3229.199,0.0687,244000000.0,10.0,1,-13.32616358815568,-100.0,100.0,1,0.001,0.0,20,3228.4949710746905,3229.6248341474,-96147.18777114995,30.966742788579083,-12.854734325534647,2.946278888657785,235718389036.9085
TiII,3241.983,0.232,244000000.0,10.0,1,-13.32616358815568,-100.0,100.0,1,0.001,0.0,20,3241.5348173284915,3242.1498994089493,-503081.82904735627,156.48052300089577,-12.854734325534647,2.946278888657785,235718389036.9085
TiII,3383.7588,0.3586,175000000.0,10.0,1,-13.32616358815568,-100.0,100.0,1,0.001,0.0,20,3382.780045010265,3384.2927697746127,112347.72919606285,-32.21714265353559,-12.854734325534647,2.946278888657785,235718389036.9085
