Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
NaI,3302.368,0.009,9640000.0,8.0,0,-8.389265681046274,-8.589265679421318,-8.38926567942132,0,0,3.457763571146491,0.1,6,66602057693467.44,3301.9366734325795,3303.303656707943,1.0,-8.389416984040384,4.972955576082696,11874217794341.83,,,
NaI,3302.978,0.00446,9640000.0,8.0,0,-8.389265681046274,-8.589265679421318,-8.38926567942132,0,0,3.457763571146491,0.1,6,66602057693467.44,3301.9366734325795,3303.303656707943,1.0,-8.389416984040384,4.972955576082696,11874217794341.83,,,
NaI,5889.951,0.641,61600000.0,10.0,0,-8.389265681046274,-8.589265679421318,-8.38926567942132,0,0,3.457763571146491,0.1,6,66602057693467.44,5889.139344552966,5890.6849629591325,1.0,-8.389416984040384,4.972955576082696,11874217794341.83,,,
NaI,5895.924,0.32,61400000.0,10.0,0,-8.389265681046274,-8.589265679421318,-8.38926567942132,0,0,3.457763571146491,0.1,6,66602057693467.44,5895.096440168307,5896.5253735739525,1.0,-8.389416984040384,4.972955576082696,11874217794341.83,,,
NaI,3302.368,0.009,9640000.0,8.0,1,-18.780145043064348,-18.780145165035663,-18.58014516503566,1,1,0.6814595198844265,0.1,6,247187519541.1616,3301.9366734325795,3303.303656707943,1.0,-18.780143759791525,0.33429019953175854,165345588431.329,,,
NaI,3302.978,0.00446,9640000.0,8.0,1,-18.780145043064348,-18.780145165035663,-18.58014516503566,1,1,0.6814595198844265,0.1,6,247187519541.1616,3301.9366734325795,3303.303656707943,1.0,-18.780143759791525,0.33429019953175854,165345588431.329,,,
NaI,5889.951,0.641,61600000.0,10.0,1,-18.780145043064348,-18.780145165035663,-18.58014516503566,1,1,0.6814595198844265,0.1,6,247187519541.1616,5889.139344552966,5890.6849629591325,1.0,-18.780143759791525,0.33429019953175854,165345588431.329,,,
NaI,5895.924,0.32,61400000.0,10.0,1,-18.780145043064348,-18.780145165035663,-18.58014516503566,1,1,0.6814595198844265,0.1,6,247187519541.1616,5895.096440168307,5896.5253735739525,1.0,-18.780143759791525,0.33429019953175854,165345588431.329,,,
NaI,3302.368,0.009,9640000.0,8.0,2,-24.797379678905983,-24.839587021321872,-24.63958702132187,2,2,0.1000187955486543,0.1,6,6706472788.812381,3301.9366734325795,3303.303656707943,1.0,-24.63958702135626,3.833742056705635,34124385061.973087,,,
NaI,3302.978,0.00446,9640000.0,8.0,2,-24.797379678905983,-24.839587021321872,-24.63958702132187,2,2,0.1000187955486543,0.1,6,6706472788.812381,3301.9366734325795,3303.303656707943,1.0,-24.63958702135626,3.833742056705635,34124385061.973087,,,
NaI,5889.951,0.641,61600000.0,10.0,2,-24.797379678905983,-24.839587021321872,-24.63958702132187,2,2,0.1000187955486543,0.1,6,6706472788.812381,5889.139344552966,5890.6849629591325,1.0,-24.63958702135626,3.833742056705635,34124385061.973087,,,
NaI,5895.924,0.32,61400000.0,10.0,2,-24.797379678905983,-24.839587021321872,-24.63958702132187,2,2,0.1000187955486543,0.1,6,6706472788.812381,5895.096440168307,5896.5253735739525,1.0,-24.63958702135626,3.833742056705635,34124385061.973087,,,
