Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,b_init,b_min,b_max,w_min,w_max,v_rad_fit,b_fit,n_fit
TiII,3066.347,0.0489,250000000.0,10.0,0,-15.530109769680891,-100.0,100.0,0,0.001,0.0,20,3065.6447440639786,3066.93906636101,-15.146945891524357,3.9999999982327754,349805305575.8142
TiII,3072.97,0.121,256000000.0,10.0,0,-15.530109769680891,-100.0,100.0,0,0.001,0.0,20,3072.273478042321,3073.5002073727196,-15.146945891524357,3.9999999982327754,349805305575.8142
TiII,3229.199,0.0687,244000000.0,10.0,0,-15.530109769680891,-100.0,100.0,0,0.001,0.0,20,3228.56940074477,3229.709137571855,-15.146945891524357,3.9999999982327754,349805305575.8142
TiII,3241.983,0.232,244000000.0,10.0,0,-15.530109769680891,-100.0,100.0,0,0.001,0.0,20,3241.3131116430545,3242.6900680274507,-15.146945891524357,3.9999999982327754,349805305575.8142
TiII,3383.7588,0.3586,175000000.0,10.0,0,-15.530109769680891,-100.0,100.0,0,0.001,0.0,20,3383.0267042510186,3384.4278481582755,-15.146945891524357,3.9999999982327754,349805305575.8142
TiII,3066.347,0.0489,250000000.0,10.0,1,-7.43189593658718,-100.0,100.0,1,0.001,0.0,20,3065.6447440639786,3066.93906636101,-6.470385850661416,3.999999999881756,596136228869.1537
TiII,3072.97,0.121,256000000.0,10.0,1,-7.43189593658718,-100.0,100.0,1,0.001,0.0,20,3072.273478042321,3073.5002073727196,-6.470385850661416,3.999999999881756,596136228869.1537
TiII,3229.199,0.0687,244000000.0,10.0,1,-7.43189593658718,-100.0,100.0,1,0.001,0.0,20,3228.56940074477,3229.709137571855,-6.470385850661416,3.999999999881756,596136228869.1537
TiII,3241.983,0.232,244000000.0,10.0,1,-7.43189593658718,-100.0,100.0,1,0.001,0.0,20,3241.3131116430545,3242.6900680274507,-6.470385850661416,3.999999999881756,596136228869.1537
TiII,3383.7588,0.3586,175000000.0,10.0,1,-7.43189593658718,-100.0,100.0,1,0.001,0.0,20,3383.0267042510186,3384.4278481582755,-6.470385850661416,3.999999999881756,596136228869.1537
