Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
HD 111934,1,1.2975963879559496,0.2336269017475394,18.00458940206841,180014618472.18805,10053450480.745407,5.584796704884636,7.410443809518173,0.104203196260761,1.40616674168583,"(0.5, 200000000000.0, 7.401883984728574)",60986.942989842864,201.94351983391678,
HD 124314,3,2.2928888425038028,0.1187146033373924,5.177512365045908,168624690798.02783,4974769274.799292,2.950202162717605,-19.6049560542452,0.0692214086876308,0.3530811724142671,"(1.0, 100000000000.0, -19.6313689990334)",14013.57070283097,50.77380689431511,
,,1.7093388716799711,0.0991082161894705,5.798043783563235,173432061072.9992,4410180870.523507,2.5428867322675823,-8.380716304234781,0.051613052077278,0.6158549007463466,"(1.0, 200000000000.0, -8.73502437766629)",,,
,,1.24403326157822,0.0575479049407763,4.625913688816423,287396683401.788,4152806895.185381,1.444973841044522,2.47736873325679,0.0249579283210836,1.007436962695234,"(1.0, 300000000000.0, 2.2205494125390075)",,,
HD 147084,2,0.8158211696662505,0.1196934118393763,14.671525609998874,3575549031040.105,2364078035501.9326,66.11790287250618,-6.754298983292895,0.0120742613898941,0.17876409409415256,"(1.0, 3000000000000.0, -7.013650611499583)",103.62946158368082,0.38239653720915434,
,,5.671725058973069,0.133360458582061,2.3513209331449407,470128974694.85706,11936513291.46094,2.538986944850289,-11.424941788708177,0.1314390328815025,1.1504569153377224,"(4.0, 200000000000.0, -12.214870363133231)",,,
HD 147889,1,0.7021885961929051,0.0343697163252649,4.894656010024813,5136721056847.445,1504373537180.2788,29.28665038516918,-7.699871552429456,0.0098378715044582,0.12776669633344942,"(0.8, 5000000000000.0, -7.848889631464608)",3517.6186117537145,50.251694453624495,
HD 147933,1,0.9920824338861254,0.0167175853320206,1.685100427243277,2041845408406.5903,42405595739.647385,2.076826951005059,-8.348681768504086,0.0234249199637168,0.2805822597297785,"(1.0, 2000000000000.0, -8.139125143978985)",27342.09708150505,337.55675409265496,
HD 148184,1,0.7835795826270918,0.0267177848948543,3.409709171502161,1431438096919.3018,47394198576.02337,3.310949923578515,-11.517571636801073,0.0426670929393935,0.37045216027190253,"(1.0, 1000000000000.0, -11.522895714336745)",949.0889644804325,8.550351031355248,
HD 149404,3,1.7329071084751222,0.0762753691700294,4.401584412516386,509298852071.37805,9900649698.492392,1.9439764409884863,-18.19407948215964,0.0398007230072312,0.2187564534180371,"(1.0, 600000000000.0, -18.415068957997605)",32222.107944356518,273.06871139285187,
,,3.5669651456831613,0.162035941412739,4.542683620243369,495201244716.88165,15007017548.032084,3.0304886565081137,-7.3645362306018365,0.094837508185965,1.2877594082827233,"(1.0, 400000000000.0, -7.953382829574474)",,,
,,1.773687005668203,0.0925611616667857,5.21857359111198,504677162263.0239,12128959265.737597,2.4033105067307,0.1061958306976507,0.0498557943753572,46.947035535981854,"(1.0, 600000000000.0, -0.1446721158817591)",,,
HD 149757,1,1.1855746236081626,0.0390483098621618,3.293618898768487,632390308244.4283,13006046830.73641,2.056648664784625,-14.680847766030126,0.0163900531586231,0.11164241615901696,"(1.0, 1000000000000.0, -14.584933535080852)",7670.896085272595,88.17121937094937,
HD 154368,1,2.42068310639634,0.0466037834373241,1.9252327293142861,1623339358933.775,21705934227.86521,1.33711624180183,-3.533731489582915,0.0277344922074463,0.7848500173033744,"(2.0, 1000000000000.0, -3.742155226138237)",645.6286619920236,4.2197951764184545,
HD 161056,2,2.0881716768845635,0.0363730758675642,1.7418623320200766,1757068648234.7344,15645124465.27734,0.8904105415002112,-12.967699299570825,0.0224932150385345,0.17345571113974648,"(1.5, 2000000000000.0, -13.05891969146686)",8369.978117916009,55.06564551260532,
,,1.918398142149216,0.0767665581140946,4.001596771152605,595976377891.7296,12733890388.579409,2.1366434746332783,-18.347104069005624,0.0471798552548878,0.25715151054596297,"(1.0, 500000000000.0, -18.170204183334235)",,,
HD 169454,2,2.0860795277327058,0.027617226238117,1.3238817538338672,1517789252732.7954,15882330159.750805,1.0464120846260114,-9.49109764252322,0.0241916559307928,0.2548878627315588,"(2.0, 2000000000000.0, -9.796438322404724)",3738.735304583553,27.092284815822847,
,,2.5097641358933007,0.1392162529075175,5.546985508180681,318166286430.57025,16419601916.75726,5.160698231407468,-14.354130858577918,0.1198971481243248,0.8352797484263924,"(1.0, 300000000000.0, -13.749079965762578)",,,
HD 185859,1,1.939308910326917,0.0386848262610974,1.9947738111808162,1372406440328.6282,18594903191.269066,1.3549122654085215,-7.522829814823456,0.0212285962201152,0.2821889733340111,"(2.0, 2000000000000.0, -7.694828369425624)",444.43471880156943,4.535048151036423,
