Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit
NaI,3302.368,0.009,9640000.0,8.0,0,-9.035314974926255,-10.035314974926255,-8.035314974926255,0,0,2,0.0,6,10000000000000.0,3301.893479097363,3303.2043333003244,60.0,-8.844626672080514,2.3760657405875367,10752297282775.129
NaI,3302.978,0.00446,9640000.0,8.0,0,-9.035314974926255,-10.035314974926255,-8.035314974926255,0,0,2,0.0,6,10000000000000.0,3301.893479097363,3303.2043333003244,60.0,-8.844626672080514,2.3760657405875367,10752297282775.129
NaI,5889.951,0.641,61600000.0,10.0,0,-9.035314974926255,-10.035314974926255,-8.035314974926255,0,0,2,0.0,6,10000000000000.0,5889.047219174547,5890.492469470015,1.0,-8.844626672080514,2.3760657405875367,10752297282775.129
NaI,5895.924,0.32,61400000.0,10.0,0,-9.035314974926255,-10.035314974926255,-8.035314974926255,0,0,2,0.0,6,10000000000000.0,5894.973021510884,5896.422429009897,1.0,-8.844626672080514,2.3760657405875367,10752297282775.129
NaI,3302.368,0.009,9640000.0,8.0,1,-23.777587709733012,-24.777587709733012,-22.777587709733012,1,1,1,0.0,6,250000000000.0,3301.893479097363,3303.2043333003244,60.0,-23.530784405957448,1.068258833074093,245075602625.7612
NaI,3302.978,0.00446,9640000.0,8.0,1,-23.777587709733012,-24.777587709733012,-22.777587709733012,1,1,1,0.0,6,250000000000.0,3301.893479097363,3303.2043333003244,60.0,-23.530784405957448,1.068258833074093,245075602625.7612
NaI,5889.951,0.641,61600000.0,10.0,1,-23.777587709733012,-24.777587709733012,-22.777587709733012,1,1,1,0.0,6,250000000000.0,5889.047219174547,5890.492469470015,1.0,-23.530784405957448,1.068258833074093,245075602625.7612
NaI,5895.924,0.32,61400000.0,10.0,1,-23.777587709733012,-24.777587709733012,-22.777587709733012,1,1,1,0.0,6,250000000000.0,5894.973021510884,5896.422429009897,1.0,-23.530784405957448,1.068258833074093,245075602625.7612
NaI,3302.368,0.009,9640000.0,8.0,2,-16.099944108977294,-17.099944108977294,-15.099944108977294,2,2,3,0.0,6,200000000000.0,3301.893479097363,3303.2043333003244,60.0,-16.537722071407753,1.550986609399472,135733521157.2819
NaI,3302.978,0.00446,9640000.0,8.0,2,-16.099944108977294,-17.099944108977294,-15.099944108977294,2,2,3,0.0,6,200000000000.0,3301.893479097363,3303.2043333003244,60.0,-16.537722071407753,1.550986609399472,135733521157.2819
NaI,5889.951,0.641,61600000.0,10.0,2,-16.099944108977294,-17.099944108977294,-15.099944108977294,2,2,3,0.0,6,200000000000.0,5889.047219174547,5890.492469470015,1.0,-16.537722071407753,1.550986609399472,135733521157.2819
NaI,5895.924,0.32,61400000.0,10.0,2,-16.099944108977294,-17.099944108977294,-15.099944108977294,2,2,3,0.0,6,200000000000.0,5894.973021510884,5896.422429009897,1.0,-16.537722071407753,1.550986609399472,135733521157.2819
NaI,3302.368,0.009,9640000.0,8.0,3,-29.721569852256557,-30.721569852256557,-28.721569852256557,3,3,1,0.0,6,10000000000.0,3301.893479097363,3303.2043333003244,60.0,-29.6104299955683,2.3093353544761452,13523944756.5433
NaI,3302.978,0.00446,9640000.0,8.0,3,-29.721569852256557,-30.721569852256557,-28.721569852256557,3,3,1,0.0,6,10000000000.0,3301.893479097363,3303.2043333003244,60.0,-29.6104299955683,2.3093353544761452,13523944756.5433
NaI,5889.951,0.641,61600000.0,10.0,3,-29.721569852256557,-30.721569852256557,-28.721569852256557,3,3,1,0.0,6,10000000000.0,5889.047219174547,5890.492469470015,1.0,-29.6104299955683,2.3093353544761452,13523944756.5433
NaI,5895.924,0.32,61400000.0,10.0,3,-29.721569852256557,-30.721569852256557,-28.721569852256557,3,3,1,0.0,6,10000000000.0,5894.973021510884,5896.422429009897,1.0,-29.6104299955683,2.3093353544761452,13523944756.5433
