Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit
NaI,3302.368,0.009,9640000.0,8.0,0,-13.686321675646443,-14.686321675646443,-12.686321675646443,0,0,1,0.0,6,100000000000000.0,3301.885663080649,3303.1328869097324,50.0,-13.606167851255938,0.7959481581892447,83725425638000.2
NaI,3302.978,0.00446,9640000.0,8.0,0,-13.686321675646443,-14.686321675646443,-12.686321675646443,0,0,1,0.0,6,100000000000000.0,3301.885663080649,3303.1328869097324,50.0,-13.606167851255938,0.7959481581892447,83725425638000.2
NaI,5889.951,0.641,61600000.0,10.0,0,-13.686321675646443,-14.686321675646443,-12.686321675646443,0,0,1,0.0,6,100000000000000.0,5889.029639665898,5890.155275213371,1.0,-13.606167851255938,0.7959481581892447,83725425638000.2
NaI,5895.924,0.32,61400000.0,10.0,0,-13.686321675646443,-14.686321675646443,-12.686321675646443,0,0,1,0.0,6,100000000000000.0,5895.003884953156,5896.145669280264,1.0,-13.606167851255938,0.7959481581892447,83725425638000.2
NaI,3302.368,0.009,9640000.0,8.0,1,-17.28150150674882,-18.28150150674882,-16.28150150674882,1,1,1,0.0,6,10000000000000.0,3301.885663080649,3303.1328869097324,50.0,-16.2815015068657,3.615129161633776,3212349271682.304
NaI,3302.978,0.00446,9640000.0,8.0,1,-17.28150150674882,-18.28150150674882,-16.28150150674882,1,1,1,0.0,6,10000000000000.0,3301.885663080649,3303.1328869097324,50.0,-16.2815015068657,3.615129161633776,3212349271682.304
NaI,5889.951,0.641,61600000.0,10.0,1,-17.28150150674882,-18.28150150674882,-16.28150150674882,1,1,1,0.0,6,10000000000000.0,5889.029639665898,5890.155275213371,1.0,-16.2815015068657,3.615129161633776,3212349271682.304
NaI,5895.924,0.32,61400000.0,10.0,1,-17.28150150674882,-18.28150150674882,-16.28150150674882,1,1,1,0.0,6,10000000000000.0,5895.003884953156,5896.145669280264,1.0,-16.2815015068657,3.615129161633776,3212349271682.304
NaI,3302.368,0.009,9640000.0,8.0,2,-28.06704100014855,-29.06704100014855,-27.06704100014855,2,2,1,0.0,6,130000000000.0,3301.885663080649,3303.1328869097324,50.0,-28.039143142900755,1.7465460792131413,143591774635.1103
NaI,3302.978,0.00446,9640000.0,8.0,2,-28.06704100014855,-29.06704100014855,-27.06704100014855,2,2,1,0.0,6,130000000000.0,3301.885663080649,3303.1328869097324,50.0,-28.039143142900755,1.7465460792131413,143591774635.1103
NaI,5889.951,0.641,61600000.0,10.0,2,-28.06704100014855,-29.06704100014855,-27.06704100014855,2,2,1,0.0,6,130000000000.0,5889.029639665898,5890.155275213371,1.0,-28.039143142900755,1.7465460792131413,143591774635.1103
NaI,5895.924,0.32,61400000.0,10.0,2,-28.06704100014855,-29.06704100014855,-27.06704100014855,2,2,1,0.0,6,130000000000.0,5895.003884953156,5896.145669280264,1.0,-28.039143142900755,1.7465460792131413,143591774635.1103
