Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
NaI,3302.368,0.009,9640000.0,8.0,0,-13.606167851255938,-14.686321675646443,-12.686321675646443,0,0,0.7959481581892447,0.0,6,83725425638000.2,3301.885663080649,3303.1328869097324,1.0,-13.606167851255938,0.7959481581892447,83725425638000.2,0.048507577564121745,0.0652185462285412,63700117379319.43
NaI,3302.978,0.00446,9640000.0,8.0,0,-13.606167851255938,-14.686321675646443,-12.686321675646443,0,0,0.7959481581892447,0.0,6,83725425638000.2,3301.885663080649,3303.1328869097324,1.0,-13.606167851255938,0.7959481581892447,83725425638000.2,0.048507577564121745,0.0652185462285412,63700117379319.43
NaI,5889.951,0.641,61600000.0,10.0,0,-13.606167851255938,-14.686321675646443,-12.686321675646443,0,0,0.7959481581892447,0.0,6,83725425638000.2,5889.029639665898,5890.155275213371,1.0,-13.606167851255938,0.7959481581892447,83725425638000.2,0.048507577564121745,0.0652185462285412,63700117379319.43
NaI,5895.924,0.32,61400000.0,10.0,0,-13.606167851255938,-14.686321675646443,-12.686321675646443,0,0,0.7959481581892447,0.0,6,83725425638000.2,5895.003884953156,5896.145669280264,1.0,-13.606167851255938,0.7959481581892447,83725425638000.2,0.048507577564121745,0.0652185462285412,63700117379319.43
NaI,3302.368,0.009,9640000.0,8.0,1,-16.2815015068657,-18.28150150674882,-16.28150150674882,1,1,3.615129161633776,0.0,6,3212349271682.304,3301.885663080649,3303.1328869097324,1.0,-16.2815015068657,3.615129161633776,3212349271682.304,0.15599952266690056,0.07551014159473671,133276390069.11377
NaI,3302.978,0.00446,9640000.0,8.0,1,-16.2815015068657,-18.28150150674882,-16.28150150674882,1,1,3.615129161633776,0.0,6,3212349271682.304,3301.885663080649,3303.1328869097324,1.0,-16.2815015068657,3.615129161633776,3212349271682.304,0.15599952266690056,0.07551014159473671,133276390069.11377
NaI,5889.951,0.641,61600000.0,10.0,1,-16.2815015068657,-18.28150150674882,-16.28150150674882,1,1,3.615129161633776,0.0,6,3212349271682.304,5889.029639665898,5890.155275213371,1.0,-16.2815015068657,3.615129161633776,3212349271682.304,0.15599952266690056,0.07551014159473671,133276390069.11377
NaI,5895.924,0.32,61400000.0,10.0,1,-16.2815015068657,-18.28150150674882,-16.28150150674882,1,1,3.615129161633776,0.0,6,3212349271682.304,5895.003884953156,5896.145669280264,1.0,-16.2815015068657,3.615129161633776,3212349271682.304,0.15599952266690056,0.07551014159473671,133276390069.11377
NaI,3302.368,0.009,9640000.0,8.0,2,-28.039143142900755,-29.06704100014855,-27.06704100014855,2,2,1.746546079213141,0.0,6,143591774635.1103,3301.885663080649,3303.1328869097324,1.0,-28.039143142900755,1.7465460792131409,143591774635.1103,0.2103973957182845,0.4161777992918654,14875884813.65717
NaI,3302.978,0.00446,9640000.0,8.0,2,-28.039143142900755,-29.06704100014855,-27.06704100014855,2,2,1.746546079213141,0.0,6,143591774635.1103,3301.885663080649,3303.1328869097324,1.0,-28.039143142900755,1.7465460792131409,143591774635.1103,0.2103973957182845,0.4161777992918654,14875884813.65717
NaI,5889.951,0.641,61600000.0,10.0,2,-28.039143142900755,-29.06704100014855,-27.06704100014855,2,2,1.746546079213141,0.0,6,143591774635.1103,5889.029639665898,5890.155275213371,1.0,-28.039143142900755,1.7465460792131409,143591774635.1103,0.2103973957182845,0.4161777992918654,14875884813.65717
NaI,5895.924,0.32,61400000.0,10.0,2,-28.039143142900755,-29.06704100014855,-27.06704100014855,2,2,1.746546079213141,0.0,6,143591774635.1103,5895.003884953156,5896.145669280264,1.0,-28.039143142900755,1.7465460792131409,143591774635.1103,0.2103973957182845,0.4161777992918654,14875884813.65717
