Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
NaI,3302.368,0.009,9640000.0,8.0,0,-11.026891706630375,-16.026891706630373,-6.026891706630375,0,0,3.0,0.1,6,5000000000000.0,3301.965063621761,3303.195718131913,30.0,-11.532528971226679,2.1236250497897924,55261558944830.34,0.044570132543739094,0.025224428005650907,1626387910267.207
NaI,3302.978,0.00446,9640000.0,8.0,0,-11.026891706630375,-16.026891706630373,-6.026891706630375,0,0,3.0,0.1,6,5000000000000.0,3301.965063621761,3303.195718131913,30.0,-11.532528971226679,2.1236250497897924,55261558944830.34,0.044570132543739094,0.025224428005650907,1626387910267.207
NaI,5889.951,0.641,61600000.0,10.0,0,-11.026891706630375,-16.026891706630373,-6.026891706630375,0,0,3.0,0.1,6,5000000000000.0,5889.097537160848,5890.472307977191,1.0,-11.532528971226679,2.1236250497897924,55261558944830.34,0.044570132543739094,0.025224428005650907,1626387910267.207
NaI,5895.924,0.32,61400000.0,10.0,0,-11.026891706630375,-16.026891706630373,-6.026891706630375,0,0,3.0,0.1,6,5000000000000.0,5895.126437657841,5896.335251229924,1.0,-11.532528971226679,2.1236250497897924,55261558944830.34,0.044570132543739094,0.025224428005650907,1626387910267.207
NaI,3302.368,0.009,9640000.0,8.0,1,-23.21951036194797,-28.21951036194797,-18.21951036194797,1,1,5.0,0.1,6,100000000000.0,3301.965063621761,3303.195718131913,30.0,-18.219510365647718,2.0333246174818975,273129839400.40778,0.11877119707288059,0.7063863464716496,53360016658.10114
NaI,3302.978,0.00446,9640000.0,8.0,1,-23.21951036194797,-28.21951036194797,-18.21951036194797,1,1,5.0,0.1,6,100000000000.0,3301.965063621761,3303.195718131913,30.0,-18.219510365647718,2.0333246174818975,273129839400.40778,0.11877119707288059,0.7063863464716496,53360016658.10114
NaI,5889.951,0.641,61600000.0,10.0,1,-23.21951036194797,-28.21951036194797,-18.21951036194797,1,1,5.0,0.1,6,100000000000.0,5889.097537160848,5890.472307977191,1.0,-18.219510365647718,2.0333246174818975,273129839400.40778,0.11877119707288059,0.7063863464716496,53360016658.10114
NaI,5895.924,0.32,61400000.0,10.0,1,-23.21951036194797,-28.21951036194797,-18.21951036194797,1,1,5.0,0.1,6,100000000000.0,5895.126437657841,5896.335251229924,1.0,-18.219510365647718,2.0333246174818975,273129839400.40778,0.11877119707288059,0.7063863464716496,53360016658.10114
NaI,3302.368,0.009,9640000.0,8.0,2,-25.795273397371634,-30.795273397371634,-20.795273397371634,2,2,1.0,0.1,6,10000000000.0,3301.965063621761,3303.195718131913,30.0,-23.8997419280047,0.2608707157813276,32406575414.125423,1.702011590607204,1.399317678315504,68290002095.52361
NaI,3302.978,0.00446,9640000.0,8.0,2,-25.795273397371634,-30.795273397371634,-20.795273397371634,2,2,1.0,0.1,6,10000000000.0,3301.965063621761,3303.195718131913,30.0,-23.8997419280047,0.2608707157813276,32406575414.125423,1.702011590607204,1.399317678315504,68290002095.52361
NaI,5889.951,0.641,61600000.0,10.0,2,-25.795273397371634,-30.795273397371634,-20.795273397371634,2,2,1.0,0.1,6,10000000000.0,5889.097537160848,5890.472307977191,1.0,-23.8997419280047,0.2608707157813276,32406575414.125423,1.702011590607204,1.399317678315504,68290002095.52361
NaI,5895.924,0.32,61400000.0,10.0,2,-25.795273397371634,-30.795273397371634,-20.795273397371634,2,2,1.0,0.1,6,10000000000.0,5895.126437657841,5896.335251229924,1.0,-23.8997419280047,0.2608707157813276,32406575414.125423,1.702011590607204,1.399317678315504,68290002095.52361
