Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
HD 144470,4,2.884733948109089,0.0328944508359519,1.140294093932435,5712433554839.729,128182064402.27792,2.243913441998439,-8.959979209553788,0.0178596272245005,0.19932665921208004,"(2.3760657405875367, 10752297282775.129, -8.844626672080514)",,,
,,1.0940613551466862,0.374073817789379,34.19130161481895,244458528760.75836,22701402176.351192,9.286402193219502,-23.528996029054923,0.1471384831902345,0.6253496027137736,"(1.068258833074093, 245075602625.7612, -23.530784405957448)",,,
,,0.7969789466785616,0.7312323513323278,91.75052294414613,105864326546.25764,21359083603.980976,20.17590278123394,-17.064286755717873,0.2459157759387608,1.4411137099320002,"(1.550986609399472, 135733521157.2819, -16.537722071407753)",,,
,,2.2558646129910187,8.026977902866268,355.82711199247956,13286365850.739515,25444310747.88275,191.50692547327776,-29.660170988521585,4.227204634776869,14.252124967225532,"(2.309335354476145, 13523944756.5433, -29.6104299955683)",,,
HD 147165,2,1.722000020468501,0.0201061353657833,1.167603665899671,9488006789817.451,368744146663.6393,3.886423722413187,-5.896775686644622,0.0221316587389052,0.37531796892037683,"(1, 10000000000000.0, -5.913122566612669)",232349.84961941314,540.3484874870073,
,,4.746721951728768,0.3130066896204509,6.594165253485157,607053124877.8547,28723438464.409275,4.731618582836341,-13.682659911137472,0.9086350486497012,6.640777849854226,"(1, 1000000000000.0, -14.682659909375367)",,,
HD 147683,4,2.899893899813325,,,306395678794925.75,,,1.2213423704766393,,,"(3.546988964326205, 60005352828615.945, 1.216135915992092)",,,
,,1.4518438701831662,,,224441827337.93542,,,-18.0874450998666,,,"(1.5748967633572497, 231614024421.20883, -18.0521001439337)",,,
,,5.022529665660347,,,22091625247.1554,,,-25.78093725207439,,,"(5.194067905227336, 24501040262.65087, -25.77242272326276)",,,
,,3.2989007898188563,,,49845107029.656586,,,-10.475976845221185,,,"(0.7387025517111263, 24373017183.12897, -10.479028229867811)",,,
HD 149757,3,0.7959481581892447,0.0652185462285412,8.19381834828429,83725425638000.2,63700117379319.43,76.08216607310749,-13.606167851255938,0.0485075775641217,0.3565116798088312,"(0.7959481581892447, 83725425638000.2, -13.606167851255938)",,,
,,3.615129161633776,0.0755101415947367,2.0887259685242223,3212349271682.304,133276390069.11375,4.148876065376199,-16.2815015068657,0.1559995226669005,0.9581396568437962,"(3.615129161633776, 3212349271682.304, -16.2815015068657)",,,
,,1.7465460792131409,0.4161777992918654,23.828618336789773,143591774635.1103,14875884813.65717,10.359844671785119,-28.039143142900755,0.2103973957182845,0.7503702757463012,"(1.746546079213141, 143591774635.1103, -28.039143142900755)",,,
HD 166937,3,1.7749039218008849,0.0231362699458237,1.3035223857271534,25388535840738.227,641064787408.149,2.5250167691021472,-6.571881663402733,0.0198700177957832,0.30234898942923255,"(3, 50000000000000.0, -6.5852152279305365)",553850.4163497678,1067.1491644504197,
