Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
HD 144470,5,1.789697813525861,0.0162697742757956,0.9090794073074674,10877463926065.771,178549500658.42804,1.641462586058945,-9.600452696891496,0.019855889595557,0.20682243038378895,"(2.5, 3000000000000.0, -9.977537670155474)",27554.405602197294,91.84801867399098,
,,0.937027169474732,0.0576522921775721,6.152680952665456,250014657776.36984,5050008214.966358,2.0198848579043833,-23.546499122545704,0.0242623880586334,0.10304032005930867,"(1.3, 250000000000.0, -23.534906909857813)",,,
,,2.6551803785567243,0.131157953646307,4.9397003196295275,180955424858.9748,5807464021.559592,3.209334025816337,-16.00247307810397,0.0775219202730986,0.4844371235291817,"(2.5, 150000000000.0, -16.589598209346498)",,,
,,3.206527863967929,1.3423939036601695,41.86440787696819,16437967421.5418,4596029733.207278,27.95984208597606,-29.092313661226413,0.7940027375117016,2.729252636135058,"(3.0, 13500000000.0, -29.429361214383253)",,,
,,0.8560392736917294,0.0293506851796922,3.4286610534952806,729281387902.9296,22370302265.905365,3.0674445607657477,-5.184887263074247,0.0328605668179233,0.6337759174042188,"(2.0, 1000000000000.0, -6.305673733868272)",,,
HD 147165,3,1.9138200613182343,0.0204393095680664,1.0679849156763388,9549830658855.81,361521985248.6462,3.785637653306421,-6.16396519991557,0.0224906187006247,0.3648725774917218,"(2.0, 10000000000000.0, -5.932741666377419)",651615112326.2527,1457751929.141505,
,,0.1570971754541839,0.007402126670512,4.711813976993348,55105572059000.766,5813696820250.336,10.550107009189,-14.17989548441118,0.0593956549229606,0.4188723040184454,"(0.1, 50000000000000.0, -14.36331304343023)",,,
,,0.1000000214848185,0.1133022539688134,113.302229626035,102901901762.02928,300379325484.968,291.90842962224804,-20.31214544019948,0.0346914413388011,0.17079161549396826,"(3.0, 50000000000.0, -20.42083469957462)",,,
HD 147683,4,3.5132049070360907,0.0309728214252002,0.8816115838609131,64071940757863.27,3397072879263.4663,5.301966569268559,1.2125645953556687,0.0208384713579765,1.7185452583550132,"(3.0, 100000000000000.0, 1.5357446532545889)",2333222096165.2886,5451453495.713291,
,,1.407887926598968,1.452376652390782,103.15996216398311,217160432614.15155,147546355404.5137,67.9434801397143,-18.01261955788881,0.4351609030453082,2.4158668407268116,"(2.0, 300000000000.0, -18.32251320346961)",,,
,,5.878223607413073,21.801664322842072,370.88865240423695,41538256147.740654,209319302591.9268,503.9193312483631,-21.69021378146575,11.159452220907689,51.449249570990496,"(2.0, 10000000000.0, -26.69021378094566)",,,
,,0.4808572530319583,10.90916011656278,2268.689938183743,23993686759.51201,47471968470.47476,197.85191390670744,-10.21425871089535,2.5269083178107574,24.739027954278793,"(1.0, 10000000000.0, -11.000775198201229)",,,
HD 149757,3,0.8580381673257467,0.0372097385574122,4.336606455792525,66927812436031.57,5345836192443.58,7.987465894769887,-13.700924602677288,0.0695023112762705,0.5072819046291891,"(3.0, 5000000000000.0, -14.810258565632436)",3213793041716.7446,9480215462.291283,
,,3.683805022045544,0.0544677581057443,1.4785733169856918,3157676437300.6714,74166399371.14752,2.348765012622649,-16.281546586849124,0.0967219754082211,0.5940588929453732,"(3.0, 1000000000000.0, -16.2815015068657)",,,
,,1.721562925591157,0.422230964219999,24.52602562145741,143097024099.92294,14899301159.631294,10.412027261466521,-28.05035975806273,0.212329290016751,0.7569574574020198,"(2.0, 200000000000.0, -28.039143142900755)",,,
HD 166937,4,1.6560167112856952,0.1600712208046062,9.66603897857591,24600000000000.0,11546731013278.37,46.93793094828605,-6.536156025907886,0.0461424931026602,0.7059576442141452,"(1.6560167112856952, 24600000000000.0, -6.536156025907887)",6788374628241.732,12297780123.626328,
,,5.997420453498209,1.1370692186146891,18.959304711602353,951000000000.0,260477601004.22372,27.389863407384198,-10.770058623612591,1.371117613522663,12.73082776463802,"(5.997420453498209, 951000000000.0, -10.770058623612591)",,,
,,0.1000000000909861,0.7365447498952905,736.5447492251371,1320000000000.0,7917077342266.599,599.7785865353484,-2.2374341996061657,2.0678427399863755,92.42027052015018,"(0.1000000000909861, 1320000000000.0, -2.2374341996061657)",,,
,,1.4698326735264775,4.95780633705869,337.3041317120632,27600000000.0,34912473034.75105,126.49446751721396,28.41187044825255,2.309286385870425,8.127892847028155,"(1.4698326735264775, 27600000000.0, 28.41187044825255)",,,
HD 170740,3,2.1236250497897924,0.0252244280056509,1.1878004550825838,55261558944830.34,1626387910267.207,2.943072800191703,-11.53252897122668,0.044570132543739,0.38647318948810067,"(3.0, 5000000000000.0, -11.026891706630376)",37348201409783.59,103745003916.06554,
,,2.033324617481897,0.7063863464716496,34.74046103599779,273129839400.40775,53360016658.10114,19.536502044317274,-18.21951036564772,0.1187711970728805,0.6518901698742664,"(5.0, 100000000000.0, -23.21951036194797)",,,
,,0.2608707157813276,1.399317678315504,536.402744219274,32406575414.125423,68290002095.52361,210.7288450656754,-23.8997419280047,1.702011590607204,7.121464305908924,"(1.0, 10000000000.0, -25.795273397371638)",,,
HD 184915,5,1.6966156546333904,0.0144790767387099,0.8534093563953694,19783655767728.72,347048409544.5596,1.7542177928038365,-13.779003295220171,0.0241386841860245,0.17518454469343236,"(2.0, 10000000000000.0, -13.779770067219683)",6066498666882.912,14582929487.699308,
,,0.1018250920518631,16346146.191056171,16053161221.529272,12653172167715.756,2854586827988.3696,22.560246475360344,-22.117048180313887,0.1674939201496931,0.7573068466649062,"(0.1, 10000000000000.0, -22.07759924548906)",,,
