Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,-28.290139503090803,-29.290139503090803,-27.290139503090803,0,0,1,0.1,6,150000000000.0,3065.5287413899055,3067.165258610095,1.0,-28.603062414066134,3.152637068605916,179573001119.3992,0.016680132102921776,0.030900716697320658,963993889.2606901
TiII,3072.97,0.121,256000000.0,10.0,0,-28.290139503090803,-29.290139503090803,-27.290139503090803,0,0,1,0.1,6,150000000000.0,3072.1499740339027,3073.790025966097,1.0,-28.603062414066134,3.152637068605916,179573001119.3992,0.016680132102921776,0.030900716697320658,963993889.2606901
TiII,3229.199,0.0687,244000000.0,10.0,0,-28.290139503090803,-29.290139503090803,-27.290139503090803,0,0,1,0.1,6,150000000000.0,3228.33728412588,3230.06071587412,1.0,-28.603062414066134,3.152637068605916,179573001119.3992,0.016680132102921776,0.030900716697320658,963993889.2606901
TiII,3241.983,0.232,244000000.0,10.0,0,-28.290139503090803,-29.290139503090803,-27.290139503090803,0,0,1,0.1,6,150000000000.0,3241.4073701741613,3242.4886792686702,5.0,-28.603062414066134,3.152637068605916,179573001119.3992,0.016680132102921776,0.030900716697320658,963993889.2606901
TiII,3383.7588,0.3586,175000000.0,10.0,0,-28.290139503090803,-29.290139503090803,-27.290139503090803,0,0,1,0.1,6,150000000000.0,3383.106190051071,3384.0862968062706,5.0,-28.603062414066134,3.152637068605916,179573001119.3992,0.016680132102921776,0.030900716697320658,963993889.2606901
TiII,3066.347,0.0489,250000000.0,10.0,1,-13.4067074680194,-14.4067074680194,-12.4067074680194,1,1,1,0.1,6,50000000000.0,3065.5287413899055,3067.165258610095,1.0,-14.05528462787795,3.21171204208166,58591728837.12548,0.04725192264301467,0.09000603031358141,899287366.206113
TiII,3072.97,0.121,256000000.0,10.0,1,-13.4067074680194,-14.4067074680194,-12.4067074680194,1,1,1,0.1,6,50000000000.0,3072.1499740339027,3073.790025966097,1.0,-14.05528462787795,3.21171204208166,58591728837.12548,0.04725192264301467,0.09000603031358141,899287366.206113
TiII,3229.199,0.0687,244000000.0,10.0,1,-13.4067074680194,-14.4067074680194,-12.4067074680194,1,1,1,0.1,6,50000000000.0,3228.33728412588,3230.06071587412,1.0,-14.05528462787795,3.21171204208166,58591728837.12548,0.04725192264301467,0.09000603031358141,899287366.206113
TiII,3241.983,0.232,244000000.0,10.0,1,-13.4067074680194,-14.4067074680194,-12.4067074680194,1,1,1,0.1,6,50000000000.0,3241.4073701741613,3242.4886792686702,5.0,-14.05528462787795,3.21171204208166,58591728837.12548,0.04725192264301467,0.09000603031358141,899287366.206113
TiII,3383.7588,0.3586,175000000.0,10.0,1,-13.4067074680194,-14.4067074680194,-12.4067074680194,1,1,1,0.1,6,50000000000.0,3383.106190051071,3384.0862968062706,5.0,-14.05528462787795,3.21171204208166,58591728837.12548,0.04725192264301467,0.09000603031358141,899287366.206113
TiII,3066.347,0.0489,250000000.0,10.0,2,-22.144617215534062,-23.144617215534062,-21.144617215534062,2,2,1,0.1,6,40000000000.0,3065.5287413899055,3067.165258610095,1.0,-21.567877085838674,1.0046012407387541,23507959718.00573,0.0670881863880765,0.2577781785197608,1000472448.2208276
TiII,3072.97,0.121,256000000.0,10.0,2,-22.144617215534062,-23.144617215534062,-21.144617215534062,2,2,1,0.1,6,40000000000.0,3072.1499740339027,3073.790025966097,1.0,-21.567877085838674,1.0046012407387541,23507959718.00573,0.0670881863880765,0.2577781785197608,1000472448.2208276
TiII,3229.199,0.0687,244000000.0,10.0,2,-22.144617215534062,-23.144617215534062,-21.144617215534062,2,2,1,0.1,6,40000000000.0,3228.33728412588,3230.06071587412,1.0,-21.567877085838674,1.0046012407387541,23507959718.00573,0.0670881863880765,0.2577781785197608,1000472448.2208276
TiII,3241.983,0.232,244000000.0,10.0,2,-22.144617215534062,-23.144617215534062,-21.144617215534062,2,2,1,0.1,6,40000000000.0,3241.4073701741613,3242.4886792686702,5.0,-21.567877085838674,1.0046012407387541,23507959718.00573,0.0670881863880765,0.2577781785197608,1000472448.2208276
TiII,3383.7588,0.3586,175000000.0,10.0,2,-22.144617215534062,-23.144617215534062,-21.144617215534062,2,2,1,0.1,6,40000000000.0,3383.106190051071,3384.0862968062706,5.0,-21.567877085838674,1.0046012407387541,23507959718.00573,0.0670881863880765,0.2577781785197608,1000472448.2208276
