Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit
TiII,3066.347,0.0489,250000000.0,10.0,0,11.943832205561593,10.943832205561593,12.943832205561593,0,0,1,0.1,6,100000000000.0,3065.835588368691,3066.858411631309,1.0,11.402698992151981,3.760939291710727,153039464850.33463
TiII,3072.97,0.121,256000000.0,10.0,0,11.943832205561593,10.943832205561593,12.943832205561593,0,0,1,0.1,6,100000000000.0,3072.4574837711893,3073.4825162288103,1.0,11.402698992151981,3.760939291710727,153039464850.33463
TiII,3229.199,0.0687,244000000.0,10.0,0,11.943832205561593,10.943832205561593,12.943832205561593,0,0,1,0.1,6,100000000000.0,3228.660427578675,3229.737572421325,1.0,11.402698992151981,3.760939291710727,153039464850.33463
TiII,3241.983,0.232,244000000.0,10.0,0,11.943832205561593,10.943832205561593,12.943832205561593,0,0,1,0.1,6,100000000000.0,3241.9172560305474,3242.312207069194,1.0,11.402698992151981,3.760939291710727,153039464850.33463
TiII,3383.7588,0.3586,175000000.0,10.0,0,11.943832205561593,10.943832205561593,12.943832205561593,0,0,1,0.1,6,100000000000.0,3383.6370369826896,3384.1696217238814,1.0,11.402698992151981,3.760939291710727,153039464850.33463
TiII,3066.347,0.0489,250000000.0,10.0,1,21.394912905018902,20.394912905018902,22.394912905018902,1,1,2,0.1,6,10000000000.0,3065.835588368691,3066.858411631309,1.0,21.303439622815066,2.791405632320979,24104651798.096424
TiII,3072.97,0.121,256000000.0,10.0,1,21.394912905018902,20.394912905018902,22.394912905018902,1,1,2,0.1,6,10000000000.0,3072.4574837711893,3073.4825162288103,1.0,21.303439622815066,2.791405632320979,24104651798.096424
TiII,3229.199,0.0687,244000000.0,10.0,1,21.394912905018902,20.394912905018902,22.394912905018902,1,1,2,0.1,6,10000000000.0,3228.660427578675,3229.737572421325,1.0,21.303439622815066,2.791405632320979,24104651798.096424
TiII,3241.983,0.232,244000000.0,10.0,1,21.394912905018902,20.394912905018902,22.394912905018902,1,1,2,0.1,6,10000000000.0,3241.9172560305474,3242.312207069194,1.0,21.303439622815066,2.791405632320979,24104651798.096424
TiII,3383.7588,0.3586,175000000.0,10.0,1,21.394912905018902,20.394912905018902,22.394912905018902,1,1,2,0.1,6,10000000000.0,3383.6370369826896,3384.1696217238814,1.0,21.303439622815066,2.791405632320979,24104651798.096424
