Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,12.464032475725526,11.17660562980303,13.17660562980303,0,0,4.297438238705211,0.1,6,126469457455.07684,3065.835588368691,3066.858411631309,1.0,12.464032475725526,4.297438238705211,126469457455.07684,0.039399820544575484,0.06081060121434209,1311093705.8622415
TiII,3072.97,0.121,256000000.0,10.0,0,12.464032475725526,11.17660562980303,13.17660562980303,0,0,4.297438238705211,0.1,6,126469457455.07684,3072.4574837711893,3073.4825162288103,1.0,12.464032475725526,4.297438238705211,126469457455.07684,0.039399820544575484,0.06081060121434209,1311093705.8622415
TiII,3229.199,0.0687,244000000.0,10.0,0,12.464032475725526,11.17660562980303,13.17660562980303,0,0,4.297438238705211,0.1,6,126469457455.07684,3228.660427578675,3229.737572421325,1.0,12.464032475725526,4.297438238705211,126469457455.07684,0.039399820544575484,0.06081060121434209,1311093705.8622415
TiII,3241.983,0.232,244000000.0,10.0,0,12.464032475725526,11.17660562980303,13.17660562980303,0,0,4.297438238705211,0.1,6,126469457455.07684,3241.91762614684,3242.359876150349,1.0,12.464032475725526,4.297438238705211,126469457455.07684,0.039399820544575484,0.06081060121434209,1311093705.8622415
TiII,3383.7588,0.3586,175000000.0,10.0,0,12.464032475725526,11.17660562980303,13.17660562980303,0,0,4.297438238705211,0.1,6,126469457455.07684,3383.674130582908,3384.206655568936,1.0,12.464032475725526,4.297438238705211,126469457455.07684,0.039399820544575484,0.06081060121434209,1311093705.8622415
TiII,3066.347,0.0489,250000000.0,10.0,1,22.759102027301573,22.75910201980181,24.75910201980181,1,1,4.185512952243162,0.1,6,22570214824.54008,3065.835588368691,3066.858411631309,1.0,22.759102027301573,4.185512952243162,22570214824.54008,0.19642173820204414,0.33118253546957965,1308195981.238226
TiII,3072.97,0.121,256000000.0,10.0,1,22.759102027301573,22.75910201980181,24.75910201980181,1,1,4.185512952243162,0.1,6,22570214824.54008,3072.4574837711893,3073.4825162288103,1.0,22.759102027301573,4.185512952243162,22570214824.54008,0.19642173820204414,0.33118253546957965,1308195981.238226
TiII,3229.199,0.0687,244000000.0,10.0,1,22.759102027301573,22.75910201980181,24.75910201980181,1,1,4.185512952243162,0.1,6,22570214824.54008,3228.660427578675,3229.737572421325,1.0,22.759102027301573,4.185512952243162,22570214824.54008,0.19642173820204414,0.33118253546957965,1308195981.238226
TiII,3241.983,0.232,244000000.0,10.0,1,22.759102027301573,22.75910201980181,24.75910201980181,1,1,4.185512952243162,0.1,6,22570214824.54008,3241.91762614684,3242.359876150349,1.0,22.759102027301573,4.185512952243162,22570214824.54008,0.19642173820204414,0.33118253546957965,1308195981.238226
TiII,3383.7588,0.3586,175000000.0,10.0,1,22.759102027301573,22.75910201980181,24.75910201980181,1,1,4.185512952243162,0.1,6,22570214824.54008,3383.674130582908,3384.206655568936,1.0,22.759102027301573,4.185512952243162,22570214824.54008,0.19642173820204414,0.33118253546957965,1308195981.238226
