Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,7.152066066272937,6.803126114819643,8.803126114819644,0,0,5.543615331483226,0.1,6,1031941911022.9216,3065.996989814173,3066.7934682091905,1.0,7.152066066272937,5.543615331483226,1031941911022.9216,0.16877337560822459,0.2161617284337052,44170715627.808876
TiII,3072.97,0.121,256000000.0,10.0,0,7.152066066272937,6.803126114819643,8.803126114819644,0,0,5.543615331483226,0.1,6,1031941911022.9216,3072.540352891044,3073.348597647004,1.0,7.152066066272937,5.543615331483226,1031941911022.9216,0.16877337560822459,0.2161617284337052,44170715627.808876
TiII,3229.199,0.0687,244000000.0,10.0,0,7.152066066272937,6.803126114819643,8.803126114819644,0,0,5.543615331483226,0.1,6,1031941911022.9216,3228.8019380114856,3229.6136714434865,1.0,7.152066066272937,5.543615331483226,1031941911022.9216,0.16877337560822459,0.2161617284337052,44170715627.808876
TiII,3241.983,0.232,244000000.0,10.0,0,7.152066066272937,6.803126114819643,8.803126114819644,0,0,5.543615331483226,0.1,6,1031941911022.9216,3241.5417212311336,3242.4275718489075,1.0,7.152066066272937,5.543615331483226,1031941911022.9216,0.16877337560822459,0.2161617284337052,44170715627.808876
TiII,3383.7588,0.3586,175000000.0,10.0,0,7.152066066272937,6.803126114819643,8.803126114819644,0,0,5.543615331483226,0.1,6,1031941911022.9216,3383.274048222504,3384.3310179984805,1.0,7.152066066272937,5.543615331483226,1031941911022.9216,0.16877337560822459,0.2161617284337052,44170715627.808876
TiII,3066.347,0.0489,250000000.0,10.0,1,-2.80919374498912,-4.809193744965299,-2.8091937449652997,1,1,3.714212570434911,0.1,6,431574844857.14777,3065.996989814173,3066.7934682091905,1.0,-2.80919374498912,3.714212570434911,431574844857.14777,0.3415388607806928,0.25796328473552876,42505635453.72273
TiII,3072.97,0.121,256000000.0,10.0,1,-2.80919374498912,-4.809193744965299,-2.8091937449652997,1,1,3.714212570434911,0.1,6,431574844857.14777,3072.540352891044,3073.348597647004,1.0,-2.80919374498912,3.714212570434911,431574844857.14777,0.3415388607806928,0.25796328473552876,42505635453.72273
TiII,3229.199,0.0687,244000000.0,10.0,1,-2.80919374498912,-4.809193744965299,-2.8091937449652997,1,1,3.714212570434911,0.1,6,431574844857.14777,3228.8019380114856,3229.6136714434865,1.0,-2.80919374498912,3.714212570434911,431574844857.14777,0.3415388607806928,0.25796328473552876,42505635453.72273
TiII,3241.983,0.232,244000000.0,10.0,1,-2.80919374498912,-4.809193744965299,-2.8091937449652997,1,1,3.714212570434911,0.1,6,431574844857.14777,3241.5417212311336,3242.4275718489075,1.0,-2.80919374498912,3.714212570434911,431574844857.14777,0.3415388607806928,0.25796328473552876,42505635453.72273
TiII,3383.7588,0.3586,175000000.0,10.0,1,-2.80919374498912,-4.809193744965299,-2.8091937449652997,1,1,3.714212570434911,0.1,6,431574844857.14777,3383.274048222504,3384.3310179984805,1.0,-2.80919374498912,3.714212570434911,431574844857.14777,0.3415388607806928,0.25796328473552876,42505635453.72273
TiII,3066.347,0.0489,250000000.0,10.0,2,-10.67306949307586,-11.399969881601086,-9.399969881601086,2,2,5.999999999908605,0.1,6,890370367146.5988,3065.996989814173,3066.7934682091905,1.0,-10.67306949307586,5.999999999908605,890370367146.5988,0.1766095364705713,70.4814148938385,31418904355.072838
TiII,3072.97,0.121,256000000.0,10.0,2,-10.67306949307586,-11.399969881601086,-9.399969881601086,2,2,5.999999999908605,0.1,6,890370367146.5988,3072.540352891044,3073.348597647004,1.0,-10.67306949307586,5.999999999908605,890370367146.5988,0.1766095364705713,70.4814148938385,31418904355.072838
TiII,3229.199,0.0687,244000000.0,10.0,2,-10.67306949307586,-11.399969881601086,-9.399969881601086,2,2,5.999999999908605,0.1,6,890370367146.5988,3228.8019380114856,3229.6136714434865,1.0,-10.67306949307586,5.999999999908605,890370367146.5988,0.1766095364705713,70.4814148938385,31418904355.072838
TiII,3241.983,0.232,244000000.0,10.0,2,-10.67306949307586,-11.399969881601086,-9.399969881601086,2,2,5.999999999908605,0.1,6,890370367146.5988,3241.5417212311336,3242.4275718489075,1.0,-10.67306949307586,5.999999999908605,890370367146.5988,0.1766095364705713,70.4814148938385,31418904355.072838
TiII,3383.7588,0.3586,175000000.0,10.0,2,-10.67306949307586,-11.399969881601086,-9.399969881601086,2,2,5.999999999908605,0.1,6,890370367146.5988,3383.274048222504,3384.3310179984805,1.0,-10.67306949307586,5.999999999908605,890370367146.5988,0.1766095364705713,70.4814148938385,31418904355.072838
TiII,3066.347,0.0489,250000000.0,10.0,3,21.760233673468587,21.240064318848287,23.240064318848287,3,3,5.999999999999932,0.1,6,226050993551.70444,3065.996989814173,3066.7934682091905,1.0,21.760233673468587,5.999999999999932,226050993551.70444,0.2009414524452662,0.008347593200775988,9158896247.621458
TiII,3072.97,0.121,256000000.0,10.0,3,21.760233673468587,21.240064318848287,23.240064318848287,3,3,5.999999999999932,0.1,6,226050993551.70444,3072.540352891044,3073.348597647004,1.0,21.760233673468587,5.999999999999932,226050993551.70444,0.2009414524452662,0.008347593200775988,9158896247.621458
TiII,3229.199,0.0687,244000000.0,10.0,3,21.760233673468587,21.240064318848287,23.240064318848287,3,3,5.999999999999932,0.1,6,226050993551.70444,3228.8019380114856,3229.6136714434865,1.0,21.760233673468587,5.999999999999932,226050993551.70444,0.2009414524452662,0.008347593200775988,9158896247.621458
TiII,3241.983,0.232,244000000.0,10.0,3,21.760233673468587,21.240064318848287,23.240064318848287,3,3,5.999999999999932,0.1,6,226050993551.70444,3241.5417212311336,3242.4275718489075,1.0,21.760233673468587,5.999999999999932,226050993551.70444,0.2009414524452662,0.008347593200775988,9158896247.621458
TiII,3383.7588,0.3586,175000000.0,10.0,3,21.760233673468587,21.240064318848287,23.240064318848287,3,3,5.999999999999932,0.1,6,226050993551.70444,3383.274048222504,3384.3310179984805,1.0,21.760233673468587,5.999999999999932,226050993551.70444,0.2009414524452662,0.008347593200775988,9158896247.621458
TiII,3066.347,0.0489,250000000.0,10.0,4,2.878677755813248,2.409275357049023,4.409275357049022,4,4,0.6023915088006135,0.1,6,119741080594.19553,3065.996989814173,3066.7934682091905,1.0,2.878677755813248,0.6023915088006135,119741080594.19553,0.090746805552658,0.8501796659945947,12150906326.522038
TiII,3072.97,0.121,256000000.0,10.0,4,2.878677755813248,2.409275357049023,4.409275357049022,4,4,0.6023915088006135,0.1,6,119741080594.19553,3072.540352891044,3073.348597647004,1.0,2.878677755813248,0.6023915088006135,119741080594.19553,0.090746805552658,0.8501796659945947,12150906326.522038
TiII,3229.199,0.0687,244000000.0,10.0,4,2.878677755813248,2.409275357049023,4.409275357049022,4,4,0.6023915088006135,0.1,6,119741080594.19553,3228.8019380114856,3229.6136714434865,1.0,2.878677755813248,0.6023915088006135,119741080594.19553,0.090746805552658,0.8501796659945947,12150906326.522038
TiII,3241.983,0.232,244000000.0,10.0,4,2.878677755813248,2.409275357049023,4.409275357049022,4,4,0.6023915088006135,0.1,6,119741080594.19553,3241.5417212311336,3242.4275718489075,1.0,2.878677755813248,0.6023915088006135,119741080594.19553,0.090746805552658,0.8501796659945947,12150906326.522038
TiII,3383.7588,0.3586,175000000.0,10.0,4,2.878677755813248,2.409275357049023,4.409275357049022,4,4,0.6023915088006135,0.1,6,119741080594.19553,3383.274048222504,3384.3310179984805,1.0,2.878677755813248,0.6023915088006135,119741080594.19553,0.090746805552658,0.8501796659945947,12150906326.522038
