Species,WavelengthAir,OscillatorStrength,Gamma,GammaRef,v_comp,v_rad_init,v_rad_min,v_rad_max,b_comp,n_comp,b_init,b_min,b_max,n_init,w_min,w_max,weight,v_rad_fit,b_fit,n_fit,v_rad_err,b_err,n_err
TiII,3066.347,0.0489,250000000.0,10.0,0,25.661074895172373,24.661074895172373,26.661074895172373,0,0,3,0.1,6,200000000000.0,3065.5287413899055,3067.165258610095,1.0,25.62571018962771,4.535715601415238,250780300853.0113,0.03383511637486555,0.07857540000697111,3232168909.266774
TiII,3072.97,0.121,256000000.0,10.0,0,25.661074895172373,24.661074895172373,26.661074895172373,0,0,3,0.1,6,200000000000.0,3072.1499740339027,3073.790025966097,1.0,25.62571018962771,4.535715601415238,250780300853.0113,0.03383511637486555,0.07857540000697111,3232168909.266774
TiII,3229.199,0.0687,244000000.0,10.0,0,25.661074895172373,24.661074895172373,26.661074895172373,0,0,3,0.1,6,200000000000.0,3228.33728412588,3230.06071587412,1.0,25.62571018962771,4.535715601415238,250780300853.0113,0.03383511637486555,0.07857540000697111,3232168909.266774
TiII,3241.983,0.232,244000000.0,10.0,0,25.661074895172373,24.661074895172373,26.661074895172373,0,0,3,0.1,6,200000000000.0,3241.823884356617,3242.7932062384675,1.0,25.62571018962771,4.535715601415238,250780300853.0113,0.03383511637486555,0.07857540000697111,3232168909.266774
TiII,3383.7588,0.3586,175000000.0,10.0,0,25.661074895172373,24.661074895172373,26.661074895172373,0,0,3,0.1,6,200000000000.0,3383.734104489248,3384.340534691963,1.0,25.62571018962771,4.535715601415238,250780300853.0113,0.03383511637486555,0.07857540000697111,3232168909.266774
TiII,3066.347,0.0489,250000000.0,10.0,1,30.967484485047617,29.967484485047617,31.967484485047617,1,1,1,0.1,6,90000000000.0,3065.5287413899055,3067.165258610095,1.0,31.85516294158939,0.5664020586965528,65939974143.283554,0.03707394491107329,0.1466296754148959,2168186675.6558895
TiII,3072.97,0.121,256000000.0,10.0,1,30.967484485047617,29.967484485047617,31.967484485047617,1,1,1,0.1,6,90000000000.0,3072.1499740339027,3073.790025966097,1.0,31.85516294158939,0.5664020586965528,65939974143.283554,0.03707394491107329,0.1466296754148959,2168186675.6558895
TiII,3229.199,0.0687,244000000.0,10.0,1,30.967484485047617,29.967484485047617,31.967484485047617,1,1,1,0.1,6,90000000000.0,3228.33728412588,3230.06071587412,1.0,31.85516294158939,0.5664020586965528,65939974143.283554,0.03707394491107329,0.1466296754148959,2168186675.6558895
TiII,3241.983,0.232,244000000.0,10.0,1,30.967484485047617,29.967484485047617,31.967484485047617,1,1,1,0.1,6,90000000000.0,3241.823884356617,3242.7932062384675,1.0,31.85516294158939,0.5664020586965528,65939974143.283554,0.03707394491107329,0.1466296754148959,2168186675.6558895
TiII,3383.7588,0.3586,175000000.0,10.0,1,30.967484485047617,29.967484485047617,31.967484485047617,1,1,1,0.1,6,90000000000.0,3383.734104489248,3384.340534691963,1.0,31.85516294158939,0.5664020586965528,65939974143.283554,0.03707394491107329,0.1466296754148959,2168186675.6558895
