Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
HD 144470,3,5.405834889336495,0.065317967691544,1.208286398468989,95482974306.90382,846956890.107181,0.8870239917169636,-28.49316475384733,0.0432468060921232,0.15177958105297423,"(1, 100000000000.0, -29.31450978669125)",339855829.9913128,413953.5079065929,
,,3.664007861967225,0.0658722726955589,1.7978201788080153,65322050141.69451,734983351.2344689,1.125168836005861,-8.14131096988146,0.0405498006102651,0.4980745823403368,"(1, 100000000000.0, -8.633334309203645)",,,
,,2.7102016214263007,0.330051751299683,12.178125372310356,10846552439.22058,674888677.2016524,6.22214921269628,9.639985853170153,0.1794708031963333,1.861733055731752,"(1, 10000000000.0, 10.362451704791976)",,,
HD 147165,3,2.685446992100633,0.0380836833731231,1.4181506276291442,245395954900.67865,3281373016.0715027,1.3371748598706945,-5.544519373700024,0.0232175128062716,0.41874707691350094,"(2, 200000000000.0, -5.761191237855999)",13772179.05482745,20403.228229374,
,,5.999999996018659,0.3266261161593474,5.44376860626804,110137570694.7811,3975446060.506952,3.609527643862704,-14.484151131805536,0.1433647606377662,0.989804368465568,"(3, 50000000000.0, -15.48415112650815)",,,
,,3.585341585645609,0.1798891972708805,5.0173517076055125,48704416122.375496,1554807912.9749937,3.1923345699666297,-28.770530336915765,0.1048668503187024,0.3644939773117309,"(1, 20000000000.0, -27.9846472168089)",,,
HD 147683,5,3.253271772780892,0.097004808796531,2.9817616102085265,169073651940.20978,3989813238.29706,2.359807807137208,-0.5530674365125604,0.0395070441117598,7.143259845648601,"(3, 200000000000.0, -0.4789848712899348)",25312536.35161185,37723.60112013688,
,,5.030811454988467,0.215387559374437,4.2813681510735675,154204794168.15182,4882763967.668953,3.16641515201179,-10.304625450724824,0.0649277357820928,0.6300834134396005,"(3, 150000000000.0, -10.66545445489374)",,,
,,1.678820521550369,0.192433298022084,11.462410397769878,57676538646.926994,4125439527.4475446,7.152716900544009,-18.422174589521187,0.0730233169089069,0.3963881492603141,"(3, 70000000000.0, -18.655329570894576)",,,
,,3.510599671071368,0.2214331913899159,6.307560306992757,59256335851.68843,2857181213.1074395,4.821731165184808,-24.525414731058103,0.1617124720254152,0.6593669212069566,"(3, 40000000000.0, -23.898685115742424)",,,
,,2.4085381701221062,0.2503907369770078,10.395962998764254,30796266407.61481,1921851350.81015,6.240533593822091,7.004518761206266,0.1504127433571829,2.147367270828467,"(3, 30000000000.0, 6.063346569240563)",,,
HD 149757,3,3.1980958031302813,0.0279033909431968,0.8725001582468257,182043344156.8749,875599433.9197017,0.48098404145177565,-28.607175333361557,0.0150899132307435,0.05274870047426777,"(2, 150000000000.0, -28.587895167224023)",663857036.6107544,953817.5813372908,
,,3.273791306500518,0.0817911010092601,2.498360260376211,59974980129.37237,830608213.797325,1.384924533539845,-14.072743953196175,0.0431838736154635,0.30686178728957586,"(3, 50000000000.0, -13.551507449959209)",,,
,,0.9239986835862676,0.2456842654689693,26.589244101020558,23511325740.39479,893438040.399856,3.80003258967588,-21.55534052299946,0.0598516972735781,0.2776652830407229,"(2, 50000000000.0, -22.05743729273356)",,,
HD 166937,3,5.646706602026334,0.0347599052681331,0.6155783843215695,846339228741.5618,3647109847.736639,0.43092766161384216,-7.767305428086768,0.0205862918047451,0.26503775337975716,"(5, 750000000000.0, -8.332510388742504)",506785838.6045996,1296127.4644618914,
,,4.889582081432313,0.6582860580858371,13.463033182030237,50272446338.04475,4734419763.538444,9.417524127835351,-27.12431929718311,0.1107548519789609,0.4083230652371169,"(1, 20000000000.0, -28.124319297070592)",,,
,,2.0744508331659897,0.3280982062251616,15.816147627101095,53709193361.08166,4657899747.4229765,8.672444056473482,-18.3861513817588,0.1502800378123072,0.8173545115124118,"(1, 30000000000.0, -17.72894558317632)",,,
HD 170740,3,3.1377516005245965,0.0217973868882829,0.6946817232007347,292453530469.88806,1379559138.7331936,0.4717190920952952,-12.846548303290662,0.0144490257182611,0.11247399205715018,"(3, 300000000000.0, -12.986735514146329)",1144632274.9696074,1475041.5914556796,
,,3.5913001305625216,0.1007991115671836,2.8067582185450757,131784512671.23906,4288761750.547232,3.254374632963393,-21.53342540151657,0.0510776733565995,0.23720180326257875,"(2, 90000000000.0, -21.44467338702823)",,,
,,5.999998549737079,0.6708111987621324,11.18018934840455,25106410469.560696,3793581808.920386,15.110012693848724,-30.150984111903192,0.0262556588648291,0.08708060329766724,"(3, 20000000000.0, -31.150984107812697)",,,
HD 23180,2,3.675728766831,0.0312698770406151,0.8507123083397193,149820066587.79984,763303140.8696252,0.5094799103044736,11.41423206039423,0.0178153781115595,0.15608039171882918,"(3, 150000000000.0, 11.477605601488126)",1169945560.16303,1529340.6015203006,
,,2.6952034229102395,0.1632602771120485,6.0574380295110535,23002463043.13666,709496293.723983,3.084436185783497,21.22997767793072,0.0849067956656856,0.3999382239292182,"(3, 20000000000.0, 21.54276162094659)",,,
HD 24398,2,4.121477936227144,0.0367567839968606,0.8918350301908508,121738130026.31796,736816022.7965884,0.6052467067116111,12.479089731208674,0.0225450205962201,0.18066238068500914,"(1, 100000000000.0, 12.796840373478547)",319900993.979872,449931.0745145879,
,,3.410075767292371,0.1882285116388543,5.519775057323999,19443359003.052635,709584475.7612036,3.649495314311678,22.127101128056445,0.1133650354800776,0.5123356865592051,"(1, 10000000000.0, 22.445512148914005)",,,
