Sightline,No. of cloud,Width (b),Width error (+/-),Width error (%),Number Density (N),Number Density error (+/-),Number Density (%),Radial Velocity (V),Radial Velocity error (+/-),Radial Velocity error (%),"Initial values (b, N, V)",chisqr,redchi,Comment
HD 103779,4,5.639023617034604,,,978877369353.1456,,,-10.777610530663528,,,"(5, 900000000000.0, -11.777610530631318)",1235930524.8124955,1396531.6664547971,
,,5.999999999886419,,,782697791796.5355,,,4.467356728028037,,,"(5, 600000000000.0, 4.962711951389824)",,,
,,4.954957026170321,,,351193330645.7716,,,-20.658161791003725,,,"(3, 200000000000.0, -19.65816179104337)",,,
,,3.6590877890963287,,,40744843420.39054,,,-53.53773292618013,,,"(5, 60000000000.0, -54.537732926173845)",,,
HD 104705,6,5.430307171971661,,,803145712422.8745,,,-14.386719168010709,,,"(5, 600000000000.0, -13.386719168052068)",188810334.06000382,219546.9000697719,
,,4.938003556993039,,,494761704884.5004,,,-6.678609211302203,,,"(5, 500000000000.0, -7.67860921126968)",,,
,,5.999999999909016,,,798412441208.8828,,,4.175665869630647,,,"(5, 600000000000.0, 3.737610702254806)",,,
,,5.999999999909016,,,379472989273.09045,,,-24.987844601744406,,,"(5, 400000000000.0, -25.474481429409604)",,,
,,5.999999999909016,,,80763576020.14723,,,-39.58418426246224,,,"(3, 50000000000.0, -40.58418425613674)",,,
,,5.1326314614645545,,,36194107300.398445,,,17.84731352901571,,,"(5, 40000000000.0, 18.84731352898195)",,,
HD 109399,5,4.384273144112307,,,499628386469.2631,,,9.743142020446578,,,"(3, 400000000000.0, 9.286022658441205)",204789707.81558174,274517.0346053374,
,,3.7704177150955815,,,158507713146.2043,,,0.9998672945065812,,,"(5, 200000000000.0, 1.2534999488275882)",,,
,,5.999999999909016,,,328849325742.0633,,,-7.914975853765355,,,"(3, 200000000000.0, -6.914975853804086)",,,
,,5.999999999857157,,,599262939568.0718,,,-22.273358882092108,,,"(5, 500000000000.0, -22.57122114214117)",,,
,,3.907551845297553,,,34682258711.573975,,,21.22222901610913,,,"(5, 50000000000.0, 21.674689455366487)",,,
HD 110432,2,3.977653348114696,0.034911013456608,0.877678631124427,191638355484.72485,1350383833.834726,0.7046521717529364,5.765762512729052,0.0228500871435441,0.3963064224913539,"(3, 200000000000.0, 5.329789298931025)",51309783.06976202,94319.45417235665,
,,5.999999998198448,0.1142005509330971,1.9033425161231132,132067633824.89818,1484084852.8570158,1.1237309323075244,-5.842267560660987,0.0562582850739894,0.9629529029585289,"(5, 100000000000.0, -5.959326047055153)",,,
HD 111934,4,5.999999634023745,,,278888000401.4574,,,-22.64273344754303,,,"(3, 200000000000.0, -23.028217463628785)",16289066.444262657,28230.61775435469,
,,3.507898523683488,,,489072189390.35535,,,-14.492741247589088,,,"(3, 600000000000.0, -13.601622412533604)",,,
,,5.999999997960533,,,682534251488.4474,,,3.3917029262369778,,,"(5, 600000000000.0, 4.260596088907444)",,,
,,5.105065234838291,,,469395254875.8132,,,-8.495035566040748,,,"(3, 300000000000.0, -7.495035566072044)",,,
HD 112272,5,5.508043936382877,0.3903725479422832,7.087317248210627,321192305085.6302,40379644733.82967,12.57179704945435,-26.30077355189324,0.5382912212458932,2.0466744834854667,"(5, 300000000000.0, -26.28988752874938)",140003549.02899143,273979.5480019402,
,,4.508375336594218,0.2324854863564417,5.1567464773700324,539045041558.9459,42776265093.40423,7.93556415428534,-10.875866287490924,0.0417433352790994,0.3838161869193929,"(5, 600000000000.0, -11.875866286889227)",,,
,,4.977153608995473,0.0845634343526194,1.6990320371021588,574337657991.735,6917599691.083979,1.2044482187137948,1.8169846697813956,0.0355195118390684,1.954860292978796,"(5, 550000000000.0, 1.2564581137940607)",,,
,,3.0051079554018947,0.1059732612845109,3.5264377472368817,175162648437.08286,3929478921.1386,2.2433315299808565,12.466197042714663,0.061563702479859,0.4938450938077966,"(1, 150000000000.0, 13.149883986129248)",,,
,,4.341851505996877,0.5457170870992485,12.568764416413483,363951613450.4875,74167885131.58519,20.378501534428587,-18.47759630340972,0.2341968177461534,1.2674636565305653,"(4, 300000000000.0, -18.81369804575142)",,,
HD 113904,6,5.0,1.8429415741921649,36.858831483843296,50000000000.0,15956496486.846651,31.912992973693306,-52.7775697559814,1.3349559911287427,2.529400268524962,"(5, 50000000000.0, -52.7775697559814)",69491447807.98756,80616528.77956794,
,,5.0,0.6077943605862905,12.15588721172581,150000000000.0,15900517407.885742,10.600344938590494,-41.84972990318374,0.4449158301541443,1.0631271245559393,"(5, 150000000000.0, -41.84972990318374)",,,
,,3.0,0.4382977280970745,14.609924269902482,150000000000.0,33307852901.821392,22.205235267880926,-23.1162901554673,0.3106524273986411,1.343868005243773,"(3, 150000000000.0, -23.1162901554673)",,,
,,6.0,3.746141647615287e-12,6.243569412692146e-11,650000000000.0,47164339968.90712,7.256052302908787,-14.92041026586906,0.2082226704703213,1.3955559315057016,"(8, 650000000000.0, -14.92041026586906)",,,
,,6.0,1.879129691099903e-12,3.1318828184998385e-11,700000000000.0,23958746556.85653,3.422678079550933,-0.8703304551119477,0.1182445810478557,13.586170672683895,"(8, 700000000000.0, -0.8703304551119477)",,,
,,5.0,0.9204568161408824,18.40913632281765,80000000000.0,11303409818.80026,14.129262273500325,13.179749355645164,0.58907764676937,4.469566384561445,"(5, 80000000000.0, 13.179749355645164)",,,
HD 114886,3,5.999999999952876,0.0242834040248454,0.4047234004172688,1750145552403.3916,9123309311.923574,0.5212886036475634,39.3017316170445,0.5407797901435782,1.375969373087498,"(5, 1500000000000.0, 38.30173161709671)",224458154.60353774,395172.8074005946,
,,2.9628835842260224,0.2648042115572658,8.937381575403313,196738301067.49503,24064428759.78257,12.231694911061972,22.73103554695702,0.1285431626031504,0.565496289588788,"(3, 300000000000.0, 23.73103546752762)",,,
