Sightline,XSHOOTER spectra available?,EW5797/EW5780,EW5797/EW5780_err,EW5797,EW5797_err,EW5780,EW5780_err,TiII fit
HD 81188,No,1.040615545,,16.71784136,,16.06533886,,done
HD 54239,No,0.9335215903,,59.41571648,,63.64685841,,done
HD 23180,No,0.6971018431,0.04091970658,166.7469019,5.471681049,239.2002023,8.115768073,done
HD 210121,Yes,0.6292515602,,107.3978519,,170.6755433,,done
HD 185859,No,0.5580792602,0.05845471715,469.3284903,14.43299351,840.9710301,46.99222078,done
HD 161056,Yes,0.552689866,0.007531322424,381.2288499,5.09622014,689.7699296,1.007628788,done
HD 148184,No,0.5261111846,,146.2114125,,277.9097209,,done
HD 24398,No,0.5252075213,0.04178142456,148.7675275,0.06116177034,283.2547546,11.83462912,done
HD 23016,No,0.4671760545,0.03310943771,77.95267466,3.591742172,166.8593112,4.197712696,done
HD 34748,No,0.4636590434,0.1469528213,68.01852564,21.10901877,146.6994478,4.376331991,done
HD 203532,Yes,0.4454439495,0.02049738974,151.5798199,1.893903509,340.2893228,6.712998778,done
HD 154368,Yes,0.442623035,,275.2645016,,621.8937557,,done
HD 186841,No,0.4211728069,0.007755551496,634.4161397,9.117385261,1506.308407,7.303992573,done
HD 27778,No,0.4209438032,0.02910232745,98.32384572,4.865436905,233.5795063,4.747246354,done
HD 179406,No,0.40300318,,195.8430967,,485.9591845,,done
HD 149757,No,0.4021299905,0.02315027769,82.5466222,3.757648559,205.2734791,2.909105236,done
HD 186745,No,0.3976022411,0.006367699964,587.6339591,6.20688274,1477.944283,7.074144346,done
HD 63804,No,0.3943914852,0.009769117316,709.1344733,17.37418898,1798.047118,2.584277263,done
HD 164906,No,0.3820774588,0.03206030902,182.7251951,14.83441776,478.2412333,3.876531803,done
HD 114886,No,0.378134872,,414.718607,,1096.747848,,done
HD 22951,No,0.3727456472,,108.6728477,,291.5469264,,done
HD 172694,No,0.3714060715,0.1116073872,250.9271855,18.3004447,675.6141181,73.14906376,done
HD 168076,Yes,0.3703851697,0.007550096035,564.706727,10.90560534,1524.647241,3.684597589,done
HD 147889,Yes,0.3698840185,0.01498567238,394.6378173,5.076889788,1066.923137,15.16111011,done
HD 156201,No,0.3659863308,,349.3037487,,954.4174723,,done
HD 61827,No,0.3567010791,0.06403237442,421.7441825,39.35809002,1182.346248,64.67386089,done
HD 165319,Yes,0.3549239281,,549.4428483,,1548.058062,,done
HD 41117,No,0.3298189979,0.009427029075,334.3713461,1.505673477,1013.802565,9.437795928,done
HD 147084,No,0.3221258094,,151.6302701,,470.7175449,,excluded
HD 36861,No,0.3188967915,0.078377474,50.23306968,7.216813899,157.521402,10.01721083,done
HD 152248,Yes,0.3171599092,0.1005809609,215.5755674,68.35745848,679.7062336,1.048948811,done
HD 167264,No,0.3165899953,0.02762267486,219.2398905,3.853627782,692.5041654,18.73662744,done
HD 45314,No,0.3116166896,,173.3969773,,556.4431658,,done
HD 36982,Yes,0.2991217212,,137.3942937,,459.3256991,,done
HD 110432,Yes,0.2989136209,0.02318392767,116.1170946,2.335204124,388.4637114,8.69809874,done
HD 169454,No,0.298146519,0.003204839846,418.0993831,3.712404512,1402.328575,2.533028299,done
HD 80558,Yes,0.2971337601,0.01988054474,344.8920686,4.264283011,1160.729997,22.67851652,done
HD 166937,No,0.2857006888,,221.4988457,,775.2828551,,done
HD 185418,No,0.2811320625,0.01504398968,225.7234646,3.127166636,802.9090052,11.66713236,done
HD 112272,No,0.2793348767,0.008919017241,378.1970925,4.261600629,1353.920058,11.29866156,done
HD 91824,No,0.265405206,0.02708860041,107.2712694,5.668610627,404.1792209,9.366951344,done
HD 147683,Yes,0.2619219634,0.03608145489,91.51020288,6.552752187,349.3796461,10.76920842,done
HD 124314,No,0.2614921344,,256.6972453,,981.6633525,,done
HD 170938,No,0.2585961818,,351.9748722,,1361.098489,,done
HD 155806,No,0.258526235,,86.86091006,,335.9848956,,done
HD 167971,No,0.2567615255,,421.3155009,,1640.882528,,done
HD 170740,Yes,0.2561978142,0.02289938275,180.3727973,6.126775209,704.0372216,14.9124808,done
HD 37020,Yes,0.2460817597,0.1216001975,32.71867033,15.67143517,132.9585352,3.975344494,done
HD 183143,Yes,0.2424268163,0.0145057706,553.0772209,32.69628641,2281.419314,5.113592475,done
HD 99953,No,0.2396314826,,198.8628801,,829.8695893,,done
HD 149404,No,0.2391910154,0.1058463111,277.2853666,34.0860015,1159.263303,117.8743117,done
HD 180554,No,0.2390951455,,52.17693464,,218.2266584,,done
HD 171957,No,0.2381365902,,143.5401017,,602.7637399,,done
HD 152424,No,0.2343668536,,256.8735105,,1096.031741,,done
HD 94493,No,0.2309348044,0.04202517537,97.59818194,10.42420736,422.6222296,14.37988072,done
HD 147932,No,0.2293115562,,153.0083383,,667.250883,,done
HD 54662,Yes,0.2266922268,0.01463282844,135.2400859,0.6635582584,596.5801643,8.704399476,done
HD 167838,No,0.2220618301,0.01004506263,313.0013241,11.83819912,1409.523302,7.767061135,done
HD 111934,No,0.2180653587,0.004028007191,200.1831058,1.54655604,917.9959029,3.358735783,done
HD 79186,Yes,0.2165885138,0.01644227485,122.1521843,8.272702686,563.9827438,4.189734288,done
HD 164073,No,0.2161283345,,78.07627219,,361.2495898,,done
HD 147933,Yes,0.2119470656,0.03399694031,136.4655796,0.7217879129,643.8663316,21.87758182,done
HD 23466,Yes,0.2077301187,,39.51390122,,190.2174873,,done
