wno	int
32442.77905	-134.09349
32442.46434	-67.51989
32442.14544	-65.85172
32441.83074	-5.60533
32441.51606	-164.5464
32441.20138	-211.06084
32440.88355	-174.07935
32440.56888	-178.69686
32440.25422	-238.38508
32439.9364	-196.36227
32439.62175	-132.86777
32439.30711	-268.61624
32438.98932	-289.31816
32438.67469	-240.06338
32438.35901	-215.98929
32438.04439	-178.32318
32437.72662	-102.11274
32437.41201	-71.53738
32437.09741	-18.45762
32436.77966	112.92465
32436.46507	115.28839
32436.15049	61.82664
32435.83276	46.40212
32435.51819	-35.92283
32435.20363	-57.98435
32434.88907	-14.56234
32434.57031	-72.61606
32434.25576	-53.1661
32433.94122	24.60065
32433.62354	-25.095
32433.30901	-11.58068
32432.99449	112.46499
32432.67682	231.22866
32432.36231	124.85591
32432.04781	108.96031
32431.73015	64.90483
32431.41566	52.16043
32431.10013	-60.92847
32430.78565	87.47836
32430.46802	49.76307
32430.15356	-103.85317
32429.8391	-131.51717
32429.52149	-193.41571
32429.20704	-216.73953
32428.8926	-135.07643
32428.57501	64.87415
32428.26058	48.36501
32427.94616	106.64826
32427.63069	12.40384
32427.31312	4.02126
32426.99872	13.35178
32426.68432	9.54462
32426.36677	51.50912
32426.05239	105.28995
32425.73801	45.56091
32425.42048	-21.41892
32425.10611	-40.53116
32424.79175	-71.98208
32424.47424	-99.55334
32424.15884	-68.17364
32423.8445	-53.81788
32423.53016	-4.7406
32423.21267	-42.36638
32422.89835	60.88407
32422.58403	24.06142
32422.26656	-23.68882
32421.95226	-0.35578
32421.63795	74.61175
32421.32051	2.10168
32421.00622	121.71201
32420.69194	125.33079
32420.37661	85.31094
32420.05919	46.30985
32419.74492	111.15471
32419.43066	27.42677
32419.11326	89.05928
32418.79901	78.09117
32418.48477	90.6499
32418.16739	45.72432
32417.85316	45.07881
32417.53894	36.4015
32417.22157	100.509
32416.90631	78.96132
32416.59211	16.64778
32416.27791	44.43125
32415.96057	84.68876
32415.64638	19.37602
32415.33221	-0.17189
32415.01488	-27.12892
32414.70072	-59.05345
32414.38655	-138.82377
32414.06925	-122.2623
32413.7551	-68.96951
32413.44096	-19.03692
32413.12577	29.4363
32412.80849	15.45888
32412.49437	-6.40344
32412.18025	-54.69584
32411.86299	-52.59882
32411.54888	-139.5794
32411.23478	-65.10572
32410.91754	24.30102
32410.60345	53.70331
32410.28937	84.4798
32409.97215	122.32774
32409.65703	67.11355
32409.34297	-15.44804
32409.02891	83.20438
32408.71171	49.53318
32408.39766	3.90051
32408.08363	26.27551
32407.76644	34.57428
32407.45242	-41.91528
32407.1384	37.69965
32406.82123	38.178
32406.50723	56.99481
32406.19218	75.33
32405.87818	44.5541
32405.56104	-55.89201
32405.24706	52.57698
32404.93308	39.00456
32404.61596	71.28601
32404.302	88.65089
32403.98804	109.59215
32403.67093	20.54654
32403.35699	-44.10743
32403.04305	-101.00189
32402.72491	-135.5752
32402.41099	-117.82313
32402.09706	-108.35958
32401.78315	-154.89998
32401.46609	-147.90086
32401.15218	-98.09398
32400.83829	-129.75292
32400.52125	-107.91435
32400.20736	57.13823
32399.89348	48.93515
32399.57646	-2.38615
32399.26259	44.44566
32398.94768	54.49247
32398.63383	-62.72816
32398.31683	-34.11216
32398.00299	24.78417
32397.68915	-33.69059
32397.37217	-12.46423
32397.05835	29.89422
32396.74453	87.33772
32396.42757	54.82395
32396.11376	158.89854
32395.79996	169.62846
32395.48617	188.73156
32395.16818	87.70971
32394.8544	154.74836
32394.54063	100.00908
32394.22371	87.46416
32393.90994	101.9873
32393.59619	185.60895
32392.96554	75.99576
32392.6518	-132.9792
32392.33492	-82.75798
32392.0212	-212.83469
32391.70643	-199.47127
32391.39271	-257.91463
32391.07586	-135.30015
32390.76215	-169.58865
32390.44846	-94.65137
32390.13162	-76.48014
32389.81794	-3.22704
32389.50426	-10.55392
32389.18744	-36.88493
32388.87377	-0.62995
32388.56011	-73.83917
32388.24541	-50.98033
32387.92862	0.73399
32387.61498	114.84582
32387.30134	113.21927
32386.98456	131.50842
32386.67094	137.58295
32386.35732	77.2883
32386.04057	19.80816
32385.72696	53.53499
32385.41336	43.537
32385.09662	22.67316
32384.78199	72.69381
32384.46841	-1.12351
32384.15483	-60.5237
32383.83812	-26.11116
32383.52456	-32.72066
32383.211	-69.1535
32382.89431	-58.83803
32382.58076	-10.01383
32382.26722	-58.33368
32381.95055	-126.44604
32381.63702	-69.44737
32381.3235	-17.0834
32381.00894	-136.95626
32380.69229	-135.16674
32380.37879	8.21622
32380.06529	41.37278
32379.74866	46.44562
32379.43517	166.92327
32379.1217	231.1187
32378.80508	226.72001
32378.49162	171.14055
32378.17816	173.36551
32377.86156	151.64699
32377.54706	151.96285
32377.23362	47.72775
32376.92019	63.41438
32376.60362	37.72428
32376.2902	29.82289
32375.97678	-36.79286
32375.66022	-20.08032
32375.34682	-44.55339
32375.03342	-10.92945
32374.71689	-11.87975
32374.4035	18.27771
32374.09012	-7.98888
32373.7757	-12.76028
32373.45919	-24.29092
32373.14583	-20.89297
32372.83247	54.55217
32372.51598	88.46006
32372.20264	114.79309
32371.8893	92.9809
32371.57283	86.19442
32371.2595	21.32789
32370.94618	41.84289
32370.62973	72.99927
32370.31537	81.90214
32370.00207	67.79781
32369.68878	45.33189
32369.37235	18.76767
32369.05906	-49.10354
32368.74579	-27.25396
32368.42937	-41.99044
32368.11611	-5.55667
32367.80285	25.67182
32367.48646	21.90104
32367.17321	8.82165
32366.85893	-26.13182
32366.54569	-52.18099
32366.22932	-62.30983
32365.9161	-15.14087
32365.60289	-52.29217
32365.28653	29.84527
32364.97333	27.00915
32364.66013	62.88925
32364.3438	48.68689
32364.03062	95.05072
32363.71744	37.3128
32363.40008	52.26111
32363.08691	27.54373
32362.77375	-6.41823
32362.46059	11.7522
32362.1443	59.29159
32361.83116	8.88239
32361.51803	-4.97691
32361.20175	1.65526
32360.88863	-71.73457
32360.57551	-94.03523
32360.25926	-48.97794
32359.94615	-50.7568
32359.63201	16.45985
32359.31891	82.23905
32359.00268	73.0381
32358.6896	94.95404
32358.37653	133.17515
32358.06032	62.16371
32357.74725	115.66802
32357.4342	98.65398
32357.118	82.20304
32356.80496	68.27005
32356.49192	106.93436
32356.17889	9.39755
32355.86167	40.82487
32355.54865	115.41311
32355.23564	83.50468
32354.91949	-10.35671
32354.60649	-39.12607
32354.29349	-37.51145
32353.97736	-85.65023
32353.66438	-82.02189
32353.3514	3.08858
32353.03529	71.59685
32352.72232	90.75344
32352.40831	8.72512
32352.09536	20.426
32351.77927	6.60503
32351.46633	16.1801
32351.15339	-6.92617
32350.83733	36.41733
32350.5244	53.23757
32350.21148	36.66909
32349.89543	15.71117
32349.58253	55.82059
32349.26963	81.6121
32348.95569	44.65066
32348.63966	129.42329
32348.32678	149.65958
32348.01391	146.41746
32347.6979	195.2862
32347.38504	197.30516
32347.07218	98.50723
32346.75619	155.20848
32346.44335	177.08458
32346.13051	90.9278
32345.81454	67.32382
32345.50066	63.60477
32345.18784	1.08651
32344.87503	-65.3071
32344.55908	-13.18133
32344.24628	68.19769
32343.93349	92.48214
32343.61756	66.10576
32343.30477	136.72892
32342.992	73.01083
32342.67609	-1.5238
32342.36332	21.35667
32342.05056	67.73628
32341.73676	-27.76326
32341.42088	7.71081
32341.10814	81.20267
32340.7954	23.67179
32340.47953	38.82048
32340.16681	35.43277
32339.85409	59.55862
32339.53825	4.33573
32339.22554	32.16198
32338.91284	-17.31174
32338.59701	62.67575
32338.28328	-0.13669
32337.9706	62.43324
32337.65792	80.13085
32337.34212	-8.23179
32337.02946	-49.01169
32336.7168	-27.54683
32336.40101	-46.76264
32336.08837	-17.23967
32335.77573	40.84527
32335.45996	101.86256
32335.14734	125.26188
32334.83472	102.77962
32334.52106	42.22612
32334.20531	71.32031
32333.89271	43.50778
32333.58011	39.38598
32333.26439	13.5749
32332.9518	-4.57883
32332.63923	-25.69321
32332.32352	-1.34281
32332.01095	5.5657
32331.69839	18.24608
32331.38271	93.28445
32331.06911	145.53998
32330.75657	143.68184
32330.44404	79.06437
32330.12837	95.34167
32329.81585	91.71714
32329.50333	67.02386
32329.18769	2.07948
32328.87518	80.38513
32328.56268	75.07973
32328.24705	18.59105
32327.93457	-57.69386
32327.62104	-6.46649
