wno	int
26939.91393	336.7034
26940.34848	324.6389
26940.78304	313.1498
26941.21761	312.56554
26941.6522	318.8282
26942.0868	330.30969
26942.52141	328.1475
26942.95604	326.27768
26943.39069	324.8261
26943.82534	324.39362
26944.26001	332.71139
26944.6947	327.7683
26945.1294	318.2516
26945.56411	314.4877
26945.99884	318.08387
26946.43358	338.7565
26946.86834	353.94545
26947.30311	357.0624
26947.73789	342.07694
26948.17269	342.72646
26948.6075	343.0674
26949.04233	335.87752
26949.47717	334.6851
26949.91202	318.0449
26950.34689	314.48423
26950.78177	326.2129
26951.21667	345.81485
26951.65158	340.9812
26952.0865	327.7866
26952.52144	317.32133
26952.9564	335.7308
26953.39136	355.25231
26953.82634	346.2906
26954.26134	319.8164
26954.69635	316.3239
26955.13137	317.05303
26955.56641	319.8196
26956.00146	329.63547
26956.43652	324.07731
26956.8716	323.2216
26957.3067	349.6386
26957.7418	363.97939
26958.17693	356.2787
26958.61206	336.0576
26959.04721	332.0157
26959.48238	331.55947
26959.91755	332.97481
26960.35275	324.5785
26960.78795	315.55683
26961.22317	337.2317
26961.65841	339.6898
26962.09366	360.09863
26962.52892	331.2395
26962.96419	324.51025
26963.39949	331.70912
26963.83479	337.67404
26964.27011	342.58127
26964.70544	333.5937
26965.14079	332.1754
26965.57615	323.25395
26966.01153	336.7791
26966.44692	349.32311
26966.88232	340.8801
26967.31774	335.2231
26967.75317	338.92863
26968.18861	355.6858
26968.62407	358.06055
26969.05955	351.60058
26969.49504	351.84335
26969.93054	356.76513
26970.36605	375.7674
26970.80158	376.86353
26971.23713	368.53413
26971.67269	382.3875
26972.10826	390.3564
26972.54385	446.5507
26972.97945	389.8299
26973.41506	354.59837
26973.85069	345.4231
26974.28634	380.22018
26974.72199	377.7857
26975.15766	349.0844
26975.59335	347.68303
26976.02905	350.7313
26976.46476	358.88463
26976.90049	362.56519
26977.33623	388.7664
26977.77199	322.4821
26978.20776	336.9937
26978.64354	340.2857
26979.07934	357.8426
26979.51516	353.92832
26979.95098	336.64857
26980.38682	330.6948
26980.82268	331.6879
26981.25855	340.47343
26981.69443	333.2429
26982.13033	318.68021
26982.56624	331.4534
26983.00216	333.9029
26983.4381	348.47983
26983.87406	326.9211
26984.31003	326.0789
26984.74601	327.45607
26985.182	331.68351
26985.61801	332.82961
26986.05404	332.90354
26986.49008	331.3182
26986.92613	326.68948
26987.3622	335.73558
26987.79828	332.5223
26988.23437	320.9236
26988.67048	312.78243
26989.10661	311.9546
26989.54274	315.0105
26989.97889	327.39154
26990.41506	329.2823
26990.85124	324.74903
26991.28743	324.3169
26991.72364	343.5569
26992.15986	342.62659
26992.5961	336.45922
26993.03235	333.39351
26993.46862	330.3784
26993.9049	317.0356
26994.34119	321.5867
26994.7775	332.03288
26995.21382	326.71337
26995.65015	325.1497
26996.0865	339.4008
26996.52287	339.16643
26996.95924	330.66988
26997.39564	329.01717
26997.83204	327.67446
26998.26846	329.3024
26998.7049	343.16784
26999.14134	328.87911
26999.57781	322.36362
27000.01428	317.3425
27000.45078	320.60085
27000.88728	335.01045
27001.3238	321.2874
27001.76033	316.1101
27002.19688	328.0112
27002.63344	339.81537
27003.07002	318.697
27003.50661	317.85436
27003.94321	317.90427
27004.37983	313.5699
27004.81646	363.9449
27005.25311	338.8177
27005.68977	320.91345
27006.12645	332.0713
27006.56314	341.6693
27006.99984	357.6325
27007.43656	379.2445
27007.87329	328.9933
27008.31003	324.09627
27008.74679	330.0633
27009.18357	356.26363
27009.62036	356.4713
27010.05716	344.98647
27010.49398	348.6894
27010.93081	351.2697
27011.36765	356.24022
27011.80451	368.90365
27012.24138	362.2544
27012.67827	366.6242
27013.11517	384.04613
27013.55209	380.33378
27013.98902	371.6568
27014.42596	367.03808
27014.86292	374.04817
27015.29989	369.09796
27015.73688	393.2436
27016.17388	396.4222
27016.6109	362.6482
27017.04793	344.7886
27017.48497	346.04564
27017.92203	359.4198
27018.3591	356.23462
27018.79618	337.4642
27019.23328	333.38317
27019.6704	336.0339
27020.10753	363.77436
27020.54467	359.8122
27020.98183	337.1807
27021.419	336.95095
27021.85618	349.4826
27022.29338	350.47021
27022.7306	327.6256
27023.16782	331.64796
27023.60507	343.2072
27024.04232	353.82235
27024.47959	374.36229
27024.91688	376.06036
27025.35417	375.5733
27025.79149	387.91129
27026.22881	387.7574
27026.66616	454.6295
27027.10351	429.44101
27027.54088	423.68003
27027.97827	412.62625
27028.41566	418.30562
27028.85308	422.02553
27029.2905	434.23478
27029.72794	438.8031
27030.1654	393.3849
27030.60287	389.88555
27031.04035	399.5817
27031.47785	394.31065
27031.91536	366.855
27032.35288	348.6417
27032.79042	351.51565
27033.22798	353.42167
27033.66555	337.71518
27034.10313	339.03949
27034.54073	343.72621
27034.97834	352.96589
27035.41596	351.3468
27035.8536	335.13363
27036.29126	327.38021
27036.72892	326.46385
27037.16661	347.13585
27037.6043	349.2346
27038.04201	341.67484
27038.47974	341.82648
27038.91748	338.69287
27039.35523	338.41994
27039.793	339.9913
27040.23078	357.72179
27040.66857	358.72261
27041.10638	359.89869
27041.54421	355.4194
27041.98205	355.59864
27042.4199	372.69342
27042.85777	373.39469
27043.29565	372.3343
27043.73354	370.7582
27044.17145	365.03214
27044.60937	356.94155
27045.04731	344.55394
27045.48526	365.8061
27045.92323	367.6785
27046.36121	389.2901
27046.79921	393.56019
27047.23722	389.5683
27047.67524	376.47704
27048.11328	382.4598
27048.55133	400.2363
27048.98939	404.07136
27049.42747	403.21033
27049.86557	402.31214
27050.30368	372.7303
27050.7418	427.8851
27051.17994	445.5259
27051.61809	387.809
27052.05625	396.06093
27052.49443	390.60182
27052.93263	405.60961
27053.37084	402.3203
27053.80906	462.3492
27054.24729	427.19136
27054.68555	414.94972
27055.12381	384.3181
27055.56209	447.3745
27056.00038	465.8071
27056.43869	470.0339
27056.87701	455.04
27057.31535	413.2607
27057.7537	573.3861
27058.19207	572.09957
27058.63044	570.19505
27059.06884	535.7664
27059.50725	610.866
27059.94567	604.8446
27060.3841	662.3094
