wno	int
23909.52342	147.63391
23909.6378	151.52782
23909.75219	142.85055
23909.86657	151.76882
23909.98095	141.41518
23910.09534	148.48536
23910.20972	144.90336
23910.32411	142.77645
23910.4385	147.365
23910.55289	147.34036
23910.66728	143.79673
23910.78167	146.78245
23910.89606	149.49527
23911.01046	147.96755
23911.12485	147.07782
23911.23925	144.53573
23911.35365	146.53255
23911.46804	142.44745
23911.58244	145.08155
23911.69684	147.87491
23911.81125	147.14055
23911.92565	148.83264
23912.04005	146.48827
23912.15446	148.72955
23912.26886	150.64045
23912.38327	148.831
23912.49768	142.24245
23912.61209	142.49882
23912.7265	151.18227
23912.84091	147.97591
23912.95532	148.21145
23913.06974	144.39118
23913.18415	144.94964
23913.29857	144.52682
23913.41298	141.41855
23913.5274	143.49127
23913.64182	144.97473
23913.75624	143.84518
23913.87066	146.33927
23913.98508	145.46345
23914.09951	138.49236
23914.21393	145.88891
23914.32836	150.21
23914.44278	144.54036
23914.55721	146.32764
23914.67164	150.43782
23914.78607	142.37382
23914.9005	138.18827
23915.01493	146.02736
23915.12937	151.01518
23915.2438	145.75473
23915.35824	146.14927
23915.47267	143.17536
23915.58711	143.16764
23915.70155	146.65891
23915.81599	145.73609
23915.93043	148.32645
23916.04487	146.98009
23916.15932	150.45236
23916.27376	148.64
23916.38821	140.61545
23916.50265	144.83709
23916.6171	148.03373
23916.73155	150.76618
23916.846	149.62527
23916.96045	151.03845
23917.0749	137.84927
23917.18935	139.53582
23917.30381	148.12555
23917.41826	148.66836
23917.53272	154.8
23917.64718	142.91655
23917.76163	148.39136
23917.87609	148.65673
23917.99055	149.69736
23918.10502	151.75727
23918.21948	149.39373
23918.33394	147.35909
23918.44841	145.04736
23918.56287	150.71509
23918.67734	145.32655
23918.79181	152.57291
23918.90628	149.78391
23919.02075	152.45164
23919.13522	144.20827
23919.24969	150.23991
23919.36417	155.73555
23919.47864	153.04682
23919.59312	150.46036
23919.7076	152.67336
23919.82207	149.23273
23919.93655	156.118
23920.05103	153.72955
23920.16552	154.26809
23920.28	148.82045
23920.39448	151.78118
23920.50897	148.85009
23920.62345	156.29336
23920.73794	155.49745
23920.85243	158.44855
23920.96692	154.90782
23921.08141	154.92136
23921.1959	157.29073
23921.31039	150.22118
23921.42488	157.22227
23921.53938	149.88473
23921.65387	151.73545
23921.76837	152.219
23921.88287	152.647
23921.99737	150.80182
23922.11187	150.08627
23922.22637	154.15073
23922.34087	155.29018
23922.45538	156.992
23922.56988	151.03364
23922.68439	160.40991
23922.79889	152.50082
23922.9134	161.36518
23923.02791	152.61064
23923.14242	151.87791
23923.25693	152.326
23923.37144	148.19964
23923.48596	153.51182
23923.60047	156.30282
23923.71499	153.31455
23923.8295	151.98382
23923.94402	150.15991
23924.05854	153.03664
23924.17306	157.00918
23924.28758	154.25064
23924.4021	149.11355
23924.51662	157.94318
23924.63115	154.81745
23924.74567	156.11327
23924.8602	151.12491
23924.97473	155.14636
23925.08926	148.15973
23925.20379	149.29836
23925.31832	151.02364
23925.43285	153.76945
23925.54738	152.52482
23925.66192	154.16509
23925.77645	154.29418
23925.89099	150.91009
23926.00553	150.327
23926.12006	148.93573
23926.2346	153.20973
23926.34914	158.55245
23926.46369	149.62764
23926.57823	153.42845
23926.69277	152.293
23926.80732	147.32745
23926.92186	153.15936
23927.03641	157.02182
23927.15096	156.39445
23927.26551	150.76964
23927.38006	151.151
23927.49461	149.60909
23927.60916	152.00173
23927.72372	150.16291
23927.83827	147.12064
23927.95283	155.33855
23928.06739	151.83018
23928.18194	155.73109
23928.2965	155.10827
23928.41106	149.74736
23928.52563	152.56182
23928.64019	148.41127
23928.75475	148.15309
23928.86932	148.19209
23928.98388	155.45255
23929.09845	146.56064
23929.21302	150.19291
23929.32759	148.14782
23929.44216	151.22173
23929.55673	148.37982
23929.6713	142.93682
23929.78587	146.75045
23929.90045	156.20473
23930.01503	152.76509
23930.1296	148.81709
23930.24418	148.07273
23930.35876	150.502
23930.47334	148.04264
23930.58792	152.33609
23930.7025	152.80436
23930.81709	146.42982
23930.93167	146.28436
23931.04626	147.97336
23931.16084	143.89818
23931.27543	146.99127
23931.39002	151.76
23931.50461	150.73564
23931.6192	147.30982
23931.73379	153.06373
23931.84839	150.46527
23931.96298	152.41509
23932.07758	150.06064
23932.19217	150.22809
23932.30677	147.93018
23932.42137	149.88873
23932.53597	152.60045
23932.65057	154.52709
23932.76517	151.84936
23932.87978	146.54064
23932.99438	149.92527
23933.10899	150.51364
23933.22359	143.50864
23933.3382	147.54645
23933.45281	150.73745
23933.56742	147.50609
23933.68203	153.40827
23933.79664	149.46591
23933.91126	155.36991
23934.02587	149.51964
23934.14049	151.37873
23934.2551	151.14455
23934.36972	151.503
23934.48434	153.00182
23934.59896	153.66291
23934.71358	150.46073
23934.8282	148.32736
23934.94282	152.58736
23935.05745	152.01436
23935.17207	147.52773
23935.2867	145.64545
23935.40133	150.97127
23935.51595	143.23309
23935.63058	154.90127
23935.74521	145.08073
23935.85985	151.71
23935.97448	150.893
23936.08911	146.90345
23936.20375	150.56127
23936.31838	146.00618
23936.43302	146.20836
23936.54766	150.027
23936.6623	148.09436
23936.77694	147.05573
23936.89158	155.16427
23937.00623	151.62109
23937.12087	148.313
23937.23551	153.16764
23937.35016	149.20836
23937.46481	152.88391
23937.57946	147.886
23937.6941	147.62636
23937.80876	155.49955
23937.92341	153.57845
23938.03806	147.42718
23938.15271	144.61282
23938.26737	149.11536
23938.38202	150.24173
23938.49668	145.64209
23938.61134	147.44818
23938.726	150.52655
23938.84066	150.38645
23938.95532	148.53236
23939.06998	147.59264
23939.18465	152.15527
23939.29931	152.48873
23939.41398	153.65836
23939.52864	149.51773
23939.64331	145.81327
23939.75798	148.12236
23939.87265	153.22255
23939.98732	149.68909
23940.102	145.82173
23940.21667	148.91564
23940.33134	148.13973
23940.44602	150.25173
23940.5607	148.41673
23940.67537	148.75509
23940.79005	160.98236
23940.90473	147.48264
23941.01941	173.87409
23941.1341	149.30355
23941.24878	147.84909
23941.36346	153.97773
23941.47815	150.05127
23941.59284	158.59291
23941.70752	148.56318
23941.82221	152.77464
23941.9369	147.29009
23942.05159	151.07845
23942.16629	147.71455
23942.28098	146.93427
23942.39567	151.194
23942.51037	151.44736
23942.62507	148.96827
23942.73976	148.422
23942.85446	146.66536
23942.96916	144.72509
23943.08386	150.14836
23943.19857	148.25909
23943.31327	151.60418
23943.42797	146.80336
23943.54268	164.46073
23943.65739	155.44345
23943.77209	152.13845
23943.8868	147.96445
23944.00151	150.732
23944.11622	148.33336
23944.23093	153.01591
23944.34565	155.05973
23944.46036	154.63018
23944.57508	155.17245
23944.68979	150.355
23944.80451	153.02282
23944.91923	146.02273
23945.03395	148.38382
23945.14867	149.79245
23945.26339	149.033
23945.37812	148.52827
23945.49284	150.19309
23945.60756	151.67255
23945.72229	148.56291
23945.83702	155.59718
23945.95175	150.32836
23946.06648	148.85973
23946.18121	145.67882
23946.29594	151.26955
23946.41067	152.87745
23946.52541	149.51682
23946.64014	150.52773
23946.75488	152.47391
23946.86961	148.44309
23946.98435	153.68918
23947.09909	150.14709
23947.21383	149.41209
23947.32857	148.89445
23947.44332	158.78355
23947.55806	149.04755
23947.67281	149.29982
23947.78755	150.13536
23947.9023	156.429
23948.01705	150.10055
23948.1318	156.49736
23948.24655	150.36582
23948.3613	149.41873
23948.47605	151.97273
23948.59081	149.28891
23948.70556	151.57636
23948.82032	150.31136
23948.93507	150.48527
23949.04983	147.87809
23949.16459	149.52909
23949.27935	149.63609
23949.39411	148.97118
23949.50888	151.91127
23949.62364	146.889
23949.7384	148.11173
