Objects,Date,Data file name
HD 186745,2015-09-20,/HD186745/RED_564/HD186745_w564_redl_20150920_O3.fits
HD 186841,2016-09-09,/HD186841/BLUE_437/HD186841_w437_blue_20160909_O25.fits
HD 148184,2018-06-23,/HD148184/RED_564/HD148184_w564_redl_20180623_O3.fits
HD 179406,2018-07-15,/HD179406/RED_564/HD179406_w564_redl_20180715_O3.fits
HD 147889,2016-08-07,/HD147889/BLUE_437/HD147889_w437_blue_20160807_O25.fits
HD 147888,2014-09-26,/HD147888/BLUE_437/HD147888_w437_blue_20140926_O25.fits
HD 23180,2014-10-29,/HD23180/RED_564/HD23180_w564_redl_20141029_O3.fits
HD 203532,2016-07-24,/HD203532/RED_564/HD203532_w564_redl_20160724_O3.fits
HD 63804,2019-02-03,/HD63804/RED_564/HD63804_w564_redl_20190204_O3.fits
HD 61827,2018-03-17,/HD61827/BLUE_437/HD61827_w437_blue_20180317_O25.fits
HD 161056,2017-06-15,/HD161056/RED_564/HD161056_w564_redl_20170615_O3.fits
HD 171957,2016-06-13,/HD171957/RED_564/HD171957_w564_redl_20160613_O3.fits
HD 147933,2017-05-08,/HD147933/RED_564/HD147933_w564_redl_20170508_O3.fits
