    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  33  7  7 Ground  34  1  4  15118.2913323125     -               7.34007040174655E-6 0.0000 : rP12A2g(34) : Excited v=1 33 13      A2u - Ground v=0 34 12 A2g
SymmetricTop Excited  33  6  7 Ground  34  0  4  15118.2913323125     -               7.34007040174655E-6 0.0000 : rP12A1g(34) : Excited v=1 33 13      A1u - Ground v=0 34 12 A1g
SymmetricTop Excited  34  9  9 Ground  35  3  5  15118.2937953        -               7.32925023606296E-6 0.0000 : rP9B2g(35) : Excited v=1 34 10      B2u - Ground v=0 35  9 B2g
SymmetricTop Excited  34  8  9 Ground  35  2  5  15118.2937953        -               7.32925023606296E-6 0.0000 : rP9B1g(35) : Excited v=1 34 10      B1u - Ground v=0 35  9 B1g
SymmetricTop Excited  35  6 10 Ground  36  0  6  15118.2973965225     -               7.12048606814959E-6 0.0000 : rP6A1g(36) : Excited v=1 35  7      A1u - Ground v=0 36  6 A1g
SymmetricTop Excited  35  7 10 Ground  36  1  6  15118.2973965225     -               7.12048606814959E-6 0.0000 : rP6A2g(36) : Excited v=1 35  7      A2u - Ground v=0 36  6 A2g
SymmetricTop Excited  32  9  6 Ground  33  3  4  15118.29000756       -               7.00598437526275E-6 0.0000 : rP15B2g(33) : Excited v=1 32 16      B2u - Ground v=0 33 15 B2g
SymmetricTop Excited  32  8  6 Ground  33  2  4  15118.29000756       -               7.00598437526275E-6 0.0000 : rP15B1g(33) : Excited v=1 32 16      B1u - Ground v=0 33 15 B1g
SymmetricTop Excited  34 11 16 Ground  35  5  9  15118.2763726525     -               6.96717521179167E-6 0.0000 : rP10(35) : Excited v=1 34 11      E2u - Ground v=0 35 10 E2g
SymmetricTop Excited  33 10 13 Ground  34  4  7  15118.27439748       -               6.93579228674416E-6 0.0000 : rP13(34) : Excited v=1 33 14      E1u - Ground v=0 34 13 E1g
SymmetricTop Excited  36  7 12 Ground  37  1  7  15118.3583064425     -               1.59610605465978E-5 0.0000 : rP0(37) : Excited v=1 36  1      A2u - Ground v=0 37  0 A2g
SymmetricTop Excited  33 10 17 Ground  34  4  9  15118.37844555       -               9.62939312027682E-6 0.0000 : rP7(34) : Excited v=1 33  8      E1u - Ground v=0 34  7 E1g
SymmetricTop Excited  32 11 14 Ground  33  5  8  15118.3746817225     -               9.54894878783109E-6 0.0000 : rP10(33) : Excited v=1 32 11      E2u - Ground v=0 33 10 E2g
SymmetricTop Excited  34 11 20 Ground  35  5 11  15118.3833476125     -               9.48372478687628E-6 0.0000 : rP4(35) : Excited v=1 34  5      E2u - Ground v=0 35  4 E2g
SymmetricTop Excited  33 11 18 Ground  34  5 10  15118.3606976925     -               9.12532381626744E-6 0.0000 : rP8(34) : Excited v=1 33  9      E2u - Ground v=0 34  8 E2g
SymmetricTop Excited  31 10 12 Ground  32  4  7  15118.37205613       -               9.08186331707773E-6 0.0000 : rP13(32) : Excited v=1 31 14      E1u - Ground v=0 32 13 E1g
SymmetricTop Excited  34 10 20 Ground  35  4 11  15118.36511194       -               8.99620037958647E-6 0.0000 : rP5(35) : Excited v=1 34  6      E1u - Ground v=0 35  5 E1g
SymmetricTop Excited  30  9  5 Ground  31  3  3  15118.38701579       -               8.74403771492681E-6 0.0000 : rP15B2g(31) : Excited v=1 30 16      B2u - Ground v=0 31 15 B2g
SymmetricTop Excited  30  8  5 Ground  31  2  3  15118.38701579       -               8.74403771492681E-6 0.0000 : rP15B1g(31) : Excited v=1 30 16      B1u - Ground v=0 31 15 B1g
SymmetricTop Excited  35 11 23 Ground  36  5 12  15118.3706644225     -               8.73964750295784E-6 0.0000 : rP2(36) : Excited v=1 35  3      E2u - Ground v=0 36  2 E2g
SymmetricTop Excited  34  7 11 Ground  35  1  6  15118.4579163525     -               2.36770879070076E-5 0.0000 : rP0(35) : Excited v=1 34  1      A2u - Ground v=0 35  0 A2g
