    a         b   Jprime  c  d   e     J   f  g    position           h                    strength         i    l   label     m    n   o    p Kprime     q   r  s    t    u  K  v
SymmetricTop Excited  79  6 27 Ground  80  0 14  15118.228713207      -               3.48903153271853E-6 0.0000 : rP0(80) : Excited v=1 79  1      A1u - Ground v=0 80  0 A1g
SymmetricTop Excited  80  7 27 Ground  81  1 14  15118.203409367      -               3.1674644298617E-6  0.0000 : rP0(81) : Excited v=1 80  1      A2u - Ground v=0 81  0 A2g
SymmetricTop Excited  72 10 36 Ground  73  4 19  15118.231617656      -               2.02328811654591E-6 0.0000 : rP19(73) : Excited v=1 72 20      E1u - Ground v=0 73 19 E1g
SymmetricTop Excited  71 11 33 Ground  72  5 17  15118.230440535      -               2.01989733728052E-6 0.0000 : rP22(72) : Excited v=1 71 23      E2u - Ground v=0 72 22 E2g
SymmetricTop Excited  73 11 38 Ground  74  5 20  15118.233073195      -               2.01394642602552E-6 0.0000 : rP16(74) : Excited v=1 73 17      E2u - Ground v=0 74 16 E2g
SymmetricTop Excited  70 10 30 Ground  71  4 16  15118.229541832      -               2.00005999191829E-6 0.0000 : rP25(71) : Excited v=1 70 26      E1u - Ground v=0 71 25 E1g
SymmetricTop Excited  72 11 35 Ground  73  5 18  15118.222963023      -               1.97414758153308E-6 0.0000 : rP20(73) : Excited v=1 72 21      E2u - Ground v=0 73 20 E2g
SymmetricTop Excited  71 10 32 Ground  72  4 17  15118.221905224      -               1.96875487666453E-6 0.0000 : rP23(72) : Excited v=1 71 24      E1u - Ground v=0 72 23 E1g
SymmetricTop Excited  73 10 38 Ground  74  4 20  15118.22429924       -               1.96626221163773E-6 0.0000 : rP17(74) : Excited v=1 73 18      E1u - Ground v=0 74 17 E1g
SymmetricTop Excited  69 11 28 Ground  70  5 15  15118.228921547      -               1.95953046446108E-6 0.0000 : rP28(70) : Excited v=1 69 29      E2u - Ground v=0 70 28 E2g
SymmetricTop Excited  74 11 40 Ground  75  5 21  15118.225913875      -               1.9483531077946E-6  0.0000 : rP14(75) : Excited v=1 74 15      E2u - Ground v=0 75 14 E2g
SymmetricTop Excited  70 11 30 Ground  71  5 16  15118.221125843      -               1.94629111542819E-6 0.0000 : rP26(71) : Excited v=1 70 27      E2u - Ground v=0 71 26 E2g
SymmetricTop Excited  72  8 17 Ground  73  2  9  15118.214348164      -               1.92610147015103E-6 0.0000 : rP21B1g(73) : Excited v=1 72 22      B1u - Ground v=0 73 21 B1g
SymmetricTop Excited  72  9 17 Ground  73  3  9  15118.214348164      -               1.92610147015103E-6 0.0000 : rP21B2g(73) : Excited v=1 72 22      B2u - Ground v=0 73 21 B2g
SymmetricTop Excited  75 10 43 Ground  76  4 22  15118.227806928      -               1.92316139011933E-6 0.0000 : rP11(76) : Excited v=1 75 12      E1u - Ground v=0 76 11 E1g
SymmetricTop Excited  73  7 19 Ground  74  1 10  15118.215565059      -               1.91979869071095E-6 0.0000 : rP18A2g(74) : Excited v=1 73 19      A2u - Ground v=0 74 18 A2g
SymmetricTop Excited  73  6 19 Ground  74  0 10  15118.215565059      -               1.91979869071095E-6 0.0000 : rP18A1g(74) : Excited v=1 73 19      A1u - Ground v=0 74 18 A1g
SymmetricTop Excited  71  7 16 Ground  72  1  9  15118.213409687      -               1.91856925447432E-6 0.0000 : rP24A2g(72) : Excited v=1 71 25      A2u - Ground v=0 72 24 A2g
SymmetricTop Excited  71  6 16 Ground  72  0  9  15118.213409687      -               1.91856925447432E-6 0.0000 : rP24A1g(72) : Excited v=1 71 25      A1u - Ground v=0 72 24 A1g
SymmetricTop Excited  74  9 20 Ground  75  3 11  15118.217060372      -               1.90299415371867E-6 0.0000 : rP15B2g(75) : Excited v=1 74 16      B2u - Ground v=0 75 15 B2g
SymmetricTop Excited  74  8 20 Ground  75  2 11  15118.217060372      -               1.90299415371867E-6 0.0000 : rP15B1g(75) : Excited v=1 74 16      B1u - Ground v=0 75 15 B1g
SymmetricTop Excited  69 10 27 Ground  70  4 14  15118.22062488       -               1.90244219214302E-6 0.0000 : rP29(70) : Excited v=1 69 30      E1u - Ground v=0 70 29 E1g
SymmetricTop Excited  68 10 25 Ground  69  4 13  15118.22857968       -               1.89360590509346E-6 0.0000 : rP31(69) : Excited v=1 68 32      E1u - Ground v=0 69 31 E1g
SymmetricTop Excited  70  8 15 Ground  71  2  8  15118.212749628      -               1.89333129437601E-6 0.0000 : rP27B1g(71) : Excited v=1 70 28      B1u - Ground v=0 71 27 B1g
SymmetricTop Excited  70  9 15 Ground  71  3  8  15118.212749628      -               1.89333129437601E-6 0.0000 : rP27B2g(71) : Excited v=1 70 28      B2u - Ground v=0 71 27 B2g
SymmetricTop Excited  76 11 46 Ground  77  5 24  15118.229978399      -               1.89296239974929E-6 0.0000 : rP8(77) : Excited v=1 76  9      E2u - Ground v=0 77  8 E2g
SymmetricTop Excited  72 11 33 Ground  73  5 17  15118.205773079      -               1.8790745132896E-6  0.0000 : rP22(73) : Excited v=1 72 23      E2u - Ground v=0 73 22 E2g
SymmetricTop Excited  75  7 21 Ground  76  1 11  15118.218834103      -               1.87850224072032E-6 0.0000 : rP12A2g(76) : Excited v=1 75 13      A2u - Ground v=0 76 12 A2g
SymmetricTop Excited  75  6 21 Ground  76  0 11  15118.218834103      -               1.87850224072032E-6 0.0000 : rP12A1g(76) : Excited v=1 75 13      A1u - Ground v=0 76 12 A1g
SymmetricTop Excited  73 10 36 Ground  74  4 19  15118.206870652      -               1.87447989622714E-6 0.0000 : rP19(74) : Excited v=1 73 20      E1u - Ground v=0 74 19 E1g
SymmetricTop Excited  71 10 30 Ground  72  4 16  15118.204953924      -               1.86926583815629E-6 0.0000 : rP25(72) : Excited v=1 71 26      E1u - Ground v=0 72 25 E1g
SymmetricTop Excited  77 10 48 Ground  78  4 25  15118.232428288      -               1.85962231604474E-6 0.0000 : rP5(78) : Excited v=1 77  6      E1u - Ground v=0 78  5 E1g
SymmetricTop Excited  74 11 38 Ground  75  5 20  15118.208246643      -               1.85889450935666E-6 0.0000 : rP16(75) : Excited v=1 74 17      E2u - Ground v=0 75 16 E2g
SymmetricTop Excited  76  8 23 Ground  77  2 12  15118.220886252      -               1.84866269354543E-6 0.0000 : rP9B1g(77) : Excited v=1 76 10      B1u - Ground v=0 77  9 B1g
SymmetricTop Excited  76  9 23 Ground  77  3 12  15118.220886252      -               1.84866269354543E-6 0.0000 : rP9B2g(77) : Excited v=1 76 10      B2u - Ground v=0 77  9 B2g
SymmetricTop Excited  69  6 13 Ground  70  0  7  15118.212367987      -               1.8460093924834E-6  0.0000 : rP30A1g(70) : Excited v=1 69 31      A1u - Ground v=0 70 30 A1g
SymmetricTop Excited  69  7 13 Ground  70  1  7  15118.212367987      -               1.8460093924834E-6  0.0000 : rP30A2g(70) : Excited v=1 69 31      A2u - Ground v=0 70 30 A2g
SymmetricTop Excited  70 11 28 Ground  71  5 15  15118.204413187      -               1.84110703333853E-6 0.0000 : rP28(71) : Excited v=1 70 29      E2u - Ground v=0 71 28 E2g
SymmetricTop Excited  75 10 41 Ground  76  4 21  15118.209901052      -               1.83520745481977E-6 0.0000 : rP13(76) : Excited v=1 75 14      E1u - Ground v=0 76 13 E1g
SymmetricTop Excited  72 10 34 Ground  73  4 18  15118.197237768      -               1.83299391472074E-6 0.0000 : rP23(73) : Excited v=1 72 24      E1u - Ground v=0 73 23 E1g
SymmetricTop Excited  68 11 24 Ground  69  5 13  15118.220402335      -               1.8324665993719E-6  0.0000 : rP32(69) : Excited v=1 68 33      E2u - Ground v=0 69 32 E2g
