B                          T                         chi2
5.000000000000000104e-04 5.000000000000000000e+00 2.592732250863483046e+01
5.000000000000000104e-04 1.000000000000000000e+01 2.478642451455865725e+01
5.000000000000000104e-04 1.500000000000000000e+01 2.407833830317062151e+01
5.000000000000000104e-04 2.000000000000000000e+01 2.364512370001843422e+01
5.000000000000000104e-04 2.500000000000000000e+01 2.336507169041093235e+01
5.000000000000000104e-04 3.000000000000000000e+01 2.317262014679957360e+01
5.000000000000000104e-04 3.500000000000000000e+01 2.303314196533239055e+01
5.000000000000000104e-04 4.000000000000000000e+01 2.292738548645149521e+01
5.000000000000000104e-04 4.500000000000000000e+01 2.284480467961501660e+01
5.000000000000000104e-04 5.000000000000000000e+01 2.277976951831798402e+01
5.000000000000000104e-04 5.500000000000000000e+01 2.272473791062047255e+01
5.000000000000000104e-04 6.000000000000000000e+01 2.268068658264617810e+01
5.000000000000000104e-04 6.500000000000000000e+01 2.264273731351298480e+01
5.000000000000000104e-04 7.000000000000000000e+01 2.261138677108634809e+01
5.000000000000000104e-04 7.500000000000000000e+01 2.258280807339332696e+01
5.000000000000000104e-04 8.000000000000000000e+01 2.255784319036654040e+01
5.000000000000000104e-04 8.500000000000000000e+01 2.253755332813599921e+01
5.000000000000000104e-04 9.000000000000000000e+01 2.251873413855678052e+01
5.000000000000000104e-04 9.500000000000000000e+01 2.250131480164646902e+01
1.500000000000000031e-03 5.000000000000000000e+00 2.353604008240159118e+01
1.500000000000000031e-03 1.000000000000000000e+01 2.043925637301458309e+01
1.500000000000000031e-03 1.500000000000000000e+01 1.788327116191476662e+01
1.500000000000000031e-03 2.000000000000000000e+01 1.576868340639670585e+01
1.500000000000000031e-03 2.500000000000000000e+01 1.405660222662897496e+01
1.500000000000000031e-03 3.000000000000000000e+01 1.269340821447068279e+01
1.500000000000000031e-03 3.500000000000000000e+01 1.161561307746074512e+01
1.500000000000000031e-03 4.000000000000000000e+01 1.076014811575505270e+01
1.500000000000000031e-03 4.500000000000000000e+01 1.007489508165254755e+01
1.500000000000000031e-03 5.000000000000000000e+01 9.520761202832661141e+00
1.500000000000000031e-03 5.500000000000000000e+01 9.065070075317009923e+00
1.500000000000000031e-03 6.000000000000000000e+01 8.687114871405245964e+00
1.500000000000000031e-03 6.500000000000000000e+01 8.369753809563786007e+00
1.500000000000000031e-03 7.000000000000000000e+01 8.100577915956039377e+00
1.500000000000000031e-03 7.500000000000000000e+01 7.870329494862232877e+00
1.500000000000000031e-03 8.000000000000000000e+01 7.670744850576806328e+00
1.500000000000000031e-03 8.500000000000000000e+01 7.496716714951933369e+00
1.500000000000000031e-03 9.000000000000000000e+01 7.344478012819394053e+00
1.500000000000000031e-03 9.500000000000000000e+01 7.210140721285177356e+00
2.500000000000000052e-03 5.000000000000000000e+00 2.145635744418077095e+01
2.500000000000000052e-03 1.000000000000000000e+01 1.712101423911864728e+01
2.500000000000000052e-03 1.500000000000000000e+01 1.372637385683632694e+01
2.500000000000000052e-03 2.000000000000000000e+01 1.097085564471483288e+01
2.500000000000000052e-03 2.500000000000000000e+01 8.721255221864328888e+00
2.500000000000000052e-03 3.000000000000000000e+01 6.902000545169215684e+00
2.500000000000000052e-03 3.500000000000000000e+01 5.454730275161105091e+00
2.500000000000000052e-03 4.000000000000000000e+01 4.323217204596520702e+00
2.500000000000000052e-03 4.500000000000000000e+01 3.455202992955670904e+00
2.500000000000000052e-03 5.000000000000000000e+01 2.799882155426191233e+00
2.500000000000000052e-03 5.500000000000000000e+01 2.315164530789764807e+00
2.500000000000000052e-03 6.000000000000000000e+01 1.963551516128839047e+00
2.500000000000000052e-03 6.500000000000000000e+01 1.715573976622998043e+00
2.500000000000000052e-03 7.000000000000000000e+01 1.546859256876642386e+00
2.500000000000000052e-03 7.500000000000000000e+01 1.439550536543055204e+00
2.500000000000000052e-03 8.000000000000000000e+01 1.379033909286811355e+00
2.500000000000000052e-03 8.500000000000000000e+01 1.353645295021032702e+00
2.500000000000000052e-03 9.000000000000000000e+01 1.354702259930774977e+00
2.500000000000000052e-03 9.500000000000000000e+01 1.375423491015696387e+00
3.500000000000000073e-03 5.000000000000000000e+00 1.961389548019249673e+01
3.500000000000000073e-03 1.000000000000000000e+01 1.436893944839107817e+01
3.500000000000000073e-03 1.500000000000000000e+01 1.049016246911877914e+01
3.500000000000000073e-03 2.000000000000000000e+01 7.561531351825410141e+00
3.500000000000000073e-03 2.500000000000000000e+01 5.372632645111783845e+00
3.500000000000000073e-03 3.000000000000000000e+01 3.776673395058761873e+00
3.500000000000000073e-03 3.500000000000000000e+01 2.656433777482725578e+00
3.500000000000000073e-03 4.000000000000000000e+01 1.915490938906350582e+00
3.500000000000000073e-03 4.500000000000000000e+01 1.474539276601293913e+00
3.500000000000000073e-03 5.000000000000000000e+01 1.269477998039746813e+00
3.500000000000000073e-03 5.500000000000000000e+01 1.247457880845600053e+00
3.500000000000000073e-03 6.000000000000000000e+01 1.365945377183084286e+00
3.500000000000000073e-03 6.500000000000000000e+01 1.590362406103494219e+00
3.500000000000000073e-03 7.000000000000000000e+01 1.892887711893840974e+00
3.500000000000000073e-03 7.500000000000000000e+01 2.251864677355377875e+00
3.500000000000000073e-03 8.000000000000000000e+01 2.649917697166817465e+00
3.500000000000000073e-03 8.500000000000000000e+01 3.072859701108981323e+00
3.500000000000000073e-03 9.000000000000000000e+01 3.510612567041274446e+00
3.500000000000000073e-03 9.500000000000000000e+01 3.955115367046830421e+00
4.500000000000000527e-03 5.000000000000000000e+00 1.796354006636840239e+01
4.500000000000000527e-03 1.000000000000000000e+01 1.204523479043005629e+01
4.500000000000000527e-03 1.500000000000000000e+01 7.967884533235490174e+00
4.500000000000000527e-03 2.000000000000000000e+01 5.176362752638389075e+00
4.500000000000000527e-03 2.500000000000000000e+01 3.344982085980660713e+00
4.500000000000000527e-03 3.000000000000000000e+01 2.229638323480682693e+00
4.500000000000000527e-03 3.500000000000000000e+01 1.641115432953592412e+00
4.500000000000000527e-03 4.000000000000000000e+01 1.439364655294999684e+00
4.500000000000000527e-03 4.500000000000000000e+01 1.521757842355065504e+00
4.500000000000000527e-03 5.000000000000000000e+01 1.812267897756743018e+00
4.500000000000000527e-03 5.500000000000000000e+01 2.255202203245418424e+00
4.500000000000000527e-03 6.000000000000000000e+01 2.808248989898463055e+00
4.500000000000000527e-03 6.500000000000000000e+01 3.440552299007174852e+00
4.500000000000000527e-03 7.000000000000000000e+01 4.127778179349030019e+00
4.500000000000000527e-03 7.500000000000000000e+01 4.851645792306830351e+00
4.500000000000000527e-03 8.000000000000000000e+01 5.597905743253513755e+00
4.500000000000000527e-03 8.500000000000000000e+01 6.355206192474422977e+00
4.500000000000000527e-03 9.000000000000000000e+01 7.115329355700922065e+00
4.500000000000000527e-03 9.500000000000000000e+01 7.871645544225388313e+00
5.499999999999999681e-03 5.000000000000000000e+00 1.646461638852107967e+01
5.499999999999999681e-03 1.000000000000000000e+01 1.007781892073969487e+01
5.499999999999999681e-03 1.500000000000000000e+01 6.039233937714703515e+00
5.499999999999999681e-03 2.000000000000000000e+01 3.598766371506130657e+00
5.499999999999999681e-03 2.500000000000000000e+01 2.269053129999173191e+00
5.499999999999999681e-03 3.000000000000000000e+01 1.697762784283959991e+00
5.499999999999999681e-03 3.500000000000000000e+01 1.640130243466807691e+00
5.499999999999999681e-03 4.000000000000000000e+01 1.928281979094245591e+00
5.499999999999999681e-03 4.500000000000000000e+01 2.448743049186895782e+00
5.499999999999999681e-03 5.000000000000000000e+01 3.124975718450326401e+00
5.499999999999999681e-03 5.500000000000000000e+01 3.903142673784010253e+00
5.499999999999999681e-03 6.000000000000000000e+01 4.748812021741803058e+00
5.499999999999999681e-03 6.500000000000000000e+01 5.634795656967698463e+00
5.499999999999999681e-03 7.000000000000000000e+01 6.545467775613969863e+00
5.499999999999999681e-03 7.500000000000000000e+01 7.467676092202182758e+00
5.499999999999999681e-03 8.000000000000000000e+01 8.391107369017294815e+00
5.499999999999999681e-03 8.500000000000000000e+01 9.312509640926114329e+00
5.499999999999999681e-03 9.000000000000000000e+01 1.022208821590172967e+01
5.499999999999999681e-03 9.500000000000000000e+01 1.112064832112794299e+01
6.500000000000000569e-03 5.000000000000000000e+00 1.510106829625906322e+01
6.500000000000000569e-03 1.000000000000000000e+01 8.421056903729818188e+00
6.500000000000000569e-03 1.500000000000000000e+01 4.608520443774357211e+00
6.500000000000000569e-03 2.000000000000000000e+01 2.642203562007974682e+00
6.500000000000000569e-03 2.500000000000000000e+01 1.854102053728555966e+00
6.500000000000000569e-03 3.000000000000000000e+01 1.803050088549092989e+00
6.500000000000000569e-03 3.500000000000000000e+01 2.208879426548130631e+00
6.500000000000000569e-03 4.000000000000000000e+01 2.894151547613645459e+00
6.500000000000000569e-03 4.500000000000000000e+01 3.748412357483700053e+00
6.500000000000000569e-03 5.000000000000000000e+01 4.700184478704640512e+00
6.500000000000000569e-03 5.500000000000000000e+01 5.706885723119793141e+00
6.500000000000000569e-03 6.000000000000000000e+01 6.738268274801638036e+00
6.500000000000000569e-03 6.500000000000000000e+01 7.776884111419700929e+00
6.500000000000000569e-03 7.000000000000000000e+01 8.813545428734558485e+00
6.500000000000000569e-03 7.500000000000000000e+01 9.836945727279500673e+00
6.500000000000000569e-03 8.000000000000000000e+01 1.084532484780418748e+01
6.500000000000000569e-03 8.500000000000000000e+01 1.183850067908378634e+01
6.500000000000000569e-03 9.000000000000000000e+01 1.280997390931318769e+01
6.500000000000000569e-03 9.500000000000000000e+01 1.376105308100934721e+01
7.499999999999999722e-03 5.000000000000000000e+00 1.384966124016216327e+01
7.499999999999999722e-03 1.000000000000000000e+01 7.040626295816116986e+00
7.499999999999999722e-03 1.500000000000000000e+01 3.587530713749030209e+00
7.499999999999999722e-03 2.000000000000000000e+01 2.147897174412277899e+00
7.499999999999999722e-03 2.500000000000000000e+01 1.884712953913701750e+00
7.499999999999999722e-03 3.000000000000000000e+01 2.293044968654694760e+00
7.499999999999999722e-03 3.500000000000000000e+01 3.078904266532149325e+00
7.499999999999999722e-03 4.000000000000000000e+01 4.071269964683954079e+00
7.499999999999999722e-03 4.500000000000000000e+01 5.168024956435859352e+00
7.499999999999999722e-03 5.000000000000000000e+01 6.311162919342190314e+00
7.499999999999999722e-03 5.500000000000000000e+01 7.467831410581730722e+00
7.499999999999999722e-03 6.000000000000000000e+01 8.614438092297175942e+00
7.499999999999999722e-03 6.500000000000000000e+01 9.741472780886324401e+00
7.499999999999999722e-03 7.000000000000000000e+01 1.084530230495088787e+01
7.499999999999999722e-03 7.500000000000000000e+01 1.192194685741550053e+01
7.499999999999999722e-03 8.000000000000000000e+01 1.296624644071012789e+01
7.499999999999999722e-03 8.500000000000000000e+01 1.398494724779346576e+01
7.499999999999999722e-03 9.000000000000000000e+01 1.497960052943817466e+01
7.499999999999999722e-03 9.500000000000000000e+01 1.594612691818856476e+01
8.500000000000000611e-03 5.000000000000000000e+00 1.270480547680679706e+01
8.500000000000000611e-03 1.000000000000000000e+01 5.902083034351115920e+00
8.500000000000000611e-03 1.500000000000000000e+01 2.896843601076528163e+00
8.500000000000000611e-03 2.000000000000000000e+01 1.992357887554281337e+00
8.500000000000000611e-03 2.500000000000000000e+01 2.208668915464405469e+00
8.500000000000000611e-03 3.000000000000000000e+01 3.006314340416712305e+00
8.500000000000000611e-03 3.500000000000000000e+01 4.095468923844328479e+00
8.500000000000000611e-03 4.000000000000000000e+01 5.318079634791046395e+00
8.500000000000000611e-03 4.500000000000000000e+01 6.590186011370981589e+00
8.500000000000000611e-03 5.000000000000000000e+01 7.863927124005052782e+00
8.500000000000000611e-03 5.500000000000000000e+01 9.113290989588270108e+00
8.500000000000000611e-03 6.000000000000000000e+01 1.033004849904913236e+01
8.500000000000000611e-03 6.500000000000000000e+01 1.150993459187338352e+01
8.500000000000000611e-03 7.000000000000000000e+01 1.264621833986439547e+01
8.500000000000000611e-03 7.500000000000000000e+01 1.374110809764424523e+01
8.500000000000000611e-03 8.000000000000000000e+01 1.480118812192705313e+01
8.500000000000000611e-03 8.500000000000000000e+01 1.582920902798841389e+01
8.500000000000000611e-03 9.000000000000000000e+01 1.682329097565440534e+01
8.500000000000000611e-03 9.500000000000000000e+01 1.778354854295553977e+01
9.500000000000001499e-03 5.000000000000000000e+00 1.165312757745941852e+01
9.500000000000001499e-03 1.000000000000000000e+01 4.976667275986715211e+00
9.500000000000001499e-03 1.500000000000000000e+01 2.470514537884872297e+00
9.500000000000001499e-03 2.000000000000000000e+01 2.080755069043209282e+00
9.500000000000001499e-03 2.500000000000000000e+01 2.720306761478219482e+00
9.500000000000001499e-03 3.000000000000000000e+01 3.840874509332185660e+00
9.500000000000001499e-03 3.500000000000000000e+01 5.167097082740230718e+00
9.500000000000001499e-03 4.000000000000000000e+01 6.560614630930426294e+00
9.500000000000001499e-03 4.500000000000000000e+01 7.954508353777088203e+00
9.500000000000001499e-03 5.000000000000000000e+01 9.316396711460079416e+00
9.500000000000001499e-03 5.500000000000000000e+01 1.062566006314325406e+01
9.500000000000001499e-03 6.000000000000000000e+01 1.188019961731884244e+01
9.500000000000001499e-03 6.500000000000000000e+01 1.308280404310416500e+01
9.500000000000001499e-03 7.000000000000000000e+01 1.423689864074264655e+01
9.500000000000001499e-03 7.500000000000000000e+01 1.534267919895720844e+01
9.500000000000001499e-03 8.000000000000000000e+01 1.639914853608223311e+01
