    wavenos        int
 1.51199957e+04 1.99987814e+00
 1.51199900e+04 2.99932983e+00
 1.51199842e+04 3.99813187e+00
 1.51199785e+04 4.99604103e+00
 1.51199727e+04 5.99281440e+00
 1.51199669e+04 6.98820956e+00
 1.51199611e+04 7.98198461e+00
 1.51199553e+04 8.97389834e+00
 1.51199495e+04 9.96371026e+00
 1.51199437e+04 1.09511807e+01
 1.51199378e+04 1.19360710e+01
 1.51199320e+04 1.29181436e+01
 1.51199261e+04 1.38971617e+01
 1.51199203e+04 1.48728903e+01
 1.51199144e+04 1.58450953e+01
 1.51199085e+04 1.68135441e+01
 1.51199026e+04 1.77780057e+01
 1.51198966e+04 1.87382507e+01
 1.51198907e+04 1.96940513e+01
 1.51198847e+04 2.06451815e+01
 1.51198788e+04 2.15914173e+01
 1.51198728e+04 2.25325364e+01
 1.51198668e+04 2.34683189e+01
 1.51198608e+04 2.43985467e+01
 1.51198548e+04 2.53230040e+01
 1.51198488e+04 2.62414776e+01
 1.51198428e+04 2.71537562e+01
 1.51198367e+04 2.80596312e+01
 1.51198307e+04 2.89588967e+01
 1.51198246e+04 2.98513491e+01
 1.51198185e+04 3.07367877e+01
 1.51198124e+04 3.16150146e+01
 1.51198063e+04 3.24858345e+01
 1.51198002e+04 3.33490553e+01
 1.51197941e+04 3.42044878e+01
 1.51197879e+04 3.50519456e+01
 1.51197818e+04 3.58912459e+01
 1.51197756e+04 3.67222087e+01
 1.51197694e+04 3.75446574e+01
 1.51197633e+04 3.83584186e+01
 1.51197571e+04 3.91633225e+01
 1.51197508e+04 3.99592025e+01
 1.51197446e+04 4.07458956e+01
 1.51197384e+04 4.15232423e+01
 1.51197321e+04 4.22910867e+01
 1.51197259e+04 4.30492766e+01
 1.51197196e+04 4.37976633e+01
 1.51197133e+04 4.45361021e+01
 1.51197070e+04 4.52644519e+01
 1.51197007e+04 4.59825754e+01
 1.51196944e+04 4.66903394e+01
 1.51196881e+04 4.73876144e+01
 1.51196817e+04 4.80742749e+01
 1.51196754e+04 4.87501993e+01
 1.51196690e+04 4.94152700e+01
 1.51196626e+04 5.00693737e+01
 1.51196562e+04 5.07124008e+01
 1.51196498e+04 5.13442460e+01
 1.51196434e+04 5.19648081e+01
 1.51196370e+04 5.25739900e+01
 1.51196305e+04 5.31716987e+01
 1.51196241e+04 5.37578456e+01
 1.51196176e+04 5.43323459e+01
 1.51196111e+04 5.48951193e+01
 1.51196046e+04 5.54460897e+01
 1.51195981e+04 5.59851852e+01
 1.51195916e+04 5.65123379e+01
 1.51195851e+04 5.70274844e+01
 1.51195786e+04 5.75305656e+01
 1.51195720e+04 5.80215263e+01
 1.51195655e+04 5.85003157e+01
 1.51195589e+04 5.89668875e+01
 1.51195523e+04 5.94211992e+01
 1.51195457e+04 5.98632127e+01
 1.51195391e+04 6.02928942e+01
 1.51195325e+04 6.07102140e+01
 1.51195258e+04 6.11151465e+01
 1.51195192e+04 6.15076705e+01
 1.51195125e+04 6.18877688e+01
 1.51195059e+04 6.22554283e+01
 1.51194992e+04 6.26106400e+01
 1.51194925e+04 6.29533992e+01
 1.51194858e+04 6.32837050e+01
 1.51194791e+04 6.36015607e+01
 1.51194723e+04 6.39069736e+01
 1.51194656e+04 6.41999549e+01
 1.51194589e+04 6.44805198e+01
 1.51194521e+04 6.47486874e+01
 1.51194453e+04 6.50044806e+01
 1.51194385e+04 6.52479264e+01
 1.51194317e+04 6.54790552e+01
 1.51194249e+04 6.56979016e+01
 1.51194181e+04 6.59045036e+01
 1.51194112e+04 6.60989030e+01
 1.51194044e+04 6.62811452e+01
 1.51193975e+04 6.64512792e+01
 1.51193907e+04 6.66093576e+01
 1.51193838e+04 6.67554364e+01
 1.51193769e+04 6.68895751e+01
 1.51193700e+04 6.70118366e+01
 1.51193630e+04 6.71222869e+01
 1.51193561e+04 6.72209958e+01
 1.51193492e+04 6.73080358e+01
 1.51193422e+04 6.73834828e+01
 1.51193352e+04 6.74474159e+01
 1.51193283e+04 6.74999172e+01
 1.51193213e+04 6.75410716e+01
 1.51193143e+04 6.75709672e+01
 1.51193072e+04 6.75896949e+01
 1.51193002e+04 6.75973483e+01
 1.51192932e+04 6.75940240e+01
 1.51192861e+04 6.75798209e+01
 1.51192791e+04 6.75548410e+01
 1.51192720e+04 6.75191885e+01
 1.51192649e+04 6.74729702e+01
 1.51192578e+04 6.74162954e+01
 1.51192507e+04 6.73492757e+01
 1.51192436e+04 6.72720250e+01
 1.51192364e+04 6.71846594e+01
 1.51192293e+04 6.70872972e+01
 1.51192221e+04 6.69800588e+01
 1.51192149e+04 6.68630665e+01
 1.51192077e+04 6.67364447e+01
 1.51192005e+04 6.66003198e+01
 1.51191933e+04 6.64548196e+01
 1.51191861e+04 6.63000740e+01
 1.51191789e+04 6.61362144e+01
 1.51191716e+04 6.59633740e+01
 1.51191644e+04 6.57816872e+01
 1.51191571e+04 6.55912903e+01
 1.51191498e+04 6.53923205e+01
 1.51191425e+04 6.51849167e+01
 1.51191352e+04 6.49692190e+01
 1.51191279e+04 6.47453685e+01
 1.51191206e+04 6.45135075e+01
 1.51191132e+04 6.42737794e+01
 1.51191059e+04 6.40263286e+01
 1.51190985e+04 6.37713003e+01
 1.51190911e+04 6.35088405e+01
 1.51190838e+04 6.32390961e+01
 1.51190764e+04 6.29622147e+01
 1.51190689e+04 6.26783444e+01
 1.51190615e+04 6.23876340e+01
 1.51190541e+04 6.20902326e+01
 1.51190466e+04 6.17862901e+01
 1.51190392e+04 6.14759564e+01
 1.51190317e+04 6.11593819e+01
 1.51190242e+04 6.08367171e+01
 1.51190167e+04 6.05081128e+01
 1.51190092e+04 6.01737200e+01
 1.51190017e+04 5.98336894e+01
 1.51189941e+04 5.94881720e+01
 1.51189866e+04 5.91373186e+01
 1.51189790e+04 5.87812800e+01
 1.51189715e+04 5.84202066e+01
 1.51189639e+04 5.80542488e+01
 1.51189563e+04 5.76835563e+01
 1.51189487e+04 5.73082789e+01
 1.51189411e+04 5.69285658e+01
 1.51189334e+04 5.65445655e+01
 1.51189258e+04 5.61564262e+01
 1.51189181e+04 5.57642956e+01
 1.51189105e+04 5.53683206e+01
 1.51189028e+04 5.49686474e+01
 1.51188951e+04 5.45654215e+01
 1.51188874e+04 5.41587878e+01
 1.51188797e+04 5.37488901e+01
 1.51188720e+04 5.33358715e+01
 1.51188642e+04 5.29198740e+01
 1.51188565e+04 5.25010388e+01
 1.51188487e+04 5.20795060e+01
 1.51188409e+04 5.16554147e+01
 1.51188332e+04 5.12289028e+01
 1.51188254e+04 5.08001073e+01
 1.51188175e+04 5.03691637e+01
 1.51188097e+04 4.99362065e+01
 1.51188019e+04 4.95013689e+01
 1.51187940e+04 4.90647828e+01
 1.51187862e+04 4.86265787e+01
 1.51187783e+04 4.81868859e+01
 1.51187704e+04 4.77458323e+01
 1.51187625e+04 4.73035442e+01
 1.51187546e+04 4.68601466e+01
 1.51187467e+04 4.64157630e+01
 1.51187388e+04 4.59705153e+01
 1.51187308e+04 4.55245240e+01
 1.51187229e+04 4.50779080e+01
 1.51187149e+04 4.46307846e+01
 1.51187069e+04 4.41832694e+01
 1.51186990e+04 4.37354766e+01
 1.51186910e+04 4.32875185e+01
 1.51186829e+04 4.28395058e+01
 1.51186749e+04 4.23915477e+01
 1.51186669e+04 4.19437513e+01
 1.51186588e+04 4.14962225e+01
 1.51186508e+04 4.10490649e+01
 1.51186427e+04 4.06023808e+01
 1.51186346e+04 4.01562705e+01
 1.51186265e+04 3.97108325e+01
 1.51186184e+04 3.92661637e+01
 1.51186103e+04 3.88223590e+01
 1.51186021e+04 3.83795115e+01
 1.51185940e+04 3.79377126e+01
 1.51185858e+04 3.74970518e+01
 1.51185777e+04 3.70576168e+01
 1.51185695e+04 3.66194935e+01
 1.51185613e+04 3.61827658e+01
 1.51185531e+04 3.57475159e+01
 1.51185449e+04 3.53138241e+01
 1.51185366e+04 3.48817688e+01
 1.51185284e+04 3.44514267e+01
 1.51185201e+04 3.40228726e+01
 1.51185119e+04 3.35961792e+01
 1.51185036e+04 3.31714178e+01
 1.51184953e+04 3.27486575e+01
 1.51184870e+04 3.23279656e+01
 1.51184787e+04 3.19094078e+01
 1.51184704e+04 3.14930478e+01
 1.51184620e+04 3.10789475e+01
 1.51184537e+04 3.06671668e+01
 1.51184453e+04 3.02577642e+01
 1.51184369e+04 2.98507961e+01
 1.51184285e+04 2.94463172e+01
 1.51184201e+04 2.90443803e+01
 1.51184117e+04 2.86450366e+01
 1.51184033e+04 2.82483355e+01
 1.51183949e+04 2.78543246e+01
 1.51183864e+04 2.74630499e+01
 1.51183780e+04 2.70745554e+01
 1.51183695e+04 2.66888837e+01
 1.51183610e+04 2.63060756e+01
 1.51183525e+04 2.59261701e+01
 1.51183440e+04 2.55492046e+01
 1.51183355e+04 2.51752151e+01
 1.51183270e+04 2.48042356e+01
 1.51183184e+04 2.44362987e+01
 1.51183099e+04 2.40714353e+01
 1.51183013e+04 2.37096749e+01
 1.51182927e+04 2.33510453e+01
 1.51182841e+04 2.29955727e+01
 1.51182755e+04 2.26432819e+01
 1.51182669e+04 2.22941961e+01
 1.51182583e+04 2.19483372e+01
 1.51182496e+04 2.16057254e+01
 1.51182410e+04 2.12663797e+01
 1.51182323e+04 2.09303174e+01
 1.51182237e+04 2.05975547e+01
 1.51182150e+04 2.02681062e+01
 1.51182063e+04 1.99419851e+01
 1.51181976e+04 1.96192036e+01
 1.51181888e+04 1.92997723e+01
 1.51181801e+04 1.89837005e+01
 1.51181714e+04 1.86709963e+01
 1.51181626e+04 1.83616667e+01
 1.51181538e+04 1.80557172e+01
 1.51181450e+04 1.77531522e+01
 1.51181362e+04 1.74539751e+01
 1.51181274e+04 1.71581880e+01
 1.51181186e+04 1.68657917e+01
 1.51181098e+04 1.65767862e+01
 1.51181009e+04 1.62911702e+01
 1.51180921e+04 1.60089415e+01
 1.51180832e+04 1.57300967e+01
 1.51180743e+04 1.54546314e+01
 1.51180655e+04 1.51825404e+01
 1.51180565e+04 1.49138172e+01
 1.51180476e+04 1.46484547e+01
 1.51180387e+04 1.43864447e+01
 1.51180298e+04 1.41277780e+01
 1.51180208e+04 1.38724448e+01
 1.51180119e+04 1.36204342e+01
 1.51180029e+04 1.33717345e+01
 1.51179939e+04 1.31263333e+01
 1.51179849e+04 1.28842173e+01
 1.51179759e+04 1.26453726e+01
 1.51179669e+04 1.24097844e+01
 1.51179578e+04 1.21774372e+01
 1.51179488e+04 1.19483148e+01
 1.51179397e+04 1.17224005e+01
 1.51179306e+04 1.14996766e+01
 1.51179216e+04 1.12801252e+01
 1.51179125e+04 1.10637275e+01
 1.51179034e+04 1.08504640e+01
 1.51178942e+04 1.06403150e+01
 1.51178851e+04 1.04332600e+01
 1.51178760e+04 1.02292780e+01
 1.51178668e+04 1.00283476e+01
 1.51178576e+04 9.83044682e+00
 1.51178485e+04 9.63555320e+00
 1.51178393e+04 9.44364389e+00
 1.51178301e+04 9.25469561e+00
 1.51178208e+04 9.06868463e+00
 1.51178116e+04 8.88558689e+00
 1.51178024e+04 8.70537792e+00
 1.51177931e+04 8.52803290e+00
 1.51177839e+04 8.35352671e+00
 1.51177746e+04 8.18183387e+00
 1.51177653e+04 8.01292865e+00
 1.51177560e+04 7.84678500e+00
 1.51177467e+04 7.68337663e+00
