result_name;B_init;T_init;delta_B_init;zeta_init;sigma_init;origin_init;B;T;delta_B;zeta;sigma;origin;chi2;redchi;func_evals;B_unc;T_unc;delta_B_unc;zeta_unc;sigma_unc;origin_unc
23180;0,0075;92,5;-0,23;-0,23;0,23;0,02;0,0022569567876705;99,99999977410300;-0,0352782354528916;-0,4197152597405690;0,2247071070834520;0,004138779257957;4,684883511082830;0,2755813830048720;254;0,0004382856843112;50,51871605138570;0,0133392039457146;0,1127102987346490;0,0370534712240813;0,0135285892128846
24398;0,0075;92,5;-0,23;-0,23;0,23;0,02;0,0029813941869488;72,25090408557990;-0,0501537171011265;-0,2843106009323380;0,1826111281611060;-0,0388781894998917;6,932309440945210;0,3648583916286950;157;0,0002806361431417;9,119029737941510;0,0128290303879283;0,0231551276237742;0,0138135030949684;0,0089324131311313
144470;0,01;2,7;-0,1;-0,1;0,05;0,0;0,0027200767727515;81,4336920068546;-0,0234314059456982;-0,3636236396904280;0,2061837240129460;-0,0369455994310536;7,899155439696720;0,4157450231419320;88;0,0003189261215738;15,32375752953120;0,0127675938164712;0,0501832287695929;0,0232328324088226;0,0104514359018424
147165;0,005;32,7;-0,4;-0,9;0,1;0,039;0,0042675400003664;54,50274656650160;-2,91440205302251E-11;-0,5856083284921720;0,2871226913064480;-0,1189460928431690;73,15585019180490;3,3252659178093100;469;0,0377318480751326;465,2588282589880;0,0832785257101393;0,3770222188728210;0,0653253759334668;0,0849377481240011
147683;0,0075;92,5;-0,23;-0,23;0,23;0,02;0,003568620744685;57,360597856676400;-0,0198391346042272;-0,3280624279514040;0,215068739003664;-0,0181265400082768;16,036716744320700;0,8440377233853000;230;0,0041793634200204;68,51508299066110;0,0296927090053145;0,0398041898081922;0,0216452168532293;0,0165679713461084
149757;0,0075;92,5;-0,23;-0,23;0,23;0,02;0,00353044958407;53,54168905757790;-0,1075835429572930;-0,4503528456738050;0,2039989500754480;-0,0254740211459278;14,7721968764252;0,8206776042458450;118;0,0076243461639764;113,89339527500400;0,2324431325571130;0,0582958252147;0,016746938578473;0,0206544191264085
166937;0,0075;92,5;-0,23;-0,23;0,23;0,02;0,0020775622892916800;180,46201117126900;-0,07595458638109310;-0,45715912506407200;0,2330374119286430;0,08082575370989350;1,2475542885404000;0,04798285725155380;273;0,00017077982878646800;95,79407411778440;0,011442095909765200;0,05985454173007730;0,01681905804213350;0,01417112640471200
170740;0,005;32,7;-0,4;-0,9;0,1;0,039;0,0025930818321527;83,3456159768079;-0,0783169373233829;-0,3144412706658680;0,195181853774683;0,0177774081911086;2,989951807663330;0,1661084337590740;136;0,0001880142444715;11,434967252590700;0,0088415758728296;0,0242908641629163;0,0138947627288094;0,0086722355463598
184915;0,01;2,7;-0,1;-0,1;0,05;0,0;0,0024632051568871;99,7362443984948;-0,0975265740046544;-0,2989507762812220;0,2007704050239290;0,1327170473819890;5,5254876365786900;0,3069715353654830;95;0,0002793469265117;42,68190355503530;0,0139298883084708;0,0344328567260662;0,0234109685158872;0,0175509539722049
185418;0,005;32,7;-0,4;-0,9;0,1;0,039;0,0026788285964879;77,06199295158380;-0,0784902670085956;-0,2980367514230980;0,2097450948785920;0,0741362938247616;0,7169516464284980;0,0421736262604998;157;0,0001483857881853;7,151732432452560;0,0052809678195322;0,0130186809170076;0,0082755497284115;0,0049924206941106
185859;0,0075;92,5;-0,23;-0,23;0,23;0,02;0,005314636052015;39,48906482963390;-0,1756058134573930;-0,2448516317171570;0,196896417486808;0,0245299444530062;2,9387067573038800;0,163261486516882;185;0,0033745798479079;24,94255524319480;0,0954529612430095;0,0163788274738301;0,0100585373298672;0,0104207485797523
203532;0,0075;92,5;-0,23;-0,23;0,23;0,02;0,0025792448204532;80,11979191460680;-0,0871119366660658;-0,3310026907075010;0,1935400602426980;0,0804850958802791;3,025615789291650;0,1779773993700970;123;0,0002068354500168;11,308169526665900;0,0095610234821822;0,0263994788965064;0,0135743363683597;0,0094029609885854
