result_name,PR_sep,PR_sep_unc,T (linear),T_minus,T_plus,B,T,delta_B,zeta,sigma,origin,chi2,redchi,func_evals,B_unc,T_unc,delta_B_unc,zeta_unc,sigma_unc,origin_unc,B_init,T_init,delta_B_init,zeta_init,sigma_init,origin_init
185418,1.27,0.03,13.078+/-5.279,3.682033587,9.084417165,0.002678829,77.06199295,-0.078490267,-0.298036751,0.209745095,0.074136294,0.716951646,0.042173626,157,0.000148386,7.151732432,0.005280968,0.013018681,0.00827555,0.004992421,0.005,32.7,-0.4,-0.9,0.1,0.039
23180,1.27,0.09,13.078+/-5.561,3.682033587,9.084417165,0.002256957,99.99999977,-0.035278235,-0.41971526,0.224707107,0.004138779,4.684883511,0.275581383,254,0.000438286,50.51871605,0.013339204,0.112710299,0.037053471,0.013528589,0.0075,92.5,-0.23,-0.23,0.23,0.02
185859,1.27,0.05,13.078+/-5.343,3.682033587,9.084417165,0.005314636,39.48906483,-0.175605813,-0.244851632,0.196896417,0.024529944,2.938706757,0.163261487,185,0.00337458,24.94255524,0.095452961,0.016378827,0.010058537,0.010420749,0.0075,92.5,-0.23,-0.23,0.23,0.02
203532,1.29,0.07,13.493+/-5.604,3.798916295,9.372793481,0.002579245,80.11979191,-0.087111937,-0.331002691,0.19354006,0.080485096,3.025615789,0.177977399,123,0.000206835,11.30816953,0.009561023,0.026399479,0.013574336,0.009402961,0.0075,92.5,-0.23,-0.23,0.23,0.02
147683,1.3,0.09,13.703+/-5.812,3.858042509,9.518671343,0.003568621,57.36059786,-0.019839135,-0.328062428,0.215068739,-0.01812654,16.03671674,0.844037723,230,0.004179363,68.51508299,0.029692709,0.03980419,0.021645217,0.016567971,0.0075,92.5,-0.23,-0.23,0.23,0.02
170740,1.33,0.03,14.342+/-5.786,4.038160588,9.963063751,0.002593082,83.34561598,-0.078316937,-0.314441271,0.195181854,0.017777408,2.989951808,0.166108434,136,0.000188014,11.43496725,0.008841576,0.024290864,0.013894763,0.008672236,0.005,32.7,-0.4,-0.9,0.1,0.039
24398,1.34,0.05,14.559+/-5.937,4.099113094,10.11344749,0.002981394,72.25090409,-0.050153717,-0.284310601,0.182611128,-0.038878189,6.932309441,0.364858392,157,0.000280636,9.119029738,0.01282903,0.023155128,0.013813503,0.008932413,0.0075,92.5,-0.23,-0.23,0.23,0.02
149757,1.36,0.05,14.997+/-6.113,4.222387825,10.41759439,0.00353045,53.54168906,-0.107583543,-0.450352846,0.20399895,-0.025474021,14.77219688,0.820677604,118,0.007624346,113.8933953,0.232443133,0.058295825,0.016746939,0.020654419,0.0075,92.5,-0.23,-0.23,0.23,0.02
184915,1.37,0.05,15.218+/-6.201,4.28471005,10.57135754,0.002463205,99.7362444,-0.097526574,-0.298950776,0.200770405,0.132717047,5.525487637,0.306971535,95,0.000279347,42.68190356,0.013929888,0.034432857,0.023410969,0.017550954,0.01,2.7,-0.1,-0.1,0.05,0
147165,1.38,0.06,15.441+/-6.334,4.347488848,10.72624716,0.00426754,54.50274657,-2.91E-11,-0.585608328,0.287122691,-0.118946093,73.15585019,3.325265918,469,0.037731848,465.2588283,0.083278526,0.377022219,0.065325376,0.084937748,0.005,32.7,-0.4,-0.9,0.1,0.039
144470,1.39,0.06,15.666+/-6.424,4.410724219,10.88226326,0.002720077,81.43369201,-0.023431406,-0.36362364,0.206183724,-0.036945599,7.89915544,0.415745023,88,0.000318926,15.32375753,0.012767594,0.050183229,0.023232832,0.010451436,0.01,2.7,-0.1,-0.1,0.05,0
166937,1.46,0.07,17.283+/-7.124,4.866155865,12.00591706,0.002077562,180.4620112,-0.075954586,-0.457159125,0.233037412,0.080825754,1.247554289,0.047982857,273,0.00017078,95.79407412,0.011442096,0.059854542,0.016819058,0.014171126,0.0075,92.5,-0.23,-0.23,0.23,0.02
