Wavelength          	  Flux
1.731416959761648104e+04 9.995806051657821767e-01
1.731410964222121038e+04 9.993587828477225043e-01
1.731404968724115315e+04 9.979019087865054205e-01
1.731398973267631663e+04 9.977274042691831601e-01
1.731392977852669355e+04 9.992776179152262905e-01
1.731386982479228755e+04 9.989915608066235464e-01
1.731380987147307678e+04 9.995297990250798792e-01
1.731374991856907218e+04 9.984770778366510724e-01
1.731368996608026282e+04 1.000466374102698675e+00
1.731363001400664143e+04 1.001914834920372144e+00
1.731357006234821893e+04 9.996380805134656988e-01
1.731351011110497348e+04 1.000206276433154962e+00
1.731345016027690508e+04 1.002165280089098331e+00
1.731339020986401374e+04 9.996513198582717141e-01
1.731333025986629946e+04 1.000532227406459196e+00
1.731327031028374404e+04 9.996971334074680193e-01
1.731321036111635476e+04 9.993663920976013637e-01
1.731315041236412071e+04 1.001577436939581789e+00
1.731309046402703825e+04 1.002237632613999896e+00
1.731303051610511466e+04 1.002253663485454638e+00
1.731297056859832810e+04 1.001984103518350322e+00
1.731291062150667858e+04 1.001555758277706154e+00
1.731285067483017338e+04 1.001578117296134662e+00
1.731279072856880521e+04 1.000454720459587943e+00
1.731273078272255225e+04 9.990794558813760329e-01
1.731267083729142905e+04 1.000710325053030703e+00
1.731261089227542470e+04 9.984558345856624495e-01
1.731255094767453556e+04 1.000029075616631236e+00
1.731249100348875800e+04 1.000582898302454060e+00
1.731243105971807745e+04 1.000381302957623397e+00
1.731237111636251211e+04 1.001150589759419285e+00
1.731231117342203288e+04 1.000712155219012356e+00
1.731225123089665794e+04 1.000432101580932320e+00
1.731219128878636184e+04 1.001961358144438652e+00
1.731213134709115548e+04 1.000819246618798397e+00
1.731207140581102794e+04 1.001231199899873525e+00
1.731201146494597560e+04 9.997889636535669533e-01
1.731195152449599846e+04 1.001903193056103758e+00
1.731189158446108559e+04 9.987748117036929774e-01
1.731183164484124063e+04 1.000978651921017981e+00
1.731177170563644540e+04 1.002090203522013834e+00
1.731171176684671082e+04 9.997130684035988590e-01
1.731165182847202595e+04 9.978454293002676501e-01
1.731159189051238718e+04 9.973325755882206378e-01
1.731153195296779086e+04 9.972137551692101809e-01
1.731147201583822971e+04 9.977929196542695278e-01
1.731141207912370010e+04 9.985031382884049789e-01
1.731135214282420202e+04 9.990011020650750861e-01
1.731129220693972820e+04 9.989824644681996046e-01
1.731123227147027501e+04 9.986194933331812296e-01
1.731117233641583516e+04 9.973286177878917247e-01
1.731111240177640866e+04 9.977664376777274358e-01
1.731105246755198459e+04 9.982401491193031440e-01
1.731099253374256659e+04 1.000482762758151178e+00
1.731093260034814739e+04 1.000135228274406929e+00
1.731087266736872334e+04 9.962389340056906351e-01
1.731081273480428717e+04 9.939395172684744040e-01
1.731075280265483889e+04 9.962976066751682014e-01
1.731069287092037121e+04 9.964584301622850804e-01
1.731063293960087321e+04 9.974417499737308068e-01
1.731057300869635219e+04 9.936465763161290710e-01
1.731051307820680086e+04 9.944677624155002782e-01
1.731045314813221557e+04 9.937544053792548571e-01
1.731039321847258907e+04 9.940097543929051760e-01
1.731033328922791407e+04 9.925774326306917583e-01
1.731027336039819784e+04 9.933998681123361596e-01
1.731021343198341856e+04 9.931878366419780724e-01
1.731015350398359078e+04 9.922114400594542749e-01
1.731009357639869268e+04 9.934590782894162642e-01
1.731003364922873152e+04 9.937286408069103683e-01
1.730997372247370004e+04 9.932348953641467748e-01
1.730991379613359823e+04 9.909833887699298627e-01
1.730985387020840790e+04 9.933209769467754580e-01
1.730979394469814360e+04 9.912961604837190466e-01
1.730973401960278352e+04 9.935473472254343630e-01
1.730967409492233128e+04 9.920325875274825789e-01
1.730961417065679416e+04 9.910596820138345420e-01
1.730955424680614669e+04 9.905054274597029362e-01
1.730949432337039252e+04 9.897567860932028339e-01
1.730943440034953892e+04 9.908351327668410979e-01
1.730937447774356042e+04 9.923792986084688517e-01
1.730931455555247157e+04 9.895294978369800765e-01
1.730925463377625783e+04 9.898029826733361070e-01
1.730919471241491556e+04 9.871792540051641529e-01
1.730913479146844838e+04 9.894528131527043913e-01
1.730907487093683812e+04 9.891962894411490126e-01
1.730901495082009205e+04 9.910851548788253140e-01
1.730895503111820290e+04 9.923459968773820083e-01
1.730889511183116338e+04 9.899749707839820001e-01
1.730883519295897713e+04 9.897166955401554000e-01
1.730877527450163325e+04 9.906107429293584676e-01
1.730871535645912445e+04 9.919081272896239643e-01
1.730865543883144710e+04 9.929836192005165874e-01
