Sightline,chisq,B,B_err,delta_B,delta_B_err,zeta,zeta_err,T,T_err,sigma,sigma_err,origin,origin_err
HD24398,0.25588069,0.00289724,0.00081226,0.04271157,0.0109764,0.75374135,0.01450373,89.3022525,24.2172932,0.16696164,0.00411282,-1.39701614,0.00370567
HD185859,2.08426336,0.00480293,0.00101704,0.02210385,0.00433423,0.84246717,0.00883993,70.6689296,14.2074526,0.16777287,0.00529564,-0.2140241,0.00417648
HD144470,0.45164667,0.00308773,0.00075459,0.08805333,0.01494663,0.55787542,0.05616586,64.0704,13.2106226,0.19186068,0.0058031,-0.14637736,0.00617812
HD166937,0.49179358,0.00353259,0.00050389,0.04137314,0.00751974,0.75991864,0.01051893,85.9572549,12.3359494,0.16554784,0.00280306,-0.3102968,0.00296192
HD147165,,,,,,,,,,,,,
HD147683,,,,,,,,,,,,,
HD149757,,,,,,,,,,,,,
HD170740,,,,,,,,,,,,,
HD184915,,,,,,,,,,,,,
HD185418,,,,,,,,,,,,,
HD203532,,,,,,,,,,,,,
